"tabela_1.1.16.3_-_percentual_de_pessoas_que_utilizaram_a_internet,_no_período_de_referência_dos_últimos_três_meses,_na_população_de_10_anos_ou_mais_de_idade,_ocupada_na_semana_de_referência,_por_grandes_regiões,_segundo_os_grupamentos_ocupacionais_no_trabalho_principal_-_2015",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6
Grupamentos ocupacionais no trabalho principal,"Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, ocupada na semana de referência (%)",0,0,0,0,0
0,Brasil,Grandes Regiões,0,0,0,0
0,0,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),63.4,49,48.7,72.2,67.7,68.7
Dirigentes em geral,88.2,77.5,81.4,90.9,89.7,89.2
Profissionais das ciências e das artes,94.1,85.5,89.1,96.4,95.5,95.4
Técnicos de nível médio,88.8,76.3,81.6,92,91.5,91.5
Trabalhadores de serviços administrativos,90.7,85.7,87.2,92.5,90.8,91.5
Trabalhadores dos serviços,57.1,49.6,49.5,61.3,58.4,60.1
Vendedores e prestadores de serviço do comércio,70.6,55.3,59.2,77.8,81,77
Trabalhadores agrícolas,16.4,12.1,9.7,24.1,24.3,24.2
Trabalhadores da produção de bens e serviços e de reparação e manutenção,56,44.9,44.2,62,59.5,59.1
Membros das forças armadas e auxiliares,93.9,86.5,92.3,95.8,92.4,96.3
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",0,0,0,0,0,0
(1) Inclusive as pessoas com ocupação maldefinida.,0,0,0,0,0,0
