"tabela_1.1.17.3_-_percentual_de_pessoas_que_utilizaram_a_internet,_no_período_de_referência_dos_últimos_três_meses,_na_população_de_10_anos_ou_mais_de_idade,_ocupada_na_semana_de_referência,_por_grandes_regiões,_segundo_os_grupamentos_de_atividade_do_trabalho_principal__-__2015",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6
Grupamentos de atividade do trabalho principal,"Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, ocupada na semana de referência (%)",0,0,0,0,0
0,Brasil,Grandes Regiões,0,0,0,0
0,0,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),63.4,49,48.7,72.2,67.7,68.7
Agrícola,16.8,12.2,9.8,24.5,24.6,26.6
Indústria,69.6,49,56,76.8,70.5,69.4
Indústria de transformação,69.3,48,54.8,76.5,70.3,68.9
Construção,47.4,41.3,36.2,52.9,51.2,53.3
Comércio e reparação,73.4,60.7,62.4,79,79.8,78.7
Alojamento e alimentação,66.1,54.6,56.1,71.6,69.6,71
"Transporte, armazenagem e comunicação",68.4,56.8,57.6,74.6,68.6,67.4
Administração pública,80.8,75.1,74.5,83.1,84.4,86.8
"Educação, saúde e serviços sociais",87.1,76.1,79.5,91.2,91.1,88.7
Serviços domésticos,44.1,39.7,39,46.9,44.7,45.3
"Outros serviços coletivos, sociais e pessoais",80.3,72.7,72.3,83.3,83.1,83.6
Outras atividades,87.6,80.5,83.1,88.9,89,89.3
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",0,0,0,0,0,0
(1) Inclusive as pessoas com atividade maldefinida.,0,0,0,0,0,0
