"tabela_1.2.2.1_-_rendimento_médio_mensal_domiciliar_per_capita_das_pessoas_de_10_anos_ou_mais_de_idade_que_utilizaram_a_internet,_no_período_de_referência_dos_últimos_três_meses,_por_grandes_regiões,_segundo_o_equipamento_utilizado_para_acessar_a_internet_-_2015",unnamed:_1,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,"tabela_1.2.2.2_-_rendimento_mediano_mensal_domiciliar_per_capita_das_pessoas_de_10_anos_ou_mais_de_idade_que_utilizaram_a_internet,_no_período_de_referência_dos_últimos_três_meses,_por_grandes_regiões,_segundo_o_equipamento_utilizado_para_acessar_a_internet_-_2015",unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13
Equipamento utilizado para acessar a Internet," Rendimento médio mensal domiciliar per capita das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (R$)",0,0,0,0,0,Equipamento utilizado para acessar a Internet," Rendimento mediano mensal domiciliar per capita das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (R$)",0,0,0,0,0
0,Brasil,Grandes Regiões,0,0,0,0,0,Brasil,Grandes Regiões,0,0,0,0
0,0,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,0,0,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,1391,990,949,1536,1612,1613,Total,843,601,560,945,1095,960
Microcomputador,0,0,0,0,0,0,Microcomputador,0,0,0,0,0,0
Utilizaram,1640,1297,1182,1749,1794,1916,Utilizaram,1000,800,699,1065,1224,1134
Somente microcomputador,1150,778,737,1263,1355,1236,Somente microcomputador,765,496,450,833,962,788
Não utilizaram,780,654,564,881,973,910,Não utilizaram,571,482,412,662,756,698
Telefone móvel celular ou tablet,0,0,0,0,0,0,Telefone móvel celular ou tablet,0,0,0,0,0,0
Utilizaram,1421,1009,974,1572,1656,1646,Utilizaram,857,625,574,955,1119,980
Somente telefone móvel celular ou tablet,774,649,562,875,965,900,Somente telefone móvel celular ou tablet,566,482,411,661,751,697
Não utilizaram,1151,774,736,1261,1366,1237,Não utilizaram,765,482,453,834,965,788
Telefone móvel celular,0,0,0,0,0,0,Telefone móvel celular,0,0,0,0,0,0
Utilizaram,1421,1009,975,1572,1657,1647,Utilizaram,857,625,574,956,1120,982
Somente telefone móvel celular,752,641,554,846,924,891,Somente telefone móvel celular,560,477,406,650,747,694
Não utilizaram,1169,789,747,1285,1379,1252,Não utilizaram,766,499,459,844,971,791
Tablet,0,0,0,0,0,0,Tablet,0,0,0,0,0,0
Utilizaram,2492,2124,1735,2655,2504,3215,Utilizaram,1416,1299,942,1476,1635,1913
Somente tablet,986,787,583,1167,1290,831,Somente tablet,624,600,406,730,896,681
Não utilizaram,1189,892,834,1295,1439,1343,Não utilizaram,788,578,525,871,1000,893
Televisão,0,0,0,0,0,0,Televisão,0,0,0,0,0,0
Utilizaram,3206,2856,2494,3305,3079,4018,Utilizaram,1996,2042,1549,1984,2085,2623
Não utilizaram,1292,961,898,1423,1510,1474,Não utilizaram,809,599,547,900,1048,924
Outro equipamento,0,0,0,0,0,0,Outro equipamento,0,0,0,0,0,0
Utilizaram,2701,2592,2056,2781,2251,3860,Utilizaram,1670,1637,1400,1683,1556,2112
Não utilizaram,1383,985,946,1527,1609,1604,Não utilizaram,839,600,559,940,1090,959
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",0,0,0,0,0,0,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",0,0,0,0,0,0
