"tabela 1.1.1.2 - distribuição das pessoas de 10 anos ou mais de idade, por grandes regiões, segundo o sexo e os grupos de idade - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
Sexo e grupos de idade,Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
10 a 14 anos,8.9,11.6,10.4,7.8,7.7,9.1
15 a 17 anos,6,7.5,6.7,5.4,5.4,5.8
18 ou 19 anos,3.9,4.4,4.2,3.7,3.4,3.8
20 a 24 anos,8.8,10.1,9.1,8.4,8.4,9.2
25 a 29 anos,8.6,9.6,8.9,8.3,8.1,9
30 a 34 anos,9.2,9.7,9.2,9.1,8.8,9.7
35 a 39 anos,8.9,9.3,8.8,8.9,8.3,9.6
40 a 44 anos,8.2,7.9,7.8,8.4,8.1,8.7
45 a 49 anos,7.7,6.8,7.3,7.8,8.1,8.2
50 a 54 anos,7.3,6.1,6.6,7.8,8.3,7
55 a 59 anos,6.1,4.8,5.4,6.6,7.2,5.8
60 anos ou mais,16.5,12.2,15.7,17.8,18.1,14.1
Homens,100,100,100,100,100,100
10 a 14 anos,9.5,11.9,11.3,8.3,8,9.7
15 a 17 anos,6.3,7.7,7.2,5.7,6,6.2
18 ou 19 anos,4.1,4.5,4.4,3.9,3.5,4.2
20 a 24 anos,9.3,10.5,9.5,9,8.9,9.6
25 a 29 anos,8.8,9.3,9.1,8.7,8.4,8.9
30 a 34 anos,9.2,9.6,9.3,9.1,9.1,9.6
35 a 39 anos,8.8,9,8.7,9,8.4,9.5
40 a 44 anos,8.2,7.8,7.6,8.6,8.2,8.5
45 a 49 anos,7.6,6.8,7.2,7.8,7.9,8
50 a 54 anos,7.1,5.9,6.3,7.6,8,6.7
55 a 59 anos,5.9,4.8,5.1,6.3,6.9,5.6
60 anos ou mais,15.1,12,14.3,16.1,16.6,13.5
Mulheres,100,100,100,100,100,100
10 a 14 anos,8.4,11.3,9.6,7.4,7.5,8.5
15 a 17 anos,5.7,7.2,6.3,5.2,5,5.5
18 ou 19 anos,3.6,4.3,4,3.4,3.3,3.4
20 a 24 anos,8.3,9.8,8.7,7.8,7.9,8.8
25 a 29 anos,8.4,9.9,8.8,8,7.8,9.2
30 a 34 anos,9.1,9.8,9.1,9,8.5,9.7
35 a 39 anos,8.9,9.6,8.9,8.8,8.2,9.7
40 a 44 anos,8.2,8,7.9,8.3,8.1,8.9
45 a 49 anos,7.7,6.8,7.3,7.9,8.3,8.3
50 a 54 anos,7.5,6.3,6.8,7.9,8.5,7.3
55 a 59 anos,6.4,4.7,5.6,6.9,7.3,6
60 anos ou mais,17.8,12.3,16.9,19.4,19.6,14.7
