"tabela 1.1.10.2 - distribuição das pessoas de 10 anos ou mais de idade que não utilizaram a internet, no período de referência dos últimos três meses, por grandes regiões, segundo o sexo e o nível de instrução - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
Sexo e nível de instrução,"Distribuição das pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Sem instrução,18.5,16.4,25.1,14.6,12.9,17.9
Fundamental incompleto,52.2,52.3,49.9,52.8,57,50.6
Fundamental completo,9.9,9.3,7.7,11.6,11.6,10.6
Médio incompleto,4,5.6,4.2,3.4,3.5,4.4
Médio completo,12.9,13.9,11.2,14.6,11.9,13.5
Superior incompleto,0.6,0.7,0.4,0.6,0.7,0.7
Superior completo,1.7,1.5,1.1,2.2,2.1,2.1
Não determinado,0.2,0.4,0.2,0.1,0.2,0.2
Homens,100,100,100,100,100,100
Sem instrução,18.6,16.9,26.9,13.4,11.4,17.6
Fundamental incompleto,53.6,54.3,51.2,54.4,57.9,52.5
Fundamental completo,10,9.2,7.4,11.8,12.7,11.1
Médio incompleto,4,5.4,4.2,3.5,3.5,4.3
Médio completo,11.8,12.1,9.3,14.2,11.8,12
Superior incompleto,0.5,0.6,0.3,0.7,0.8,0.6
Superior completo,1.3,1,0.6,1.8,1.6,1.7
Não determinado,0.2,0.3,0.2,0.1,0.2,0.1
Mulheres,100,100,100,100,100,100
Sem instrução,18.4,15.7,23.3,15.7,14.4,18.2
Fundamental incompleto,50.8,50,48.7,51.4,56.1,48.6
Fundamental completo,9.9,9.4,8.1,11.4,10.5,10.1
Médio incompleto,4,5.7,4.3,3.3,3.4,4.4
Médio completo,14,15.8,13.1,15,12.1,15
Superior incompleto,0.6,0.7,0.5,0.6,0.7,0.9
Superior completo,2.2,2.1,1.7,2.5,2.6,2.5
Não determinado,0.2,0.5,0.2,0.1,0.2,0.3
