"tabela 1.1.11.2 - distribuição das pessoas de 10 anos ou mais de idade, por grandes regiões, segundo o sexo, a condição de estudante, a rede de ensino que frequentavam e a utilização da internet, no período de referência dos últimos três meses - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
"Sexo, condição de estudante, rede de ensino que frequentavam e utilização da Internet, no período de referência dos últimos três meses",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Utilizaram,57.5,46.2,45.1,65.1,61.1,64
Não utilizaram,42.5,53.8,54.9,34.9,38.9,36
Estudantes,100,100,100,100,100,100
Utilizaram,79.8,62.2,68.8,88.5,88.2,87.4
Não utilizaram,20.2,37.8,31.2,11.5,11.8,12.6
Rede pública,100,100,100,100,100,100
Utilizaram,73.7,56,61.6,84.4,84,82.9
Não utilizaram,26.3,44,38.4,15.6,16,17.1
Rede privada,100,100,100,100,100,100
Utilizaram,97.3,93.4,95.8,98.3,98.5,97.9
Não utilizaram,2.7,6.6,4.2,1.7,1.5,2.1
Não estudantes,100,100,100,100,100,100
Utilizaram,51.7,40.6,38.3,59.8,55,57.4
Não utilizaram,48.3,59.4,61.7,40.2,45,42.6
Homens,100,100,100,100,100,100
Utilizaram,56.8,43.9,43.7,65.3,61.3,63
Não utilizaram,43.2,56.1,56.3,34.7,38.7,37
Estudantes,100,100,100,100,100,100
Utilizaram,78.2,59.5,66.2,87.6,87.3,87
Não utilizaram,21.8,40.5,33.8,12.4,12.7,13
Rede pública,100,100,100,100,100,100
Utilizaram,72.4,54,59.3,83.7,83.4,82.7
Não utilizaram,27.6,46,40.7,16.3,16.6,17.3
Rede privada,100,100,100,100,100,100
Utilizaram,97.2,92.8,96,97.8,98.2,98.8
Não utilizaram,2.8,7.2,4,2.2,1.8,1.2
Não estudantes,100,100,100,100,100,100
Utilizaram,51.2,38.6,37,60,55.2,56.2
Não utilizaram,48.8,61.4,63,40,44.8,43.8
Mulheres,100,100,100,100,100,100
Utilizaram,58,48.5,46.4,65,61,64.9
Não utilizaram,42,51.5,53.6,35,39,35.1
Estudantes,100,100,100,100,100,100
Utilizaram,81.3,64.8,71.4,89.3,89.1,87.8
Não utilizaram,18.7,35.2,28.6,10.7,10.9,12.2
Rede pública,100,100,100,100,100,100
Utilizaram,75.2,58,64,85.1,84.8,83
Não utilizaram,24.8,42,36,14.9,15.2,17
Rede privada,100,100,100,100,100,100
Utilizaram,97.5,93.9,95.6,98.7,98.8,97.3
Não utilizaram,2.5,6.1,4.4,1.3,1.2,2.7
Não estudantes,100,100,100,100,100,100
Utilizaram,52.2,42.7,39.4,59.6,54.8,58.5
Não utilizaram,47.8,57.3,60.6,40.4,45.2,41.5
