"tabela 1.1.12.2 - distribuição das pessoas de 10 anos ou mais de idade, por grandes regiões, segundo o sexo, a condição de atividade na semana de referência e a utilização da internet, no período de referência dos últimos três meses - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
"Sexo, condição de atividade na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Utilizaram,57.5,46.2,45.1,65.1,61.1,64
Não utilizaram,42.5,53.8,54.9,34.9,38.9,36
Economicamente ativas,100,100,100,100,100,100
Utilizaram,64.5,50.8,50.6,72.9,68.3,69.5
Não utilizaram,35.5,49.2,49.4,27.1,31.7,30.5
Não economicamente ativas,100,100,100,100,100,100
Utilizaram,47.1,40.1,38.2,53.1,49.3,54.9
Não utilizaram,52.9,59.9,61.8,46.9,50.7,45.1
Homens,100,100,100,100,100,100
Utilizaram,56.8,43.9,43.7,65.3,61.3,63
Não utilizaram,43.2,56.1,56.3,34.7,38.7,37
Economicamente ativas,100,100,100,100,100,100
Utilizaram,60.3,45.7,45.2,69.7,65.1,65.2
Não utilizaram,39.7,54.3,54.8,30.3,34.9,34.8
Não economicamente ativas,100,100,100,100,100,100
Utilizaram,49,40.2,40.8,54.7,51.7,57.2
Não utilizaram,51,59.8,59.2,45.3,48.3,42.8
Mulheres,100,100,100,100,100,100
Utilizaram,58,48.5,46.4,65,61,64.9
Não utilizaram,42,51.5,53.6,35,39,35.1
Economicamente ativas,100,100,100,100,100,100
Utilizaram,70,58.7,58,76.8,72.2,75
Não utilizaram,30,41.3,42,23.2,27.8,25
Não economicamente ativas,100,100,100,100,100,100
Utilizaram,46.1,40,36.7,52.2,47.9,53.7
Não utilizaram,53.9,60,63.3,47.8,52.1,46.3
