"tabela 1.1.13.2 - distribuição das pessoas de 10 anos ou mais de idade, por grandes regiões, segundo o sexo, a situação de ocupação na semana de referência e a utilização da internet, no período de referência dos últimos três meses - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
"Sexo, situação de ocupação na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Utilizaram,57.5,46.2,45.1,65.1,61.1,64
Não utilizaram,42.5,53.8,54.9,34.9,38.9,36
Ocupadas,100,100,100,100,100,100
Utilizaram,63.4,49,48.7,72.2,67.7,68.7
Não utilizaram,36.6,51,51.3,27.8,32.3,31.3
Não ocupadas,100,100,100,100,100,100
Utilizaram,50.6,43.2,41.5,56.8,52.1,57.6
Não utilizaram,49.4,56.8,58.5,43.2,47.9,42.4
Homens,100,100,100,100,100,100
Utilizaram,56.8,43.9,43.7,65.3,61.3,63
Não utilizaram,43.2,56.1,56.3,34.7,38.7,37
Ocupados,100,100,100,100,100,100
Utilizaram,59.3,44.3,43.6,69.1,64.6,64.6
Não utilizaram,40.7,55.7,56.4,30.9,35.4,35.4
Não ocupados,100,100,100,100,100,100
Utilizaram,52.4,43.3,43.8,58.4,54.4,59.5
Não utilizaram,47.6,56.7,56.2,41.6,45.6,40.5
Mulheres,100,100,100,100,100,100
Utilizaram,58,48.5,46.4,65,61,64.9
Não utilizaram,42,51.5,53.6,35,39,35.1
Ocupadas,100,100,100,100,100,100
Utilizaram,68.9,56.7,56,76.1,71.6,74.2
Não utilizaram,31.1,43.3,44,23.9,28.4,25.8
Não ocupadas,100,100,100,100,100,100
Utilizaram,49.5,43.1,40.1,55.8,50.7,56.5
Não utilizaram,50.5,56.9,59.9,44.2,49.3,43.5
