"tabela 1.1.14.2 - distribuição dos estudantes de 10 anos ou mais de idade, por grandes regiões, segundo o sexo, a situação de ocupação na semana de referência e a utilização da internet, no período de referência dos últimos três meses - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
"Sexo, situação de ocupação na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Distribuição dos estudantes de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Utilizaram,79.8,62.2,68.8,88.5,88.2,87.4
Não utilizaram,20.2,37.8,31.2,11.5,11.8,12.6
Ocupadas,100,100,100,100,100,100
Utilizaram,87.4,71.3,76.8,94.5,94.7,93.2
Não utilizaram,12.6,28.7,23.2,5.5,5.3,6.8
Não ocupadas,100,100,100,100,100,100
Utilizaram,77.5,59.6,66.7,86.7,85.6,85.3
Não utilizaram,22.5,40.4,33.3,13.3,14.4,14.7
Homens,100,100,100,100,100,100
Utilizaram,78.2,59.5,66.2,87.6,87.3,87
Não utilizaram,21.8,40.5,33.8,12.4,12.7,13
Ocupados,100,100,100,100,100,100
Utilizaram,84.3,66.3,70,93.9,93.6,93.3
Não utilizaram,15.7,33.7,30,6.1,6.4,6.7
Não ocupados,100,100,100,100,100,100
Utilizaram,76.1,57.1,65.1,85.5,84.7,84.6
Não utilizaram,23.9,42.9,34.9,14.5,15.3,15.4
Mulheres,100,100,100,100,100,100
Utilizaram,81.3,64.8,71.4,89.3,89.1,87.8
Não utilizaram,18.7,35.2,28.6,10.7,10.9,12.2
Ocupadas,100,100,100,100,100,100
Utilizaram,90.9,78.2,84.9,95.2,96,93.1
Não utilizaram,9.1,21.8,15.1,4.8,4,6.9
Não ocupadas,100,100,100,100,100,100
Utilizaram,78.7,61.8,68.3,87.7,86.4,85.9
Não utilizaram,21.3,38.2,31.7,12.3,13.6,14.1
