"tabela 1.1.15.2 - distribuição das pessoas de 10 anos ou mais de idade que não eram estudantes, por grandes regiões, segundo o sexo, a situação de ocupação na semana de referência e a utilização da internet, no período de referência dos últimos três meses - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
"Sexo, situação de ocupação na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Distribuição das pessoas de 10 anos ou mais de idade que não eram estudantes (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Utilizaram,51.7,40.6,38.3,59.8,55,57.4
Não utilizaram,48.3,59.4,61.7,40.2,45,42.6
Ocupadas,100,100,100,100,100,100
Utilizaram,61.1,46.2,45.9,70.3,64.9,65.9
Não utilizaram,38.9,53.8,54.1,29.7,35.1,34.1
Não ocupadas,100,100,100,100,100,100
Utilizaram,36.7,31.3,27.7,43.1,36.5,41
Não utilizaram,63.3,68.7,72.3,56.9,63.5,59
Homens,100,100,100,100,100,100
Utilizaram,51.2,38.6,37,60,55.2,56.2
Não utilizaram,48.8,61.4,63,40,44.8,43.8
Ocupados,100,100,100,100,100,100
Utilizaram,57.1,41.7,41.2,67.2,62,61.8
Não utilizaram,42.9,58.3,58.8,32.8,38,38.2
Não ocupados,100,100,100,100,100,100
Utilizaram,34.1,27.6,26.1,40.3,33.2,35.5
Não utilizaram,65.9,72.4,73.9,59.7,66.8,64.5
Mulheres,100,100,100,100,100,100
Utilizaram,52.2,42.7,39.4,59.6,54.8,58.5
Não utilizaram,47.8,57.3,60.6,40.4,45.2,41.5
Ocupadas,100,100,100,100,100,100
Utilizaram,66.5,53.7,52.6,74.3,68.8,71.7
Não utilizaram,33.5,46.3,47.4,25.7,31.2,28.3
Não ocupadas,100,100,100,100,100,100
Utilizaram,38,32.9,28.4,44.5,38.1,43.3
Não utilizaram,62,67.1,71.6,55.5,61.9,56.7
