"tabela 1.1.16.2 - distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grandes regiões, segundo a utilização da internet, no período de referência dos últimos três meses, e os grupamentos ocupacionais no trabalho principal - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
"Utilização da Internet, no período de referência dos últimos três meses, e grupamentos ocupacionais no trabalho principal","Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Dirigentes em geral,5,3.4,3.4,5.7,6.1,5.2
Profissionais das ciências e das artes,9.8,7.5,7.2,11.4,10.4,10.7
Técnicos de nível médio,7.2,5.6,5.7,8.2,7.5,7.1
Trabalhadores de serviços administrativos,9.4,7.5,7.2,10.9,9.7,9.9
Trabalhadores dos serviços,20.2,18.2,19.1,22,17.4,21.5
Vendedores e prestadores de serviço do comércio,9.8,11.5,11.3,9.2,8,9.7
Trabalhadores agrícolas,14,22.4,23.9,7.4,13.2,11.1
Trabalhadores da produção de bens e serviços e de reparação e manutenção,23.8,22.8,21.4,24.3,26.9,23.3
Membros das forças armadas e auxiliares,0.9,1,0.7,0.9,0.7,1.4
Ocupações maldefinidas,0,0,0,0,0,-
Utilizaram,100,100,100,100,100,100
Dirigentes em geral,6.9,5.4,5.7,7.2,8.1,6.8
Profissionais das ciências e das artes,14.6,13.1,13.1,15.3,14.7,14.9
Técnicos de nível médio,10,8.7,9.6,10.4,10.2,9.5
Trabalhadores de serviços administrativos,13.5,13.1,12.8,14,13.1,13.2
Trabalhadores dos serviços,18.2,18.4,19.4,18.7,15,18.8
Vendedores e prestadores de serviço do comércio,10.9,13,13.7,9.9,9.6,10.9
Trabalhadores agrícolas,3.6,5.5,4.8,2.5,4.7,3.9
Trabalhadores da produção de bens e serviços e de reparação e manutenção,21,20.9,19.5,20.9,23.6,20.1
Membros das forças armadas e auxiliares,1.3,1.8,1.4,1.2,1,1.9
Ocupações maldefinidas,0,0,0,0,0,-
Não utilizaram,100,100,100,100,100,100
Dirigentes em geral,1.6,1.5,1.2,1.9,1.9,1.8
Profissionais das ciências e das artes,1.6,2.1,1.5,1.5,1.5,1.6
Técnicos de nível médio,2.2,2.6,2.1,2.4,2,1.9
Trabalhadores de serviços administrativos,2.4,2.1,1.8,3,2.8,2.7
Trabalhadores dos serviços,23.6,18,18.8,30.5,22.4,27.5
Vendedores e prestadores de serviço do comércio,7.9,10.1,9,7.4,4.7,7.1
Trabalhadores agrícolas,31.9,38.6,42.1,20.1,30.9,26.8
Trabalhadores da produção de bens e serviços e de reparação e manutenção,28.6,24.7,23.3,33.2,33.7,30.5
Membros das forças armadas e auxiliares,0.1,0.3,0.1,0.1,0.2,0.2
Ocupações maldefinidas,0,-,0,0,0,-
