"tabela 1.1.17.2 - distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grandes regiões, segundo a utilização da internet, no período de referência dos últimos três meses, e os grupamentos de atividade do trabalho principal - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
"Utilização da Internet, no período de referência dos últimos três meses, e grupamentos de atividade do trabalho principal","Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Agrícola,14.1,22.4,23.9,7.5,13.3,11.9
Indústria,12.5,9.4,8.6,14,17.8,10
Indústria de transformação,11.8,8.3,8,13.1,17.2,9.3
Construção,9,9.3,9.1,9,8.4,9.2
Comércio e reparação,18.2,18.5,18.1,18,18.3,18.7
Alojamento e alimentação,4.9,4.9,4.9,5.3,3.8,5.2
"Transporte, armazenagem e comunicação",5.6,5,4.5,6.4,5.6,5.5
Administração pública,5.3,6.6,5.1,4.9,4.6,7.8
"Educação, saúde e serviços sociais",10.8,10.3,10.1,11.5,10.2,11.1
Serviços domésticos,6.6,5.8,6.3,7.2,5.7,7.4
"Outros serviços coletivos, sociais e pessoais",4.3,3.3,3.6,5,3.9,4.4
Outras atividades,8.7,4.5,5.7,11.2,8.4,9
Atividades maldefinidas,0.1,0.1,0.1,0.1,0,0
Utilizaram,100,100,100,100,100,100
Agrícola,3.7,5.6,4.8,2.6,4.8,4.6
Indústria,13.8,9.4,9.9,14.9,18.6,10.1
Indústria de transformação,12.9,8.2,9,13.9,17.9,9.3
Construção,6.7,7.8,6.8,6.6,6.3,7.1
Comércio e reparação,21,22.9,23.2,19.7,21.5,21.4
Alojamento e alimentação,5.1,5.4,5.6,5.3,3.9,5.4
"Transporte, armazenagem e comunicação",6,5.8,5.3,6.6,5.7,5.4
Administração pública,6.7,10.1,7.8,5.6,5.8,9.8
"Educação, saúde e serviços sociais",14.9,16,16.5,14.6,13.7,14.3
Serviços domésticos,4.6,4.7,5,4.7,3.8,4.9
"Outros serviços coletivos, sociais e pessoais",5.4,4.8,5.3,5.8,4.8,5.3
Outras atividades,12,7.4,9.7,13.8,11.1,11.7
Atividades maldefinidas,0,0.1,0,0.1,0,0
Não utilizaram,100,100,100,100,100,100
Agrícola,32.1,38.6,42.1,20.5,31,27.8
Indústria,10.4,9.4,7.4,11.7,16.3,9.7
Indústria de transformação,9.9,8.5,7.1,11.1,15.8,9.2
Construção,12.9,10.7,11.4,15.2,12.6,13.7
Comércio e reparação,13.2,14.3,13.3,13.6,11.4,12.7
Alojamento e alimentação,4.6,4.3,4.2,5.4,3.5,4.8
"Transporte, armazenagem e comunicação",4.8,4.2,3.7,5.8,5.4,5.7
Administração pública,2.8,3.2,2.5,3,2.2,3.3
"Educação, saúde e serviços sociais",3.8,4.8,4,3.6,2.8,4
Serviços domésticos,10.1,6.8,7.5,13.7,9.8,12.8
"Outros serviços coletivos, sociais e pessoais",2.3,1.8,1.9,3,2,2.3
Outras atividades,2.9,1.7,1.9,4.5,2.9,3.1
Atividades maldefinidas,0.1,0.2,0.1,0.1,0.1,0.1
