"tabela 1.1.18.2 - distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grandes regiões, segundo a utilização da internet, no período de referência dos últimos três meses, a posição na ocupação e a categoria do emprego no trabalho principal - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
"Utilização da Internet, no período de referência dos últimos três meses e grupamentos de atividade do trabalho principal","Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Empregados e trabalhador domésticos,67,57.5,58.3,72.8,67.9,70.5
Com carteira de trabalho assinada,40.7,24.8,26.7,49.4,46.8,42.1
Militares e funcionários públicos estatutários,7.7,9.3,7.3,7.3,7.4,10.1
Outros sem carteira de trabalho assinada,18.6,23.4,24.3,16.1,13.6,18.4
Empregados,60.4,51.7,52,65.7,62.1,63.1
Com carteira de trabalho assinada,38.6,23.7,25.3,46.8,44.8,39.2
Militares e funcionários públicos estatutários,7.7,9.3,7.3,7.3,7.4,10.1
Outros sem carteira de trabalho assinada,14.1,18.7,19.4,11.6,9.9,13.9
Conta própria,22.9,29.2,27.3,20,21.2,21.6
Empregadores,3.7,2.6,2.7,4,5,4.3
Não remunerados,2.4,4.9,3.6,1.3,2.6,1.6
Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,4,5.8,8.2,1.9,3.3,2
Utilizaram,100,100,100,100,100,100
Empregados e trabalhador domésticos,75.3,73.2,73.1,76.9,74.3,75.1
Com carteira de trabalho assinada,48.8,35.3,38.7,53.9,52.4,45.5
Militares e funcionários públicos estatutários,10.2,14.7,11.5,8.8,9.6,12.8
Outros sem carteira de trabalho assinada,16.4,23.3,22.9,14.2,12.3,16.8
Empregados,70.7,68.5,68,72.3,70.5,70.2
Com carteira de trabalho assinada,47.2,34.2,37.3,52,50.9,43.5
Militares e funcionários públicos estatutários,10.2,14.7,11.5,8.8,9.6,12.8
Outros sem carteira de trabalho assinada,13.4,19.6,19.2,11.4,10,13.9
Conta própria,17.5,19.3,18.9,16.9,16.8,18.1
Empregadores,4.7,3.4,4,4.7,6.1,4.9
Não remunerados,1.6,2.8,2.7,1,1.9,1.4
Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,0.7,1.3,1.4,0.4,0.9,0.5
Não utilizaram,100,100,100,100,100,100
Empregados e trabalhador domésticos,52.4,42.5,44.3,62.2,54.4,60.5
Com carteira de trabalho assinada,26.7,14.8,15.2,37.9,35.2,34.7
Militares e funcionários públicos estatutários,3.4,4.2,3.4,3.3,2.8,4.1
Outros sem carteira de trabalho assinada,22.4,23.4,25.7,21.1,16.5,21.7
Empregados,42.3,35.6,36.8,48.5,44.6,47.6
Com carteira de trabalho assinada,23.8,13.5,13.9,33.1,32.1,29.8
Militares e funcionários públicos estatutários,3.4,4.2,3.4,3.3,2.8,4.1
Outros sem carteira de trabalho assinada,15.2,17.9,19.5,12.2,9.7,13.8
Conta própria,32.2,38.7,35.3,27.9,30.5,29.4
Empregadores,1.9,1.8,1.4,2.1,2.6,2.7
Não remunerados,3.7,6.9,4.4,2,4.2,2.1
Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,9.7,10.2,14.6,5.8,8.3,5.3
