"tabela 1.1.19.2 - distribuição das pessoas de 10 anos ou mais de idade, por grandes regiões, segundo a utilização da internet, no período de referência dos últimos três meses, e as classes de rendimento mensal - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
"Utilização da Internet, no período de referência dos últimos três meses, e classes de rendimento mensal",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),100,100,100,100,100,100
Sem rendimento (2),29.4,34.7,31.4,28.9,24.9,28.2
Até 1/2 salário mínimo,7,9.8,14.1,3.6,3.3,4.3
Mais de 1/2 a 1 salário mínimo,5.2,8.3,8.1,3.5,3.8,3.9
Mais de 1 a 2 salário mínimos,32.2,30.4,32.9,32,32.3,32
Mais de 2 a 3 salário mínimos,12.1,8.2,6.8,14.3,16.8,14
Mais de 3 a 5 salários mínimos,7,4.5,3.4,8.7,10,8.3
Mais de 5 a 10 salário mínimos,4.1,2.6,2,5,5.7,5.7
Mais de10 a 20 salário mínimos,1.4,0.7,0.6,1.8,1.6,2.2
Mais de 20 salários mínimos,0.5,0.2,0.2,0.7,0.6,0.9
Utilizaram (1),100,100,100,100,100,100
Sem rendimento (2),33.4,38.8,38.7,32.2,28.5,31.8
Até 1/2 salário mínimo,4.4,6.7,8.7,2.8,2.6,3.5
Mais de 1/2 a 1 salário mínimo,3.9,6,6.2,2.9,3.3,3.5
Mais de 1 a 2 salário mínimos,25.6,25.6,27.3,25.2,24.5,25
Mais de 2 a 3 salário mínimos,13,9.4,7.8,14.4,16.8,13.7
Mais de 3 a 5 salários mínimos,9.3,6.9,5.7,10.3,12,9.6
Mais de 5 a 10 salário mínimos,6.2,4.5,3.7,6.7,7.8,7.7
Mais de10 a 20 salário mínimos,2.2,1.2,1.2,2.5,2.5,3.2
Mais de 20 salários mínimos,0.9,0.3,0.5,1,0.9,1.3
Não utilizaram (1),100,100,100,100,100,100
Sem rendimento (2),24,31.1,25.4,22.7,19.2,21.8
Até 1/2 salário mínimo,10.5,12.5,18.5,5,4.4,5.5
Mais de 1/2 a 1 salário mínimo,6.9,10.2,9.6,4.5,4.4,4.6
Mais de 1 a 2 salário mínimos,41.1,34.6,37.6,44.6,44.6,44.4
Mais de 2 a 3 salário mínimos,10.9,7.2,5.9,14,16.8,14.5
Mais de 3 a 5 salários mínimos,4,2.5,1.5,5.6,6.8,5.8
Mais de 5 a 10 salário mínimos,1.4,1,0.6,1.8,2.4,2.2
Mais de10 a 20 salário mínimos,0.3,0.2,0.1,0.4,0.4,0.4
Mais de 20 salários mínimos,0.1,0.1,0,0.1,0.2,0.2
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
