"tabela 1.1.23.2 - distribuição das pessoas de 10 anos ou mais de idade, por sexo e utilização da internet, no período de referência dos últimos três meses, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Homens,,,Mulheres,,
,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Brasil,100,57.5,42.5,100,56.8,43.2,100,58,42
Norte,100,46.2,53.8,100,43.9,56.1,100,48.5,51.5
Rondônia,100,47.4,52.6,100,45.4,54.6,100,49.5,50.5
Acre,100,43.8,56.2,100,41.5,58.5,100,46.1,53.9
Amazonas,100,49.6,50.4,100,47.4,52.6,100,51.9,48.1
Roraima,100,63.7,36.3,100,60.9,39.1,100,66.6,33.4
Pará,100,43.3,56.7,100,41.4,58.6,100,45.3,54.7
Região Metropolitana de Belém,100,63.8,36.2,100,64,36,100,63.6,36.4
Amapá,100,53.7,46.3,100,52.1,47.9,100,55.2,44.8
Tocantins,100,43.2,56.8,100,39.2,60.8,100,47.3,52.7
Nordeste,100,45.1,54.9,100,43.7,56.3,100,46.4,53.6
Maranhão,100,34.3,65.7,100,32.1,67.9,100,36.4,63.6
Piauí,100,38.8,61.2,100,36.9,63.1,100,40.5,59.5
Ceará,100,43.4,56.6,100,42.2,57.8,100,44.6,55.4
Região Metropolitana de Fortaleza,100,58.3,41.7,100,59.1,40.9,100,57.6,42.4
Rio Grande do Norte,100,52.8,47.2,100,50.7,49.3,100,54.7,45.3
Paraíba,100,51,49,100,49.8,50.2,100,52,48
Pernambuco,100,45.8,54.2,100,45.6,54.4,100,46,54
Região Metropolitana de Recife,100,60.2,39.8,100,62.7,37.3,100,58.2,41.8
Alagoas,100,41.3,58.7,100,40.4,59.6,100,42,58
Sergipe,100,51.2,48.8,100,49.7,50.3,100,52.5,47.5
Bahia,100,48.3,51.7,100,46.8,53.2,100,49.7,50.3
Região Metropolitana de Salvador,100,71,29,100,72.2,27.8,100,69.9,30.1
Sudeste,100,65.1,34.9,100,65.3,34.7,100,65,35
Minas Gerais,100,56.2,43.8,100,55.2,44.8,100,57.1,42.9
Região Metropolitana de Belo Horizonte,100,68.6,31.4,100,69.2,30.8,100,68.2,31.8
Espírito Santo,100,58.5,41.5,100,57,43,100,59.8,40.2
Rio de Janeiro,100,66.3,33.7,100,67.7,32.3,100,65,35
Região Metropolitana do Rio de Janeiro,100,69.9,30.1,100,72.3,27.7,100,67.9,32.1
São Paulo,100,69.5,30.5,100,69.9,30.1,100,69.1,30.9
Região Metropolitana de São Paulo,100,73.1,26.9,100,74.3,25.7,100,72,28
Sul,100,61.1,38.9,100,61.3,38.7,100,61,39
Paraná,100,60.5,39.5,100,60.9,39.1,100,60.1,39.9
Região Metropolitana de Curitiba,100,68.2,31.8,100,69.4,30.6,100,67,33
Santa Catarina,100,62.3,37.7,100,62.4,37.6,100,62.2,37.8
Rio Grande do Sul,100,61.1,38.9,100,60.9,39.1,100,61.2,38.8
Região Metropolitana de Porto Alegre,100,70.1,29.9,100,70.8,29.2,100,69.5,30.5
Centro-Oeste,100,64,36,100,63,37,100,64.9,35.1
Mato Grosso do Sul,100,63.7,36.3,100,63.6,36.4,100,63.9,36.1
Mato Grosso,100,55.2,44.8,100,53,47,100,57.4,42.6
Goiás,100,61.8,38.2,100,60.6,39.4,100,63,37
Distrito Federal,100,78.4,21.6,100,79.4,20.6,100,77.6,22.4
