"tabela 1.1.25.2 - distribuição das pessoas de 10 anos ou mais de idade que utilizaram a internet, no período de referência dos últimos três meses, por grupos de idade, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,"tabela 1.1.25.3 - percentual de pessoas que utilizaram a internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por grupos de idade, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,unnamed: 29
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,,,,,,,
,Total,Grupos de idade,,,,,,,,,Total,Grupos de idade,,,,,,,
,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais,,,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 39 anos,40 a 49 anos,50 a 59 anos,60 anos ou mais
Brasil,100,10.7,14.1,12.3,11.4,21.7,15.2,9.5,5,Brasil,57.5,69.1,82.4,80.7,76.3,69,55.3,40.7,17.4
Norte,100,11.5,17.4,14.6,12.9,22,12.9,6.4,2.3,Norte,46.2,45.8,67.5,66.4,62.2,53.5,40.6,27.2,8.6
Rondônia,100,12.3,16.8,13.7,12.7,21.9,13.3,7.2,2,Rondônia,47.4,58.7,73,68.1,61.3,53.8,38.8,28.2,7.8
Acre,100,11,19.3,15.5,13.4,22.4,12.3,4.4,1.7,Acre,43.8,39.9,61.2,59.7,61.7,53.4,36.2,21.3,6.9
Amazonas,100,11,15.9,15.6,12.5,22,13.5,7,2.4,Amazonas,49.6,43.3,65.9,67.1,63,56.9,48.8,34.1,11
Roraima,100,14.1,16.5,13.1,11.2,23.4,12.3,6.9,2.5,Roraima,63.7,66.1,84.6,81.7,76.7,73.4,57,41.1,16.3
Pará,100,11.1,18.2,14.1,13.6,21.8,12.8,6,2.4,Pará,43.3,41.9,64.9,63.9,61.6,50.8,37.1,23.6,8.2
