"tabela 1.1.26.2 - distribuição das pessoas de 10 anos ou mais de idade, total e que utilizaram a internet, no período de referência dos últimos três meses, e percentual de pessoas que utilizaram a internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por situação do domicílio, segundo as grandes regiões e as unidades da federação - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16
Grandes Regiões e Unidades da Federação,Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,"Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,
,Total,Situação do domicílio,,"Utilizaram a  Internet, no período de referência dos últimos três meses",,,,,
,,,,Total,Situação do domicílio,,Total,Situação do domicílio,
,,Urbana,Rural,,Urbana,Rural,,Urbana,Rural
Brasil,100,85,15,100,93.6,6.4,57.5,63.3,24.5
Norte,100,75.6,24.4,100,90.7,9.3,46.2,55.4,17.6
Rondônia,100,76.1,23.9,100,87,13,47.4,54.3,25.8
Acre,100,72.5,27.5,100,90,10,43.8,54.4,15.9
Amazonas,100,84.8,15.2,100,97.3,2.7,49.6,57,8.7
Roraima,100,84.7,15.3,100,93.9,6.1,63.7,70.7,25.3
Pará,100,69.2,30.8,100,86.8,13.2,43.3,54.3,18.6
Amapá,100,87.7,12.3,100,97.7,2.3,53.7,59.8,10
Tocantins,100,78.2,21.8,100,91.4,8.6,43.2,50.5,17
Nordeste,100,73.4,26.6,100,88.3,11.7,45.1,54.3,19.8
Maranhão,100,59.8,40.2,100,80.4,19.6,34.3,46.1,16.7
Piauí,100,66.5,33.5,100,84.2,15.8,38.8,49.1,18.2
Ceará,100,72.9,27.1,100,86.8,13.2,43.4,51.7,21.1
Rio Grande do Norte,100,77.7,22.3,100,88,12,52.8,59.8,28.4
Paraíba,100,80.4,19.6,100,89.8,10.2,51,57,26.4
Pernambuco,100,80.2,19.8,100,92,8,45.8,52.6,18.4
Alagoas,100,73.8,26.2,100,89.3,10.7,41.3,49.9,16.8
Sergipe,100,71.5,28.5,100,84.2,15.8,51.2,60.3,28.3
Bahia,100,74.3,25.7,100,90.2,9.8,48.3,58.7,18.4
Sudeste,100,93.2,6.8,100,96.6,3.4,65.1,67.5,32.8
Minas Gerais,100,84.1,15.9,100,92.6,7.4,56.2,61.9,26.2
Espírito Santo,100,85,15,100,93.7,6.3,58.5,64.4,24.8
Rio de Janeiro,100,97.4,2.6,100,98.4,1.6,66.3,67,40.1
São Paulo,100,96.6,3.4,100,97.6,2.4,69.5,70.2,48.5
Sul,100,85.4,14.6,100,91.9,8.1,61.1,65.8,33.9
Paraná,100,87.3,12.7,100,92.7,7.3,60.5,64.3,34.7
Santa Catarina,100,83.6,16.4,100,90.5,9.5,62.3,67.4,36.3
Rio Grande do Sul,100,84.7,15.3,100,92.1,7.9,61.1,66.4,31.7
Centro-Oeste,100,89.9,10.1,100,95.2,4.8,64,67.7,30.3
Mato Grosso do Sul,100,89.2,10.8,100,94,6,63.7,67.1,35.8
Mato Grosso,100,81.9,18.1,100,93,7,55.2,62.6,21.4
Goiás,100,91.6,8.4,100,95.6,4.4,61.8,64.5,32.6
Distrito Federal,100,95.5,4.5,100,97.3,2.7,78.4,79.9,47.6
