"tabela 1.1.28.2 - distribuição das pessoas de 10 anos ou mais de idade que utilizaram a internet, no período de referência dos últimos três meses, por grupos de anos de estudo, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,"tabela 1.1.28.3 - percentual de pessoas que utilizaram a internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por grupos de anos de estudo, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,,,,,
,Total,Grupos de anos de estudo,,,,,,,Total (1),Grupos de anos de estudo,,,,,
,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados,,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados
Brasil,100,5,18.3,19.5,41.1,16,0.1,Brasil,57.5,15.3,42.4,65.2,80.5,92.3,55.2
Norte,100,5.2,19.5,21.8,40.7,12.6,0.2,Norte,46.2,10.7,34.7,55.3,70.8,86.6,41.1
Rondônia,100,6,22.4,20.9,36.3,14.3,0.2,Rondônia,47.4,13.2,38.3,56.1,69.6,81.1,66.7
Acre,100,6.3,14.3,22.2,40.9,15.7,0.6,Acre,43.8,10.3,30.1,51.2,72.2,86.5,47.6
Amazonas,100,4.6,18.3,18.8,45.1,13.1,0.1,Amazonas,49.6,12.6,36.5,52.4,71.1,86.8,19.4
Roraima,100,4.9,18.7,18.9,41.7,15.7,0.1,Roraima,63.7,19.1,49.7,66.4,85.1,96.7,100
Pará,100,5.5,20.4,24.3,39.6,10,0.2,Pará,43.3,9.6,32.4,56.9,70.9,86.2,52.3
Região Metropolitana de Belém,100,4.4,16,22.1,44.1,13.1,0.3,Região Metropolitana de Belém,63.8,23.7,47,64.8,79.8,91.6,74.1
Amapá,100,4.2,18.2,20.6,42,14.6,0.4,Amapá,53.7,13.1,41,58.6,72.6,92.1,71.4
Tocantins,100,4.5,18,20.1,38.6,18.7,-,Tocantins,43.2,8.4,32.8,49.8,63.7,86.9,-
