"tabela 1.1.3.2 - distribuição das pessoas de 10 anos ou mais de idade que não utilizaram a internet, no período de referência dos últimos três meses, por grandes regiões, segundo o sexo e os grupos de idade - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
Sexo e grupos de idade,"Distribuição das pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
10 a 14 anos,6.5,11.7,8.5,4.1,4,5.1
15 a 17 anos,2.5,4.7,3.3,1.6,1.5,1.8
18 ou 19 anos,1.5,2.5,2,1,1,1.2
20 a 24 anos,4,6.3,5,2.8,2.9,3.5
25 a 29 anos,4.8,6.7,6.1,3.5,3.6,4.1
30 a 34 anos,6,8,7.2,4.7,4.7,6
35 a 39 anos,7.1,8.4,8.3,6.2,5.4,7.3
40 a 44 anos,7.8,8.3,8.2,7.2,7.3,8.7
45 a 49 anos,8.9,7.9,8.9,8.8,9,10.1
50 a 54 anos,9.6,7.9,8.7,10.1,11.3,10.3
55 a 59 anos,9.2,6.7,7.7,10.5,11.2,9.9
60 anos ou mais,32.1,20.7,26,39.4,38,31.9
Homens,100,100,100,100,100,100
10 a 14 anos,7.2,12,9.3,4.8,4.3,5.5
15 a 17 anos,3,5.1,4,1.9,1.7,2.1
18 ou 19 anos,1.8,2.7,2.4,1.2,1.1,1.4
20 a 24 anos,4.5,6.6,5.5,3.4,3.4,3.8
25 a 29 anos,5.3,6.4,6.7,4,4.1,4.6
30 a 34 anos,6.6,8.2,7.8,5.3,5.3,6.4
35 a 39 anos,7.5,8.2,8.5,6.9,5.9,7.8
40 a 44 anos,8.2,8.5,8.2,8.1,8,8.9
45 a 49 anos,9,8.1,8.9,9.1,9.3,10.3
50 a 54 anos,9.6,7.7,8.3,10.6,11.4,10.3
55 a 59 anos,8.8,6.7,7.3,9.9,11.1,9.6
60 anos ou mais,28.6,19.6,23.2,34.8,34.4,29.4
Mulheres,100,100,100,100,100,100
10 a 14 anos,5.9,11.4,7.7,3.6,3.6,4.8
15 a 17 anos,2.1,4.2,2.7,1.4,1.3,1.5
18 ou 19 anos,1.3,2.4,1.7,0.8,0.9,1.1
20 a 24 anos,3.5,6,4.5,2.2,2.6,3.1
25 a 29 anos,4.3,7.1,5.5,3,3.2,3.7
30 a 34 anos,5.4,7.8,6.6,4.1,4.2,5.5
35 a 39 anos,6.8,8.6,8.1,5.7,4.9,6.7
40 a 44 anos,7.4,8,8.3,6.4,6.6,8.4
45 a 49 anos,8.7,7.7,8.8,8.6,8.8,10
50 a 54 anos,9.6,8.2,9.1,9.7,11.3,10.4
55 a 59 anos,9.6,6.8,8.1,11,11.3,10.3
60 anos ou mais,35.4,21.8,28.8,43.6,41.3,34.4
