"tabela 1.1.30.2 - distribuição das pessoas de 10 anos ou mais de idade que utilizaram a internet, no período de referência dos últimos três meses, por nível de instrução, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,"tabela 1.1.30.3 - percentual de pessoas que utilizaram a internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade, por nível de instrução, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de 10 anos ou mais de idade (%)",,,,,,,
,Total,Nível de instrução,,,,,,,,Total (1),Nível de instrução,,,,,,
,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado,,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado
Brasil,100,23.2,9.9,9.5,32.9,7.6,16.6,0.3,Brasil,57.5,30.8,57.4,76.2,77.5,94.7,92.8,68.3
Norte,100,24.7,9.8,11.7,32.6,8.3,12.5,0.5,Norte,46.2,23.6,47.4,64.4,66.8,91.5,87.5,51
Rondônia,100,28.3,10.5,10,27,9.8,13.8,0.6,Rondônia,47.4,27.3,48.7,66.4,64.3,87.5,83.4,66.7
Acre,100,20.6,9.3,12.4,31.9,9.9,14.8,1.1,Acre,43.8,18.9,40.5,62.7,68.2,91.5,86.1,58.1
Amazonas,100,22.9,7.4,11,35.5,9.4,13.3,0.4,Amazonas,49.6,26.5,43,61.8,66.7,93.9,87.3,34.9
Roraima,100,23.6,8.6,10,31.2,10.8,15.4,0.3,Roraima,63.7,37.4,58.9,73.9,81.5,97.9,96.6,100
Pará,100,25.9,11.3,12.8,33.4,6.2,10,0.4,Pará,43.3,21.5,49.6,65.7,67.9,89.6,87.6,55.4
Região Metropolitana de Belém,100,20.4,10.3,11.6,36.5,7.5,13.2,0.6,Região Metropolitana de Belém,63.8,38.8,56.1,74.9,77,96.6,91.7,77.8
Amapá,100,22.5,9.3,10.9,31.5,11.3,13.8,0.6,Amapá,53.7,29.3,50.6,67.5,66.6,98.6,92.1,66.7
Tocantins,100,22.6,8.7,11.3,28.4,10.7,18.3,0.1,Tocantins,43.2,20.7,41.6,58.9,57.7,89.7,86.6,50
Nordeste,100,26.8,9,10.6,33.8,7.5,12,0.4,Nordeste,45.1,22.7,48.9,67.2,71.2,93.7,89.7,56.1
Maranhão,100,24.4,9.3,12.7,35.2,7,11.1,0.2,Maranhão,34.3,15.1,37,53.8,59.2,87,87.2,40
Piauí,100,25.7,9.9,14.1,29.1,7.2,13.9,0.1,Piauí,38.8,17.3,48.1,64.9,67,95.7,87.6,100
Ceará,100,23.3,10.7,10.9,35.1,9,10.7,0.4,Ceará,43.4,19.9,46.6,65,68.6,93.1,86.8,53.6
Região Metropolitana de Fortaleza,100,22.8,10.5,9.7,36,9.1,11.4,0.5,Região Metropolitana de Fortaleza,58.3,33.1,54.7,74,75.4,96.7,90.3,77.1
Rio Grande do Norte,100,28.5,7.7,9.3,34,7.1,12.9,0.5,Rio Grande do Norte,52.8,29.5,54.4,68.4,79.2,95.2,92.3,75
Paraíba,100,28.6,8.8,9.3,29.9,8.9,14.2,0.3,Paraíba,51,27.5,56.6,75.1,78,96,86.3,87.5
Pernambuco,100,25.6,8.9,9.8,34,7.1,14.2,0.4,Pernambuco,45.8,23,47,69.2,69.6,91.1,88,44.6
Região Metropolitana de Recife,100,22.8,8.4,8.7,37.6,7.1,15.2,0.2,Região Metropolitana de Recife,60.2,35.6,55,76.1,75,90.8,89.3,58.1
Alagoas,100,31.3,8.7,10.2,28.4,7.5,13.5,0.4,Alagoas,41.3,21.6,46.4,69,70.6,96.6,89.7,53.8
Sergipe,100,32.8,8.7,9.8,31.1,6.8,10.3,0.6,Sergipe,51.2,30.4,56.4,74.1,77.8,92,91.7,80.9
Bahia,100,27.6,8.4,10.5,35.7,7,10.4,0.3,Bahia,48.3,25.1,54.2,71.3,74.6,96.4,94.5,58.5
Região Metropolitana de Salvador,100,23,7.3,9.2,38.8,8.1,13.5,0.1,Região Metropolitana de Salvador,71,47.2,62.8,81.5,83.3,97.2,95.9,54.5
Sudeste,100,21.3,10.1,8.9,34.1,7.1,18.3,0.2,Sudeste,65.1,37.2,62,82.9,81.3,95.6,94,81.1
Minas Gerais,100,25,10.4,9.4,32.2,7.3,15.5,0.3,Minas Gerais,56.2,29.7,60.9,79.2,79,97.4,94.2,84.9
Região Metropolitana de Belo Horizonte,100,22.6,9.5,8.9,32.4,8.1,18.3,0.2,Região Metropolitana de Belo Horizonte,68.6,41.6,64.1,86.3,83.4,98.3,96.4,90
Espírito Santo,100,24,9.5,8.8,32.6,7.8,16.9,0.4,Espírito Santo,58.5,32.6,56,78.7,78,92.6,91.4,85.7
Rio de Janeiro,100,21.7,10.4,8.8,34.1,6.9,17.8,0.2,Rio de Janeiro,66.3,41.9,57,83.4,78.6,94.8,92.7,82.9
Região Metropolitana do Rio de Janeiro,100,20.5,10.2,8.7,34.4,7.1,19,0.1,Região Metropolitana do Rio de Janeiro,69.9,46.1,58.2,85.2,80.2,95.6,93.2,77.8
São Paulo,100,19.7,9.9,8.7,35,7,19.6,0.1,São Paulo,69.5,40.8,65.1,84.8,83.5,95.5,94.5,75.6
Região Metropolitana de São Paulo,100,18.4,9.6,8.7,34.2,7.1,22,0.1,Região Metropolitana de São Paulo,73.1,44.3,67.4,85.6,84.1,96.2,96.2,87.5
Sul,100,23.1,11,8.7,30.3,8.3,18.1,0.6,Sul,61.1,34.2,59.9,79.8,80,94.6,93,80.3
Paraná,100,22,10.1,8.6,31.5,7.4,19.7,0.7,Paraná,60.5,33,58.7,75.9,78.2,94.2,93.7,71.9
Região Metropolitana de Curitiba,100,19.4,9.3,7.6,32.2,7.3,23.7,0.5,Região Metropolitana de Curitiba,68.2,39.8,58.9,78.6,81.5,97.8,95.1,80
Santa Catarina,100,21.5,11.4,8.1,32,7.5,18.6,0.9,Santa Catarina,62.3,35,57.8,81.2,79,95.7,92.2,87.3
Rio Grande do Sul,100,25.2,11.6,9.2,28,9.6,16.2,0.3,Rio Grande do Sul,61.1,34.8,62.3,82.8,82.8,94.3,92.9,92.6
Região Metropolitana de Porto Alegre,100,23.3,11,8.6,29.1,10.2,17.5,0.3,Região Metropolitana de Porto Alegre,70.1,44.5,66.3,84.6,85.8,94.8,94.3,93.5
Centro-Oeste,100,24.3,9.1,9.5,29.2,9,18.7,0.3,Centro-Oeste,64,38.6,60.4,79.4,79.3,95.6,94,71.6
Mato Grosso do Sul,100,29.3,9.3,8.6,26.5,8.2,17.7,0.5,Mato Grosso do Sul,63.7,40.7,65,84.5,81.3,97.5,94,84.2
Mato Grosso,100,23.6,10.2,11,31.1,8.7,15,0.2,Mato Grosso,55.2,31.4,50.5,69,72,93.3,91.1,40
Goiás,100,25.1,9.7,10.5,30.5,9,15.1,0.2,Goiás,61.8,36.7,61.3,80.5,78.9,95.1,92.5,75
Distrito Federal,100,19.5,7.1,7.3,27.4,9.7,28.7,0.3,Distrito Federal,78.4,53,67.8,86.9,86.2,96.8,96.7,91.3
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,
,,,,,,,,,(1) Inclusive as pessoas com nível de instrução não determinado.,,,,,,,,
