"tabela 1.1.31.2 - distribuição das pessoas de 10 anos ou mais de idade, por condição de estudantes e utilização da internet, no período de referência dos últimos três meses, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Estudantes,,,Não estudantes,,
,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Brasil,100,57.5,42.5,100,79.8,20.2,100,51.7,48.3
Norte,100,46.2,53.8,100,62.2,37.8,100,40.6,59.4
Rondônia,100,47.4,52.6,100,72.2,27.8,100,40.4,59.6
Acre,100,43.8,56.2,100,55.2,44.8,100,39.2,60.8
Amazonas,100,49.6,50.4,100,60.1,39.9,100,45.6,54.4
Roraima,100,63.7,36.3,100,79.4,20.6,100,56.8,43.2
Pará,100,43.3,56.7,100,58.8,41.2,100,38.1,61.9
Região Metropolitana de Belém,100,63.8,36.2,100,81.6,18.4,100,58.7,41.3
Amapá,100,53.7,46.3,100,68.1,31.9,100,47.8,52.2
Tocantins,100,43.2,56.8,100,69.5,30.5,100,34.9,65.1
Nordeste,100,45.1,54.9,100,68.8,31.2,100,38.3,61.7
Maranhão,100,34.3,65.7,100,49.9,50.1,100,29.1,70.9
Piauí,100,38.8,61.2,100,62.1,37.9,100,31.4,68.6
Ceará,100,43.4,56.6,100,71.5,28.5,100,35.9,64.1
Região Metropolitana de Fortaleza,100,58.3,41.7,100,84.1,15.9,100,51.3,48.7
Rio Grande do Norte,100,52.8,47.2,100,82.9,17.1,100,44.4,55.6
Paraíba,100,51,49,100,79.2,20.8,100,42.9,57.1
Pernambuco,100,45.8,54.2,100,71.5,28.5,100,39,61
Região Metropolitana de Recife,100,60.2,39.8,100,87.9,12.1,100,53.4,46.6
Alagoas,100,41.3,58.7,100,64.5,35.5,100,34.3,65.7
Sergipe,100,51.2,48.8,100,73.8,26.2,100,44.6,55.4
Bahia,100,48.3,51.7,100,70.8,29.2,100,41.8,58.2
Região Metropolitana de Salvador,100,71,29,100,90.3,9.7,100,65.6,34.4
Sudeste,100,65.1,34.9,100,88.5,11.5,100,59.8,40.2
Minas Gerais,100,56.2,43.8,100,84.1,15.9,100,49.5,50.5
Região Metropolitana de Belo Horizonte,100,68.6,31.4,100,91.4,8.6,100,62.8,37.2
Espírito Santo,100,58.5,41.5,100,82.9,17.1,100,52.7,47.3
Rio de Janeiro,100,66.3,33.7,100,88.3,11.7,100,61.2,38.8
Região Metropolitana do Rio de Janeiro,100,69.9,30.1,100,90.9,9.1,100,65.1,34.9
São Paulo,100,69.5,30.5,100,91.2,8.8,100,64.7,35.3
Região Metropolitana de São Paulo,100,73.1,26.9,100,91.6,8.4,100,68.7,31.3
Sul,100,61.1,38.9,100,88.2,11.8,100,55,45
Paraná,100,60.5,39.5,100,86.3,13.7,100,54.6,45.4
Região Metropolitana de Curitiba,100,68.2,31.8,100,88.3,11.7,100,63.6,36.4
Santa Catarina,100,62.3,37.7,100,88.8,11.2,100,56.3,43.7
Rio Grande do Sul,100,61.1,38.9,100,89.7,10.3,100,54.6,45.4
Região Metropolitana de Porto Alegre,100,70.1,29.9,100,91.3,8.7,100,64.8,35.2
Centro-Oeste,100,64,36,100,87.4,12.6,100,57.4,42.6
Mato Grosso do Sul,100,63.7,36.3,100,90.1,9.9,100,56.9,43.1
Mato Grosso,100,55.2,44.8,100,79.2,20.8,100,48.7,51.3
Goiás,100,61.8,38.2,100,87.2,12.8,100,55,45
Distrito Federal,100,78.4,21.6,100,93.2,6.8,100,73.4,26.6
