"tabela 1.1.32.2 - distribuição das pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e utilização da internet, no período de referência dos últimos três meses, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Condição de atividade na semana de referência,,,,,
,,,,Economicamente ativas,,,Não economicamente ativas,,
,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Brasil,100,57.5,42.5,100,64.5,35.5,100,47.1,52.9
Norte,100,46.2,53.8,100,50.8,49.2,100,40.1,59.9
Rondônia,100,47.4,52.6,100,52.2,47.8,100,40.7,59.3
Acre,100,43.8,56.2,100,47.5,52.5,100,39.3,60.7
Amazonas,100,49.6,50.4,100,54.8,45.2,100,42.7,57.3
Roraima,100,63.7,36.3,100,69.1,30.9,100,55.8,44.2
Pará,100,43.3,56.7,100,47.5,52.5,100,37.8,62.2
Região Metropolitana de Belém,100,63.8,36.2,100,69.5,30.5,100,55.5,44.5
Amapá,100,53.7,46.3,100,61.5,38.5,100,44.7,55.3
Tocantins,100,43.2,56.8,100,47.4,52.6,100,37.7,62.3
Nordeste,100,45.1,54.9,100,50.6,49.4,100,38.2,61.8
Maranhão,100,34.3,65.7,100,36.8,63.2,100,31.1,68.9
Piauí,100,38.8,61.2,100,40.3,59.7,100,36.1,63.9
Ceará,100,43.4,56.6,100,50.6,49.4,100,35.6,64.4
Região Metropolitana de Fortaleza,100,58.3,41.7,100,65.9,34.1,100,48.1,51.9
Rio Grande do Norte,100,52.8,47.2,100,59.4,40.6,100,44.6,55.4
Paraíba,100,51,49,100,55.4,44.6,100,44.9,55.1
Pernambuco,100,45.8,54.2,100,52.2,47.8,100,38.7,61.3
Região Metropolitana de Recife,100,60.2,39.8,100,69.9,30.1,100,48.6,51.4
Alagoas,100,41.3,58.7,100,50.1,49.9,100,33.2,66.8
Sergipe,100,51.2,48.8,100,55.1,44.9,100,45.3,54.7
Bahia,100,48.3,51.7,100,54.2,45.8,100,40.2,59.8
Região Metropolitana de Salvador,100,71,29,100,77.7,22.3,100,58.9,41.1
Sudeste,100,65.1,34.9,100,72.9,27.1,100,53.1,46.9
Minas Gerais,100,56.2,43.8,100,62.1,37.9,100,46.4,53.6
Região Metropolitana de Belo Horizonte,100,68.6,31.4,100,75.6,24.4,100,55.7,44.3
Espírito Santo,100,58.5,41.5,100,65.7,34.3,100,47.6,52.4
Rio de Janeiro,100,66.3,33.7,100,74.5,25.5,100,55.2,44.8
Região Metropolitana do Rio de Janeiro,100,69.9,30.1,100,78,22,100,58.7,41.3
São Paulo,100,69.5,30.5,100,78.1,21.9,100,55.8,44.2
Região Metropolitana de São Paulo,100,73.1,26.9,100,81.4,18.6,100,59.4,40.6
Sul,100,61.1,38.9,100,68.3,31.7,100,49.3,50.7
Paraná,100,60.5,39.5,100,68.1,31.9,100,48.4,51.6
Região Metropolitana de Curitiba,100,68.2,31.8,100,76.8,23.2,100,54.7,45.3
Santa Catarina,100,62.3,37.7,100,70.3,29.7,100,49.4,50.6
Rio Grande do Sul,100,61.1,38.9,100,67.2,32.8,100,50.2,49.8
Região Metropolitana de Porto Alegre,100,70.1,29.9,100,78.7,21.3,100,56,44
Centro-Oeste,100,64,36,100,69.5,30.5,100,54.9,45.1
Mato Grosso do Sul,100,63.7,36.3,100,68.9,31.1,100,55,45
Mato Grosso,100,55.2,44.8,100,60.1,39.9,100,47.2,52.8
Goiás,100,61.8,38.2,100,67.7,32.3,100,52.2,47.8
Distrito Federal,100,78.4,21.6,100,84.1,15.9,100,69.3,30.7
