"tabela 1.1.33.2 - distribuição das pessoas de 10 anos ou mais de idade, por situação de ocupação na semana de referência e utilização da internet, no período de referência dos últimos três meses, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Situação de ocupação na semana de referência,,,,,
,,,,Ocupadas,,,Não ocupadas,,
,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Brasil,100,57.5,42.5,100,63.4,36.6,100,50.6,49.4
Norte,100,46.2,53.8,100,49,51,100,43.2,56.8
Rondônia,100,47.4,52.6,100,51.3,48.7,100,42.9,57.1
Acre,100,43.8,56.2,100,45.5,54.5,100,42.1,57.9
Amazonas,100,49.6,50.4,100,52.5,47.5,100,46.7,53.3
Roraima,100,63.7,36.3,100,68.1,31.9,100,58.7,41.3
Pará,100,43.3,56.7,100,45.8,54.2,100,40.6,59.4
Região Metropolitana de Belém,100,63.8,36.2,100,68.6,31.4,100,58.8,41.2
Amapá,100,53.7,46.3,100,59,41,100,48.9,51.1
Tocantins,100,43.2,56.8,100,45.9,54.1,100,40.2,59.8
Nordeste,100,45.1,54.9,100,48.7,51.3,100,41.5,58.5
Maranhão,100,34.3,65.7,100,34.8,65.2,100,33.8,66.2
Piauí,100,38.8,61.2,100,37.8,62.2,100,40,60
Ceará,100,43.4,56.6,100,49.1,50.9,100,38.2,61.8
Região Metropolitana de Fortaleza,100,58.3,41.7,100,64.7,35.3,100,51.5,48.5
Rio Grande do Norte,100,52.8,47.2,100,57.8,42.2,100,48.1,51.9
Paraíba,100,51,49,100,54.5,45.5,100,47.1,52.9
Pernambuco,100,45.8,54.2,100,50.3,49.7,100,41.9,58.1
Região Metropolitana de Recife,100,60.2,39.8,100,68.5,31.5,100,53.1,46.9
Alagoas,100,41.3,58.7,100,48.5,51.5,100,36.4,63.6
Sergipe,100,51.2,48.8,100,53.3,46.7,100,48.7,51.3
Bahia,100,48.3,51.7,100,52.2,47.8,100,44.1,55.9
Região Metropolitana de Salvador,100,71,29,100,76.9,23.1,100,64,36
Sudeste,100,65.1,34.9,100,72.2,27.8,100,56.8,43.2
Minas Gerais,100,56.2,43.8,100,61.1,38.9,100,49.8,50.2
Região Metropolitana de Belo Horizonte,100,68.6,31.4,100,74.9,25.1,100,60.3,39.7
Espírito Santo,100,58.5,41.5,100,64.4,35.6,100,51.6,48.4
Rio de Janeiro,100,66.3,33.7,100,74.3,25.7,100,58.1,41.9
Região Metropolitana do Rio de Janeiro,100,69.9,30.1,100,77.9,22.1,100,61.5,38.5
São Paulo,100,69.5,30.5,100,77.6,22.4,100,59.8,40.2
Região Metropolitana de São Paulo,100,73.1,26.9,100,81,19,100,63.4,36.6
Sul,100,61.1,38.9,100,67.7,32.3,100,52.1,47.9
Paraná,100,60.5,39.5,100,67.7,32.3,100,51,49
Região Metropolitana de Curitiba,100,68.2,31.8,100,76.4,23.6,100,57.5,42.5
Santa Catarina,100,62.3,37.7,100,70,30,100,51.5,48.5
Rio Grande do Sul,100,61.1,38.9,100,66.2,33.8,100,53.6,46.4
Região Metropolitana de Porto Alegre,100,70.1,29.9,100,78.1,21.9,100,59.6,40.4
Centro-Oeste,100,64,36,100,68.7,31.3,100,57.6,42.4
Mato Grosso do Sul,100,63.7,36.3,100,68.1,31.9,100,57.4,42.6
Mato Grosso,100,55.2,44.8,100,59.7,40.3,100,48.9,51.1
Goiás,100,61.8,38.2,100,66.7,33.3,100,55.3,44.7
Distrito Federal,100,78.4,21.6,100,84,16,100,71.5,28.5
