"tabela 1.1.34.2 - distribuição das pessoas de 10 anos ou mais de idade, por classes de rendimento mensal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,,,,
,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,
,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10
Brasil,100,29.4,7,5.2,32.2,12.1,7,4.1,1.9
Norte,100,34.7,9.8,8.3,30.4,8.2,4.5,2.6,0.9
Rondônia,100,31.8,6.5,5.3,32.7,11.7,7.1,3.3,1.2
Acre,100,36.1,10.9,7.6,29.3,7.3,4.4,3.1,0.8
Amazonas,100,38.4,9.2,7.8,27.9,8.1,4.6,2.7,1
Roraima,100,31.3,9.2,6.6,30.8,9.2,5.8,4.9,1.7
Pará,100,34.3,11.1,9.7,30.6,7.5,3.5,2.1,0.6
Região Metropolitana de Belém,100,32.2,7.6,7.7,34.5,7.7,4.5,3.7,1.4
Amapá,100,36.2,7.7,7.6,28.6,8.3,7,3.4,0.9
Tocantins,100,30.4,9.3,6.2,34.7,8.6,5,3.3,1.4
Nordeste,100,31.4,14.1,8.1,32.9,6.8,3.4,2,0.8
Maranhão,100,33.9,17.7,8.4,28.4,6.1,2.4,1.6,0.8
Piauí,100,30.1,16.6,9.1,31.3,6.7,3.2,2.2,0.6
Ceará,100,31.8,13.4,7.9,34.4,6.5,3,1.6,0.6
Região Metropolitana de Fortaleza,100,30.9,8.1,6.5,37.2,8.2,4.4,2.5,1.1
Rio Grande do Norte,100,31.2,12.3,6.7,33.1,7.7,4.7,2.8,1
Paraíba,100,29.3,14.9,8.1,32.4,6.9,4.3,2.4,1.2
Pernambuco,100,32.8,12.2,7.4,33.8,6.8,3.3,2.1,1.1
Região Metropolitana de Recife,100,32.6,8.7,5.7,34.8,8.7,4.7,2.9,1.8
Alagoas,100,34.3,13.6,6.4,34.2,5.7,2.9,1.9,0.4
Sergipe,100,29.9,15,8.4,33,6.6,3.7,2.2,0.7
Bahia,100,29.7,13.7,8.8,33.6,7.2,3.6,2.1,0.8
Região Metropolitana de Salvador,100,28,7.6,6.8,36,9.5,5.9,4,1.7
Sudeste,100,28.9,3.6,3.5,32,14.3,8.7,5,2.5
Minas Gerais,100,28.4,5.5,4.5,36.7,12.3,6.5,3.8,1.9
Região Metropolitana de Belo Horizonte,100,27.9,3.1,3.5,34,13.6,8.4,5.6,3.2
Espírito Santo,100,29.8,5,4.8,33.4,12.5,7.4,3.9,1.9
Rio de Janeiro,100,29.2,3.4,3.8,32.7,13.7,8,5.1,2.8
Região Metropolitana do Rio de Janeiro,100,28.8,3.2,3.6,31.4,14.3,8.4,5.6,3.3
São Paulo,100,28.9,2.6,2.8,29.4,15.6,10,5.6,2.6
Região Metropolitana de São Paulo,100,29.8,2.6,2.6,27.6,14.9,9.9,6.3,3.5
Sul,100,24.9,3.3,3.8,32.3,16.8,10,5.7,2.2
Paraná,100,26.9,3.6,4,32.2,15.5,9.1,5.5,2.3
Região Metropolitana de Curitiba,100,27.7,2.1,2.6,27.6,17.4,11.3,7,3.7
Santa Catarina,100,23.7,1.9,2.8,30,19.8,12.1,6.1,2.1
Rio Grande do Sul,100,23.6,3.9,4.1,33.8,16.2,9.5,5.6,2.2
Região Metropolitana de Porto Alegre,100,24.4,2.6,3.2,32.5,15.8,10.1,6.1,3.3
Centro-Oeste,100,28.2,4.3,3.9,32,14,8.3,5.7,3.1
Mato Grosso do Sul,100,26.2,5.2,4.2,33.5,14,8.6,5.8,2.4
Mato Grosso,100,28.2,4.8,3.7,32.5,14.8,8.6,4.5,1.8
Goiás,100,28.2,4.4,4.2,34.6,14.5,7.8,4.2,1.4
Distrito Federal,100,30.1,2.5,2.9,24.2,12,8.5,10.1,9.1
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
