"tabela 1.1.35.2 - distribuição das pessoas de 10 anos ou mais de idade que utilizaram a internet, no período de referência dos últimos três meses, por classes de rendimento mensal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 11,unnamed: 12,unnamed: 13,unnamed: 14,unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,"tabela 1.1.35.3 - percentual de pessoas que utilizaram a internet, no período de referência dos últimos três meses, na população de pessoas de 10 anos ou mais de idade, por classes de rendimento mensal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,unnamed: 26,unnamed: 27,unnamed: 28,unnamed: 29
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,,,,,"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Percentual de pessoas que utilizaram a Internet, no período de referência dos últimos três meses, na população de pessoas de 10 anos ou mais de idade (%)",,,,,,,,
,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,,,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,
,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10,,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10
Brasil,100,33.4,4.4,3.9,25.6,13,9.3,6.2,3,Brasil,57.5,65.3,36.1,43.7,45.7,61.8,75.8,85.4,91.8
Norte,100,38.8,6.7,6,25.6,9.4,6.9,4.5,1.6,Norte,46.2,51.7,31.6,33.7,38.9,52.6,70,78.8,85
Rondônia,100,36.8,4.1,4.3,25.3,11.9,9.8,5.1,2.1,Rondônia,47.4,54.8,30.4,38.6,36.7,48.2,65.6,73.2,84.6
Acre,100,38.7,7.6,5.2,25,9,7.3,5.4,1.7,Acre,43.8,47,30.3,29.9,37.5,53.9,72.5,76.5,87.1
Amazonas,100,40.3,5.9,5,25.7,9.8,6.9,4.5,1.7,Amazonas,49.6,52.2,31.9,31.5,45.7,60.4,73.6,84,86.3
Roraima,100,34.2,6.8,4.8,26.4,10.9,7.4,6.9,2.3,Roraima,63.7,69.7,47.1,45.9,54.8,75.4,81.4,89,85.7
Pará,100,38.9,7.7,7.8,26,8.4,5.6,3.8,1.2,Pará,43.3,49.2,30.2,34.9,36.8,48.6,68.1,77.6,85.1
Região Metropolitana de Belém,100,35.4,7.1,7.4,28.3,8.4,5.5,5,1.9,Região Metropolitana de Belém,63.8,70.2,60.2,61.8,52.4,69.8,78.2,85,90.6
Amapá,100,40.1,6.2,4.9,23.6,9.4,9.7,4.7,1.3,Amapá,53.7,59.5,43.2,34.2,44.3,61.2,74.7,75,77.3
Tocantins,100,37.9,6.9,3.4,24.9,9.4,7.8,6,2.7,Tocantins,43.2,53.7,32.2,23.9,31,47.5,67.6,77.1,84.5
Nordeste,100,38.7,8.7,6.2,27.3,7.8,5.7,3.7,1.6,Nordeste,45.1,55.6,28,34.7,37.4,52,75.8,82.8,89.3
Maranhão,100,39.6,10.9,6.7,24.4,7.9,4.5,3.8,2,Maranhão,34.3,40.1,21.2,27.1,29.6,44.4,64.8,82.9,86.7
Piauí,100,39,9.6,6.5,26.3,7.1,5.5,4.2,1.5,Piauí,38.8,50.2,22.4,27.6,32.5,41,67.5,75.5,96.7
Ceará,100,39.7,7.6,6.1,28.7,7.4,5.5,3.1,1.2,Ceará,43.4,54.3,24.7,33.7,36.2,49.6,79.2,84.7,84.7
Região Metropolitana de Fortaleza,100,35.6,5.4,5.3,32.4,8.8,6.2,3.6,1.7,Região Metropolitana de Fortaleza,58.3,67.1,39.1,47.6,50.8,62.4,80.7,83.8,92
Rio Grande do Norte,100,39,7.9,5.2,26.9,7.8,7.1,4.2,1.8,Rio Grande do Norte,52.8,65.9,33.9,40.8,42.8,53.9,78.5,80.2,90.9
Paraíba,100,37.4,10.4,6.8,25.3,7.1,6.9,3.9,2.1,Paraíba,51,65.2,35.6,42.5,39.7,52.1,82.3,82.8,87.5
Pernambuco,100,41,7.5,5.5,26.5,8.2,5.3,3.7,2.1,Pernambuco,45.8,57.2,28.3,33.7,35.9,55.2,73.6,81.4,90.4
Região Metropolitana de Recife,100,37.8,6.9,5.2,28.1,9.2,5.8,4.1,2.6,Região Metropolitana de Recife,60.2,69.8,48.1,54.8,48.7,63.7,73.9,86.5,90.1
Alagoas,100,42,8.9,5.4,27.1,6.2,5.4,4.1,0.8,Alagoas,41.3,50.5,26.9,34.5,32.8,44.8,75.2,89.4,83.3
Sergipe,100,37.7,10.4,6.2,27.7,7.9,5.3,3.3,1.2,Sergipe,51.2,64.6,35.6,37.4,42.9,61.2,74.5,76.5,89.2
Bahia,100,36.3,8.6,6.8,28.7,8.3,5.8,3.6,1.5,Bahia,48.3,59,30.4,37.1,41.2,55.7,77.5,84.9,91.3
Região Metropolitana de Salvador,100,31.2,6.2,5.9,32.2,9.9,6.8,5.1,2.3,Região Metropolitana de Salvador,71,79.2,57.8,61.6,63.5,73.8,82.1,89.9,93.9
Sudeste,100,32.2,2.8,2.9,25.2,14.4,10.3,6.7,3.5,Sudeste,65.1,72.6,51.5,55.1,51.4,65.9,77.4,87.2,92.9
Minas Gerais,100,33.2,3.9,3.6,29,12.7,8.4,5.8,3,Minas Gerais,56.2,65.6,40,44.9,44.4,58.2,72.5,85.4,88.3
Região Metropolitana de Belo Horizonte,100,31,2.6,3.1,27.6,13.5,9.6,7.3,4.4,Região Metropolitana de Belo Horizonte,68.6,76.4,56.5,61.1,55.8,68.5,78.1,89.9,94
Espírito Santo,100,33.5,3.8,4.2,26.4,12.8,9.3,5.9,2.9,Espírito Santo,58.5,65.7,44.1,51.5,46.3,59.8,73.2,88,87.3
