"tabela 1.1.4.2 - distribuição das pessoas de 10 anos ou mais de idade, por grandes regiões, segundo a situação do domicílio, o sexo e a utilização da internet, no período de referência dos últimos três meses - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
"Situação do domicílio, sexo e utilização da Internet, no período de referência dos últimos três meses",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Utilizaram,57.5,46.2,45.1,65.1,61.1,64
Não utilizaram,42.5,53.8,54.9,34.9,38.9,36
Homens,100,100,100,100,100,100
Utilizaram,56.8,43.9,43.7,65.3,61.3,63
Não utilizaram,43.2,56.1,56.3,34.7,38.7,37
Mulheres,100,100,100,100,100,100
Utilizaram,58,48.5,46.4,65,61,64.9
Não utilizaram,42,51.5,53.6,35,39,35.1
Urbana,100,100,100,100,100,100
Utilizaram,63.3,55.4,54.3,67.5,65.8,67.7
Não utilizaram,36.7,44.6,45.7,32.5,34.2,32.3
Homens,100,100,100,100,100,100
Utilizaram,63.4,54,54,68,66.4,67.4
Não utilizaram,36.6,46,46,32,33.6,32.6
Mulheres,100,100,100,100,100,100
Utilizaram,63.1,56.8,54.4,67.1,65.2,68
Não utilizaram,36.9,43.2,45.6,32.9,34.8,32
Rural,100,100,100,100,100,100
Utilizaram,24.5,17.6,19.8,32.8,33.9,30.3
Não utilizaram,75.5,82.4,80.2,67.2,66.1,69.7
Homens,100,100,100,100,100,100
Utilizaram,23.1,15.8,18,31.7,34,27.3
Não utilizaram,76.9,84.2,82,68.3,66,72.7
Mulheres,100,100,100,100,100,100
Utilizaram,26.1,19.7,21.7,34.1,33.7,33.8
Não utilizaram,73.9,80.3,78.3,65.9,66.3,66.2
