"tabela 1.1.5.2 - distribuição das pessoas de 10 anos ou mais de idade, por grandes regiões, segundo o sexo e os grupos de anos de estudo - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
Sexo e grupos de anos de estudo,Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Sem instrução e menos de 1 ano,8.5,9.3,14.3,5.8,5.8,7.3
1 a 3 anos,10.1,13,13.5,8,8.9,9
4 a 7 anos,24.7,25.9,25.4,23.6,26.5,23.9
8 a 10 anos,17.2,18.2,15.6,17.7,18.2,17.5
11 a 14 anos,29.3,26.6,24.9,32.8,28.8,29.7
15 anos ou mais,10,6.7,6.1,12,11.6,12.5
Não determinados,0.1,0.2,0.2,0.1,0.2,0.1
Homens,100,100,100,100,100,100
Sem instrução e menos de 1 ano,8.7,10,15.7,5.3,5.2,7.3
1 a 3 anos,10.8,14.8,14.9,8.3,9,9.9
4 a 7 anos,25.9,27,26.7,24.6,27.5,25.6
8 a 10 anos,17.9,18.2,15.7,18.5,19.4,18.7
11 a 14 anos,28,24.4,22.3,32.2,28.8,27.7
15 anos ou mais,8.6,5.4,4.6,11,9.8,10.7
Não determinados,0.1,0.2,0.2,0.1,0.2,0.1
Mulheres,100,100,100,100,100,100
Sem instrução e menos de 1 ano,8.3,8.6,13,6.1,6.3,7.2
1 a 3 anos,9.5,11.2,12.3,7.8,8.8,8.1
4 a 7 anos,23.7,24.9,24.2,22.7,25.6,22.3
8 a 10 anos,16.6,18.2,15.5,17,17,16.4
11 a 14 anos,30.6,28.8,27.3,33.4,28.8,31.6
15 anos ou mais,11.2,8.1,7.6,12.9,13.2,14.3
Não determinados,0.1,0.2,0.1,0.1,0.2,0.1
