"tabela 1.1.7.2 - distribuição das pessoas de 10 anos ou mais de idade que não utilizaram a internet, no período de referência dos últimos três meses, por grandes regiões, segundo o sexo e os grupos de anos de estudo - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
Sexo e grupos de anos de estudo,"Distribuição das pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Sem instrução e menos de 1 ano,18.5,16.4,25.1,14.6,12.9,17.9
1 a 3 anos,18.6,20.7,20.9,16.3,17.4,17.8
4 a 7 anos,33.5,31.5,29,36.4,39.5,32.6
8 a 10 anos,14.1,15.1,12.1,15.2,15.2,15.2
11 a 14 anos,13.4,14.4,11.5,15.3,12.6,14.2
15 anos ou mais,1.8,1.7,1.3,2.2,2.2,2.2
Não determinados,0.1,0.2,0.2,0,0.2,0.1
Homens,100,100,100,100,100,100
Sem instrução e menos de 1 ano,18.6,16.9,26.9,13.4,11.4,17.6
1 a 3 anos,19.4,22.7,22.1,16.5,17.2,19.2
4 a 7 anos,34.1,31.5,29,37.8,40.7,33.2
8 a 10 anos,14.2,14.8,11.7,15.5,16.4,15.5
11 a 14 anos,12.2,12.6,9.5,14.8,12.3,12.5
15 anos ou mais,1.4,1.2,0.7,1.9,1.9,1.8
Não determinados,0.1,0.2,0.2,0,0.2,0.1
Mulheres,100,100,100,100,100,100
Sem instrução e menos de 1 ano,18.4,15.7,23.3,15.7,14.4,18.2
1 a 3 anos,17.8,18.4,19.7,16.2,17.6,16.3
4 a 7 anos,32.9,31.5,29,35.1,38.4,32.1
8 a 10 anos,14,15.4,12.5,14.8,14.1,14.8
11 a 14 anos,14.6,16.4,13.5,15.6,12.8,15.8
15 anos ou mais,2.2,2.2,1.8,2.5,2.5,2.6
Não determinados,0.1,0.3,0.1,0.1,0.2,0.2
