"tabela 1.1.13.1 - pessoas de 10 anos ou mais de idade, por grandes regiões, segundo o sexo, a situação de ocupação na semana de referência e a utilização da internet, no período de referência dos últimos três meses - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
"Sexo, situação de ocupação na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641
Utilizaram,102083.09,6715.311,21831.084,49246.983,15758.972,8530.74
Não utilizaram,75573.732,7821.557,26578.82,26351.626,10012.828,4808.901
Ocupadas,95380.483,7558.802,24128.791,41055.581,14995.082,7642.227
Utilizaram,60488.908,3703.493,11758.919,29633.825,10144.174,5248.497
Não utilizaram,34891.575,3855.309,12369.872,11421.756,4850.908,2393.73
Não ocupadas,82276.339,6978.066,24281.113,34543.028,10776.718,5697.414
Utilizaram,41594.182,3011.818,10072.165,19613.158,5614.798,3282.243
Não utilizaram,40682.157,3966.248,14208.948,14929.87,5161.92,2415.171
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257
Utilizaram,48591.546,3199.627,10131.669,23515.068,7661.218,4083.964
Não utilizaram,36897.853,4080.962,13049.963,12522.934,4840.701,2403.293
Ocupados,54704.323,4691.909,14127.747,23051.396,8441.632,4391.639
Utilizaram,32466.251,2077.836,6162.953,15937.097,5452.154,2836.211
Não utilizaram,22238.072,2614.073,7964.794,7114.299,2989.478,1555.428
Não ocupados,30785.076,2588.68,9053.885,12986.606,4060.287,2095.618
Utilizaram,16125.295,1121.791,3968.716,7577.971,2209.064,1247.753
Não utilizaram,14659.781,1466.889,5085.169,5408.635,1851.223,847.865
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384
Utilizaram,53491.544,3515.684,11699.415,25731.915,8097.754,4446.776
Não utilizaram,38675.879,3740.595,13528.857,13828.692,5172.127,2405.608
Ocupadas,40676.16,2866.893,10001.044,18004.185,6553.45,3250.588
Utilizaram,28022.657,1625.657,5595.966,13696.728,4692.02,2412.286
Não utilizaram,12653.503,1241.236,4405.078,4307.457,1861.43,838.302
Não ocupadas,51491.263,4389.386,15227.228,21556.422,6716.431,3601.796
Utilizaram,25468.887,1890.027,6103.449,12035.187,3405.734,2034.49
Não utilizaram,26022.376,2499.359,9123.779,9521.235,3310.697,1567.306
