"tabela 1.1.14.1 - estudantes de 10 anos ou mais de idade, por grandes regiões, segundo o sexo, a situação de ocupação na semana de referência e a utilização da internet, no período de referência dos últimos três meses - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
"Sexo, situação de ocupação na semana de referência e utilização da Internet, no período de referência dos últimos três meses",Estudantes de 10 anos ou mais de idade (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,36307.519,3757.805,10811.956,14038.053,4781.209,2918.496
Utilizaram,28963.64,2336.457,7440.665,12418.695,4217.244,2550.579
Não utilizaram,7343.879,1421.348,3371.291,1619.358,563.965,367.917
Ocupadas,8408.524,831.113,2239.717,3199.355,1360.399,777.94
Utilizaram,7350.176,592.42,1720.771,3023.41,1288.693,724.882
Não utilizaram,1058.348,238.693,518.946,175.945,71.706,53.058
Não ocupadas,27898.995,2926.692,8572.239,10838.698,3420.81,2140.556
Utilizaram,21613.464,1744.037,5719.894,9395.285,2928.551,1825.697
Não utilizaram,6285.531,1182.655,2852.345,1443.413,492.259,314.859
Homens,17814.158,1863.472,5329.67,6838.182,2364.559,1418.275
Utilizaram,13923.526,1109.431,3527.232,5988.114,2064.979,1233.77
Não utilizaram,3890.632,754.041,1802.438,850.068,299.58,184.505
Ocupados,4443.53,484.167,1209.083,1662.574,695.382,392.324
Utilizaram,3744.082,321.193,845.774,1560.612,650.582,365.921
Não utilizaram,699.448,162.974,363.309,101.962,44.8,26.403
Não ocupados,13370.628,1379.305,4120.587,5175.608,1669.177,1025.951
Utilizaram,10179.444,788.238,2681.458,4427.502,1414.397,867.849
Não utilizaram,3191.184,591.067,1439.129,748.106,254.78,158.102
Mulheres,18493.361,1894.333,5482.286,7199.871,2416.65,1500.221
Utilizaram,15040.114,1227.026,3913.433,6430.581,2152.265,1316.809
Não utilizaram,3453.247,667.307,1568.853,769.29,264.385,183.412
Ocupadas,3964.994,346.946,1030.634,1536.781,665.017,385.616
Utilizaram,3606.094,271.227,874.997,1462.798,638.111,358.961
Não utilizaram,358.9,75.719,155.637,73.983,26.906,26.655
Não ocupadas,14528.367,1547.387,4451.652,5663.09,1751.633,1114.605
Utilizaram,11434.02,955.799,3038.436,4967.783,1514.154,957.848
Não utilizaram,3094.347,591.588,1413.216,695.307,237.479,156.757
