"tabela 1.1.16.1 - pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grandes regiões, segundo a utilização da internet, no período de referência dos últimos três meses, e os grupamentos ocupacionais no trabalho principal - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
"Utilização da Internet, no período de referência dos últimos três meses, e grupamentos ocupacionais no trabalho principal","Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (1000 pessoas)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,95380.483,7558.802,24128.791,41055.581,14995.082,7642.227
Dirigentes em geral,4724.679,257.029,819.055,2336.161,911.922,400.512
Profissionais das ciências e das artes,9372.513,567.399,1734.33,4690.25,1562.387,818.147
Técnicos de nível médio,6833.88,424.335,1387.265,3348.889,1129.955,543.436
Trabalhadores de serviços administrativos,8994.499,564.632,1725.868,4483.374,1460.952,759.673
Trabalhadores dos serviços,19256.064,1375.774,4612.061,9017.1,2606.104,1645.025
Vendedores e prestadores de serviço do comércio,9323.097,869.834,2725.4,3780.051,1205.832,741.98
Trabalhadores agrícolas,13312.12,1694.254,5771.19,3022.278,1978.134,846.264
Trabalhadores da produção de bens e serviços e de reparação e manutenção,22701.123,1726.294,5175.096,9985.832,4031.791,1782.11
Membros das forças armadas e auxiliares,843.332,78.981,176.749,378.023,104.499,105.08
Ocupações maldefinidas,19.176,0.27,1.777,13.623,3.506,-
Utilizaram,60488.908,3703.493,11758.919,29633.825,10144.174,5248.497
Dirigentes em geral,4164.877,199.169,666.858,2123.909,817.613,357.328
Profissionais das ciências e das artes,8822.488,484.884,1544.793,4520.331,1491.804,780.676
Técnicos de nível médio,6066.428,323.649,1132.395,3079.314,1034.046,497.024
Trabalhadores de serviços administrativos,8156.843,484.15,1505.512,4145.192,1326.735,695.254
Trabalhadores dos serviços,11004.645,682.145,2282.103,5531.652,1520.816,987.929
Vendedores e prestadores de serviço do comércio,6582.539,481.089,1613.61,2939.465,976.929,571.446
Trabalhadores agrícolas,2177.462,205.447,560.045,726.911,480.416,204.643
Trabalhadores da produção de bens e serviços e de reparação e manutenção,12705.87,774.355,2289.648,6191.811,2397.08,1052.976
Membros das forças armadas e auxiliares,791.548,68.335,163.204,362.217,96.571,101.221
Ocupações maldefinidas,16.208,0.27,0.751,13.023,2.164,-
Não utilizaram,34891.575,3855.309,12369.872,11421.756,4850.908,2393.73
Dirigentes em geral,559.802,57.86,152.197,212.252,94.309,43.184
Profissionais das ciências e das artes,550.025,82.515,189.537,169.919,70.583,37.471
Técnicos de nível médio,767.452,100.686,254.87,269.575,95.909,46.412
Trabalhadores de serviços administrativos,837.656,80.482,220.356,338.182,134.217,64.419
Trabalhadores dos serviços,8251.419,693.629,2329.958,3485.448,1085.288,657.096
Vendedores e prestadores de serviço do comércio,2740.558,388.745,1111.79,840.586,228.903,170.534
Trabalhadores agrícolas,11134.658,1488.807,5211.145,2295.367,1497.718,641.621
Trabalhadores da produção de bens e serviços e de reparação e manutenção,9995.253,951.939,2885.448,3794.021,1634.711,729.134
Membros das forças armadas e auxiliares,51.784,10.646,13.545,15.806,7.928,3.859
Ocupações maldefinidas,2.968,-,1.026,0.6,1.342,-
