"tabela 1.1.2.1 - pessoas de 10 anos ou mais de idade que utilizaram a internet, no período de referência dos últimos três meses, por grandes regiões, segundo o sexo e os grupos de idade - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Sexo e grupos de idade,"Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,102083.09,6715.311,21831.084,49246.983,15758.972,8530.74
10 a 14 anos,10959.903,774.673,2785.373,4836.459,1597.468,965.93
15 a 17 anos,8720.509,722.296,2360.821,3688.523,1257.578,691.291
18 ou 19 anos,5674.661,447.747,1501.282,2499.77,779.849,446.013
20 a 24 anos,12577.618,978.154,3079.33,5588.119,1872.02,1059.995
25 a 29 anos,11652.893,867.002,2705.732,5361.246,1712.573,1006.34
30 a 34 anos,11745.334,785.641,2534.213,5627.652,1794.353,1003.475
35 a 39 anos,10360.626,689.509,2065.623,5075.048,1595.845,934.601
40 a 44 anos,8647.055,498.875,1570.518,4466.117,1371.967,739.578
45 a 49 anos,6911.629,368.305,1153.212,3603.972,1185.669,600.471
50 a 54 anos,5750.488,263.62,857.133,3193.841,1000.205,435.689
55 a 59 anos,3964.888,166.48,554.04,2232.052,718.143,294.173
60 anos ou mais,5117.486,153.009,663.807,3074.184,873.302,353.184
Homens,48591.546,3199.627,10131.669,23515.068,7661.218,4083.964
10 a 14 anos,5463.017,377.75,1401.801,2391.235,795.911,496.32
15 a 17 anos,4323.891,353.536,1146.531,1809.08,663.806,350.938
18 ou 19 anos,2832.659,221.879,722.972,1259.916,388.924,238.968
20 a 24 anos,6290.013,495.573,1484.009,2827.313,950.365,532.753
25 a 29 anos,5580.169,410.847,1238.132,2617.335,847.94,465.915
30 a 34 anos,5465.391,366.264,1132.537,2617.396,879.962,469.232
35 a 39 anos,4788.605,316.64,913.226,2367.38,761.935,429.424
40 a 44 anos,3944.562,219.693,685.931,2068.816,635.037,335.085
45 a 49 anos,3162.02,166.524,500.479,1676.716,543.169,275.132
50 a 54 anos,2545.447,114.96,370.746,1419.848,452.311,187.582
55 a 59 anos,1804.767,81.055,243.138,1020.185,328.899,131.49
60 anos ou mais,2391.005,74.906,292.167,1439.848,412.959,171.125
Mulheres,53491.544,3515.684,11699.415,25731.915,8097.754,4446.776
10 a 14 anos,5496.886,396.923,1383.572,2445.224,801.557,469.61
15 a 17 anos,4396.618,368.76,1214.29,1879.443,593.772,340.353
18 ou 19 anos,2842.002,225.868,778.31,1239.854,390.925,207.045
20 a 24 anos,6287.605,482.581,1595.321,2760.806,921.655,527.242
25 a 29 anos,6072.724,456.155,1467.6,2743.911,864.633,540.425
30 a 34 anos,6279.943,419.377,1401.676,3010.256,914.391,534.243
35 a 39 anos,5572.021,372.869,1152.397,2707.668,833.91,505.177
40 a 44 anos,4702.493,279.182,884.587,2397.301,736.93,404.493
45 a 49 anos,3749.609,201.781,652.733,1927.256,642.5,325.339
50 a 54 anos,3205.041,148.66,486.387,1773.993,547.894,248.107
55 a 59 anos,2160.121,85.425,310.902,1211.867,389.244,162.683
60 anos ou mais,2726.481,78.103,371.64,1634.336,460.343,182.059
