"tabela 1.1.3.1 - pessoas de 10 anos ou mais de idade que não utilizaram a internet, no período de referência dos últimos três meses, por grandes regiões, segundo o sexo e os grupos de idade - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Sexo e grupos de idade,"Pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,75573.732,7821.557,26578.82,26351.626,10012.828,4808.901
10 a 14 anos,4904.546,916.062,2253.844,1091.997,395.777,246.866
15 a 17 anos,1917.103,366.248,889.552,428.148,146.217,86.938
18 ou 19 anos,1166.696,197.644,542.365,265.657,101.17,59.86
20 a 24 anos,3013.242,495.235,1323.414,731.86,294.77,167.963
25 a 29 anos,3622.684,527.417,1619.656,913.545,362.607,199.459
30 a 34 anos,4535.348,626.898,1916.401,1230.527,475.025,286.497
35 a 39 anos,5397.313,656.94,2203.403,1645.217,542.727,349.026
40 a 44 anos,5889.363,648.385,2192.111,1903.354,728.121,417.392
45 a 49 anos,6695.8,621.75,2359.935,2321.626,905.368,487.121
50 a 54 anos,7237.805,620.911,2314.507,2669.699,1135.083,497.605
55 a 59 anos,6937.348,527.656,2045.211,2761.699,1124.75,478.032
60 anos ou mais,24256.484,1616.411,6918.421,10388.297,3801.213,1532.142
Homens,36897.853,4080.962,13049.963,12522.934,4840.701,2403.293
10 a 14 anos,2640.398,491.503,1208.878,599.946,208.534,131.537
15 a 17 anos,1099.701,209.543,518.063,240.7,81.509,49.886
18 ou 19 anos,654.987,109.192,307.401,153.213,52.262,32.919
20 a 24 anos,1665.34,269.743,718.8,421.802,162.542,92.453
25 a 29 anos,1946.019,262.887,873.637,502.913,196.696,109.886
30 a 34 anos,2433.604,334.476,1021.191,665.155,258.219,154.563
35 a 39 anos,2775.005,335.375,1106.393,858.442,286.947,187.848
40 a 44 anos,3036.681,348.376,1073.362,1013.098,386.822,215.023
45 a 49 anos,3330.113,332.123,1166.686,1136.255,448.613,246.436
50 a 54 anos,3527.604,314.434,1081.119,1332.209,552.579,247.263
55 a 59 anos,3233.945,271.858,946.841,1245.418,539.72,230.108
60 anos ou mais,10554.456,801.452,3027.592,4353.783,1666.258,705.371
Mulheres,38675.879,3740.595,13528.857,13828.692,5172.127,2405.608
10 a 14 anos,2264.148,424.559,1044.966,492.051,187.243,115.329
15 a 17 anos,817.402,156.705,371.489,187.448,64.708,37.052
18 ou 19 anos,511.709,88.452,234.964,112.444,48.908,26.941
20 a 24 anos,1347.902,225.492,604.614,310.058,132.228,75.51
25 a 29 anos,1676.665,264.53,746.019,410.632,165.911,89.573
30 a 34 anos,2101.744,292.422,895.21,565.372,216.806,131.934
35 a 39 anos,2622.308,321.565,1097.01,786.775,255.78,161.178
40 a 44 anos,2852.682,300.009,1118.749,890.256,341.299,202.369
45 a 49 anos,3365.687,289.627,1193.249,1185.371,456.755,240.685
50 a 54 anos,3710.201,306.477,1233.388,1337.49,582.504,250.342
55 a 59 anos,3703.403,255.798,1098.37,1516.281,585.03,247.924
60 anos ou mais,13702.028,814.959,3890.829,6034.514,2134.955,826.771
