"tabela 1.1.4.1 - pessoas de 10 anos ou mais de idade, por grandes regiões, segundo a situação do domicílio, o sexo e a utilização da internet, no período de referência dos últimos três meses - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
"Situação do domicílio, sexo e utilização da Internet, no período de referência dos últimos três meses",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641
Utilizaram,102083.09,6715.311,21831.084,49246.983,15758.972,8530.74
Não utilizaram,75573.732,7821.557,26578.82,26351.626,10012.828,4808.901
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257
Utilizaram,48591.546,3199.627,10131.669,23515.068,7661.218,4083.964
Não utilizaram,36897.853,4080.962,13049.963,12522.934,4840.701,2403.293
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384
Utilizaram,53491.544,3515.684,11699.415,25731.915,8097.754,4446.776
Não utilizaram,38675.879,3740.595,13528.857,13828.692,5172.127,2405.608
Urbana,150985.43,10984.571,35540.011,70444.333,22018.341,11998.174
Utilizaram,95539.941,6089.982,19283.95,47554.524,14487.229,8124.256
Não utilizaram,55445.489,4894.589,16256.061,22889.809,7531.112,3873.918
Homens,71513.929,5360.132,16538.736,33330.111,10522.403,5762.547
Utilizaram,45364.701,2895.819,8937.96,22657.162,6987.883,3885.877
Não utilizaram,26149.228,2464.313,7600.776,10672.949,3534.52,1876.67
Mulheres,79471.501,5624.439,19001.275,37114.222,11495.938,6235.627
Utilizaram,50175.24,3194.163,10345.99,24897.362,7499.346,4238.379
Não utilizaram,29296.261,2430.276,8655.285,12216.86,3996.592,1997.248
Rural,26671.392,3552.297,12869.893,5154.276,3753.459,1341.467
Utilizaram,6543.149,625.329,2547.134,1692.459,1271.743,406.484
Não utilizaram,20128.243,2926.968,10322.759,3461.817,2481.716,934.983
Homens,13975.47,1920.457,6642.896,2707.891,1979.516,724.71
Utilizaram,3226.845,303.808,1193.709,857.906,673.335,198.087
Não utilizaram,10748.625,1616.649,5449.187,1849.985,1306.181,526.623
Mulheres,12695.922,1631.84,6226.997,2446.385,1773.943,616.757
Utilizaram,3316.304,321.521,1353.425,834.553,598.408,208.397
Não utilizaram,9379.618,1310.319,4873.572,1611.832,1175.535,408.36
