"tabela 1.1.5.1 - pessoas de 10 anos ou mais de idade, por grandes regiões, segundo o sexo e os grupos de anos de estudo - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Sexo e grupos de anos de estudo,Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641
Sem instrução e menos de 1 ano,15072.679,1349.29,6906.856,4357.082,1490.43,969.021
1 a 3 anos,18008.775,1896.651,6555.832,6062.689,2298.554,1195.049
4 a 7 anos,43944.651,3771.887,12304.824,17839.273,6840.289,3188.378
8 a 10 anos,30607.987,2643.344,7542.612,13400.16,4687.615,2334.256
11 a 14 anos,52112.57,3863.915,12051.713,24806.843,7422.807,3967.292
15 anos ou mais,17694.809,979.505,2970.564,9090.527,2983.734,1670.479
Não determinados,215.351,32.276,77.503,42.035,48.371,15.166
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257
Sem instrução e menos de 1 ano,7411.342,728.418,3628.746,1927.469,652.887,473.822
1 a 3 anos,9273.594,1080.98,3453.222,2974.478,1124.394,640.52
4 a 7 anos,22136.936,1962.715,6200.997,8868.275,3442.861,1662.088
8 a 10 anos,15264.678,1324.587,3631.273,6663.561,2431.532,1213.725
11 a 14 anos,23939.96,1776.999,5162.557,11601.815,3598.835,1799.754
15 anos ou mais,7357.037,391.365,1064.849,3981.947,1226.926,691.95
Não determinados,105.852,15.525,39.988,20.457,24.484,5.398
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384
Sem instrução e menos de 1 ano,7661.337,620.872,3278.11,2429.613,837.543,495.199
1 a 3 anos,8735.181,815.671,3102.61,3088.211,1174.16,554.529
4 a 7 anos,21807.715,1809.172,6103.827,8970.998,3397.428,1526.29
8 a 10 anos,15343.309,1318.757,3911.339,6736.599,2256.083,1120.531
11 a 14 anos,28172.61,2086.916,6889.156,13205.028,3823.972,2167.538
15 anos ou mais,10337.772,588.14,1905.715,5108.58,1756.808,978.529
Não determinados,109.499,16.751,37.515,21.578,23.887,9.768
