"tabela 1.1.6.1 - pessoas de 10 anos ou mais de idade que utilizaram a internet, no período de referência dos últimos três meses, por grandes regiões, segundo o sexo e os grupos de anos de estudo - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Sexo e grupos de anos de estudo,"Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,102083.09,6715.311,21831.084,49246.983,15758.972,8530.74
Sem instrução e menos de 1 ano,1113.82,69.813,243.86,497.421,193.879,108.847
1 a 3 anos,3954.255,278.761,1009.096,1765.774,560.14,340.484
4 a 7 anos,18654.083,1307.027,4599.841,8244.357,2883.925,1618.933
8 a 10 anos,19955.815,1462.421,4319.37,9406.068,3163.897,1604.059
11 a 14 anos,41957.832,2736.153,8985.811,20787.217,6162.815,3285.836
15 anos ou mais,16328.442,847.863,2638.089,8515.873,2762.385,1564.232
Não determinados,118.843,13.273,35.017,30.273,31.931,8.349
Homens,48591.546,3199.627,10131.669,23515.068,7661.218,4083.964
Sem instrução e menos de 1 ano,553.748,37.831,122.688,244.283,98.659,50.287
1 a 3 anos,2105.562,152.569,569.76,910.933,293.905,178.395
4 a 7 anos,9561.773,676.827,2414.433,4131.213,1474.933,864.367
8 a 10 anos,10024.418,720.239,2103.007,4721.791,1639.004,840.377
11 a 14 anos,19436.864,1263.369,3927.431,9744.177,3002.664,1499.223
15 anos ou mais,6849.486,341.293,978.077,3746.203,1136.244,647.669
Não determinados,59.695,7.499,16.273,16.468,15.809,3.646
Mulheres,53491.544,3515.684,11699.415,25731.915,8097.754,4446.776
Sem instrução e menos de 1 ano,560.072,31.982,121.172,253.138,95.22,58.56
1 a 3 anos,1848.693,126.192,439.336,854.841,266.235,162.089
4 a 7 anos,9092.31,630.2,2185.408,4113.144,1408.992,754.566
8 a 10 anos,9931.397,742.182,2216.363,4684.277,1524.893,763.682
11 a 14 anos,22520.968,1472.784,5058.38,11043.04,3160.151,1786.613
15 anos ou mais,9478.956,506.57,1660.012,4769.67,1626.141,916.563
Não determinados,59.148,5.774,18.744,13.805,16.122,4.703
