"tabela 1.1.7.1 - pessoas de 10 anos ou mais de idade que não utilizaram a internet, no período de referência dos últimos três meses, por grandes regiões, segundo o sexo e os grupos de anos de estudo - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Sexo e grupos de anos de estudo,"Pessoas de 10 anos ou mais de idade que não utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,75573.732,7821.557,26578.82,26351.626,10012.828,4808.901
Sem instrução e menos de 1 ano,13958.859,1279.477,6662.996,3859.661,1296.551,860.174
1 a 3 anos,14054.52,1617.89,5546.736,4296.915,1738.414,854.565
4 a 7 anos,25290.568,2464.86,7704.983,9594.916,3956.364,1569.445
8 a 10 anos,10652.172,1180.923,3223.242,3994.092,1523.718,730.197
11 a 14 anos,10154.738,1127.762,3065.902,4019.626,1259.992,681.456
15 anos ou mais,1366.367,131.642,332.475,574.654,221.349,106.247
Não determinados,96.508,19.003,42.486,11.762,16.44,6.817
Homens,36897.853,4080.962,13049.963,12522.934,4840.701,2403.293
Sem instrução e menos de 1 ano,6857.594,690.587,3506.058,1683.186,554.228,423.535
1 a 3 anos,7168.032,928.411,2883.462,2063.545,830.489,462.125
4 a 7 anos,12575.163,1285.888,3786.564,4737.062,1967.928,797.721
8 a 10 anos,5240.26,604.348,1528.266,1941.77,792.528,373.348
11 a 14 anos,4503.096,513.63,1235.126,1857.638,596.171,300.531
15 anos ou mais,507.551,50.072,86.772,235.744,90.682,44.281
Não determinados,46.157,8.026,23.715,3.989,8.675,1.752
Mulheres,38675.879,3740.595,13528.857,13828.692,5172.127,2405.608
Sem instrução e menos de 1 ano,7101.265,588.89,3156.938,2176.475,742.323,436.639
1 a 3 anos,6886.488,689.479,2663.274,2233.37,907.925,392.44
4 a 7 anos,12715.405,1178.972,3918.419,4857.854,1988.436,771.724
8 a 10 anos,5411.912,576.575,1694.976,2052.322,731.19,356.849
11 a 14 anos,5651.642,614.132,1830.776,2161.988,663.821,380.925
15 anos ou mais,858.816,81.57,245.703,338.91,130.667,61.966
Não determinados,50.351,10.977,18.771,7.773,7.765,5.065
