"tabela 1.1.8.1 - pessoas de 10 anos ou mais de idade, por grandes regiões, segundo o sexo e o nível de instrução - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Sexo e nível de instrução,Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,177656.822,14536.868,48409.904,75598.609,25771.8,13339.641
Sem instrução,15072.679,1349.29,6906.856,4357.082,1490.43,969.021
Fundamental incompleto,62043.841,5676.718,18885.291,23939.395,9151.462,4390.975
Fundamental completo,17622.255,1386.372,4022.582,8037.103,2889.952,1286.246
Médio incompleto,12668.07,1220.588,3435.534,5267.153,1721.023,1023.772
Médio completo,43408.545,3275.276,10360.862,20669.712,5962.424,3140.271
Superior incompleto,8177.363,608.925,1745.846,3638.781,1383.347,800.464
Superior completo,18221.471,959.219,2915.569,9588.877,3060.77,1697.036
Não determinado,442.598,60.48,137.364,100.506,112.392,31.856
Homens,85489.399,7280.589,23181.632,36038.002,12501.919,6487.257
Sem instrução,7411.342,728.418,3628.746,1927.469,652.887,473.822
Fundamental incompleto,31453.607,3047.976,9667.493,11859.179,4574.034,2304.925
Fundamental completo,8890.197,715.977,1962.324,3999.121,1527.735,685.04
Médio incompleto,6231.004,592.075,1627.611,2622.123,867.998,521.197
Médio completo,20114.379,1527.597,4506.427,9706.448,2922.32,1451.587
Superior incompleto,3738.208,266.765,700.226,1777.389,662.457,331.371
Superior completo,7444.41,374.002,1020.753,4099.925,1240.984,708.746
Não determinado,206.252,27.779,68.052,46.348,53.504,10.569
Mulheres,92167.423,7256.279,25228.272,39560.607,13269.881,6852.384
Sem instrução,7661.337,620.872,3278.11,2429.613,837.543,495.199
Fundamental incompleto,30590.234,2628.742,9217.798,12080.216,4577.428,2086.05
Fundamental completo,8732.058,670.395,2060.258,4037.982,1362.217,601.206
Médio incompleto,6437.066,628.513,1807.923,2645.03,853.025,502.575
Médio completo,23294.166,1747.679,5854.435,10963.264,3040.104,1688.684
Superior incompleto,4439.155,342.16,1045.62,1861.392,720.89,469.093
Superior completo,10777.061,585.217,1894.816,5488.952,1819.786,988.29
Não determinado,236.346,32.701,69.312,54.158,58.888,21.287
