"tabela 1.1.9.1 - pessoas de 10 anos ou mais de idade que utilizaram a internet, no período de referência dos últimos três meses, por grandes regiões, segundo o sexo e o nível de instrução - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Sexo e nível de instrução,"Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,102083.09,6715.311,21831.084,49246.983,15758.972,8530.74
Sem instrução,1113.82,69.813,243.86,497.421,193.879,108.847
Fundamental incompleto,22617.735,1586.77,5609.549,10015.739,3445.807,1959.87
Fundamental completo,10111.967,657.403,1967.037,4980.461,1730.473,776.593
Médio incompleto,9650.797,786.453,2309.745,4368.745,1373.308,812.546
Médio completo,33631.347,2187.786,7372.022,16812.757,4768.842,2489.94
Superior incompleto,7746.769,557.257,1636.589,3479.595,1308.358,764.97
Superior completo,16908.158,838.973,2615.289,9010.738,2848,1595.158
Não determinado,302.497,30.856,76.993,81.527,90.305,22.816
Homens,48591.546,3199.627,10131.669,23515.068,7661.218,4083.964
Sem instrução,553.748,37.831,122.688,244.283,98.659,50.287
Fundamental incompleto,11672.158,830.174,2984.805,5044.369,1769.595,1043.215
Fundamental completo,5189.625,339.863,997.445,2520.046,913.772,418.499
Médio incompleto,4747.11,370.285,1084.286,2178.926,696.906,416.707
Médio completo,15766.044,1032.592,3295.932,7922.012,2353.053,1162.455
Superior incompleto,3539.332,240.904,661.986,1695.127,624.254,317.061
Superior completo,6980.974,331.166,947.59,3873.241,1161.601,667.376
Não determinado,142.555,16.812,36.937,37.064,43.378,8.364
Mulheres,53491.544,3515.684,11699.415,25731.915,8097.754,4446.776
Sem instrução,560.072,31.982,121.172,253.138,95.22,58.56
Fundamental incompleto,10945.577,756.596,2624.744,4971.37,1676.212,916.655
Fundamental completo,4922.342,317.54,969.592,2460.415,816.701,358.094
Médio incompleto,4903.687,416.168,1225.459,2189.819,676.402,395.839
Médio completo,17865.303,1155.194,4076.09,8890.745,2415.789,1327.485
Superior incompleto,4207.437,316.353,974.603,1784.468,684.104,447.909
Superior completo,9927.184,507.807,1667.699,5137.497,1686.399,927.782
Não determinado,159.942,14.044,40.056,44.463,46.927,14.452
