"tabela 1.1.17.1 - pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grandes regiões, segundo a utilização da internet, no período de referência dos últimos três meses, e os grupamentos de atividade do trabalho principal - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
"Utilização da Internet, no período de referência dos últimos três meses, e grupamentos de atividade do trabalho principal","Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (1000 pessoas)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,95380.483,7558.802,24128.791,41055.581,14995.082,7642.227
Agrícola,13464.212,1695.359,5771.872,3098.208,1992.787,905.986
Indústria,11962.648,708.874,2079.79,5737.504,2674.8,761.68
Indústria de transformação,11247.982,629.7,1933.697,5395.866,2580.562,708.157
Construção,8547.951,699.663,2206.4,3682.849,1254.647,704.392
Comércio e reparação,17328.874,1399.716,4371.274,7392.666,2737.099,1428.119
Alojamento e alimentação,4691.124,368.854,1177.883,2181.189,562.683,400.515
"Transporte, armazenagem e comunicação",5319.847,374.784,1074.038,2612.308,840.719,417.998
Administração pública,5010.426,496.382,1233.15,1996.725,691.888,592.281
"Educação, saúde e serviços sociais",10336.763,780.578,2444.36,4736.393,1529.593,845.839
Serviços domésticos,6308.667,436.324,1513.211,2937.783,859.545,561.804
"Outros serviços coletivos, sociais e pessoais",4076.636,246.962,864.372,2048.028,584.26,333.014
Outras atividades,8263.351,340.8,1373.582,4598.966,1261.819,688.184
Atividades maldefinidas,69.984,10.506,18.859,32.962,5.242,2.415
Utilizaram,60488.908,3703.493,11758.919,29633.825,10144.174,5248.497
Agrícola,2262.491,206.231,567.42,758.03,489.633,241.177
Indústria,8331.188,347.656,1164.781,4404.823,1885.49,528.438
Indústria de transformação,7791.497,302.558,1060.241,4126.742,1813.799,488.157
Construção,4052.063,289.059,798.242,1946.996,642.5,375.266
Comércio e reparação,12725.753,849.342,2726.419,5840.174,2185.502,1124.316
Alojamento e alimentação,3098.993,201.53,660.382,1560.882,391.718,284.481
"Transporte, armazenagem e comunicação",3639.176,213.029,618.182,1949.811,576.581,281.573
Administração pública,4049.562,372.628,919.179,1659.602,583.883,514.27
"Educação, saúde e serviços sociais",9002.676,594.282,1944.139,4320.068,1393.549,750.638
Serviços domésticos,2780.437,173.204,589.673,1378.712,384.141,254.707
"Outros serviços coletivos, sociais e pessoais",3275.56,179.464,624.909,1706.971,485.689,278.527
Outras atividades,7241.837,274.314,1140.814,4089.143,1123.338,614.228
Atividades maldefinidas,29.172,2.754,4.779,18.613,2.15,0.876
Não utilizaram,34891.575,3855.309,12369.872,11421.756,4850.908,2393.73
Agrícola,11201.721,1489.128,5204.452,2340.178,1503.154,664.809
Indústria,3631.46,361.218,915.009,1332.681,789.31,233.242
Indústria de transformação,3456.485,327.142,873.456,1269.124,766.763,220
Construção,4495.888,410.604,1408.158,1735.853,612.147,329.126
Comércio e reparação,4603.121,550.374,1644.855,1552.492,551.597,303.803
Alojamento e alimentação,1592.131,167.324,517.501,620.307,170.965,116.034
"Transporte, armazenagem e comunicação",1680.671,161.755,455.856,662.497,264.138,136.425
Administração pública,960.864,123.754,313.971,337.123,108.005,78.011
"Educação, saúde e serviços sociais",1334.087,186.296,500.221,416.325,136.044,95.201
Serviços domésticos,3528.23,263.12,923.538,1559.071,475.404,307.097
"Outros serviços coletivos, sociais e pessoais",801.076,67.498,239.463,341.057,98.571,54.487
Outras atividades,1021.514,66.486,232.768,509.823,138.481,73.956
Atividades maldefinidas,40.812,7.752,14.08,14.349,3.092,1.539
