"tabela 1.1.18.1 - pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grandes regiões, segundo a utilização da internet, no período de referência dos últimos três meses, a posição na ocupação e a categoria do emprego no trabalho principal - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
"Utilização da Internet, no período de referência dos últimos três meses, posição na ocupação e categoria do emprego no trabalho principal","Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (1000 pessoas)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,95380.483,7558.802,24128.791,41055.581,14995.082,7642.227
Empregados e trabalhador domésticos,63873.303,4346.747,14067.356,29896.837,10175.129,5387.234
Com carteira de trabalho assinada,38841.496,1876.551,6434.598,20292.278,7022.756,3215.313
Militares e funcionários públicos estatutários,7328.011,705.076,1768.447,2977.494,1108.073,768.921
Outros sem carteira de trabalho assinada,17703.796,1765.12,5864.311,6627.065,2044.3,1403
Empregados,57564.636,3910.423,12554.145,26959.054,9315.584,4825.43
Com carteira de trabalho assinada,36825.347,1788.428,6113.067,19201.587,6724.638,2997.627
Militares e funcionários públicos estatutários,7328.011,705.076,1768.447,2977.494,1108.073,768.921
Outros sem carteira de trabalho assinada,13411.278,1416.919,4672.631,4779.973,1482.873,1058.882
Conta própria,21823.126,2206.772,6581.896,8197.837,3184.027,1652.594
Empregadores,3550.566,195.955,645.449,1636.161,747.445,325.556
Não remunerados,2286.518,369.137,856.729,540.267,396.305,124.08
Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,3846.97,440.191,1977.361,784.479,492.176,152.763
Utilizaram,60488.908,3703.493,11758.919,29633.825,10144.174,5248.497
Empregados e trabalhador domésticos,45573.363,2709.929,8590.885,22797.339,7535.145,3940.065
Com carteira de trabalho assinada,29531.341,1305.622,4553.699,15969.128,5317.11,2385.782
Militares e funcionários públicos estatutários,6144.558,543.071,1350.241,2605.928,974.078,671.24
Outros sem carteira de trabalho assinada,9897.464,861.236,2686.945,4222.283,1243.957,883.043
Empregados,42792.926,2536.725,8001.212,21418.627,7151.004,3685.358
Com carteira de trabalho assinada,28529.56,1266.843,4388.916,15423.099,5165.992,2284.71
Militares e funcionários públicos estatutários,6144.558,543.071,1350.241,2605.928,974.078,671.24
Outros sem carteira de trabalho assinada,8118.808,726.811,2262.055,3389.6,1010.934,729.408
Conta própria,10599.967,716.261,2219.931,5010.297,1704.728,948.75
Empregadores,2871.264,127.246,470.086,1391.808,622.336,259.788
Não remunerados,990.915,103.236,312.756,309.464,191.125,74.334
Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,453.399,46.821,165.261,124.917,90.84,25.56
Não utilizaram,34891.575,3855.309,12369.872,11421.756,4850.908,2393.73
Empregados e trabalhador domésticos,18299.94,1636.818,5476.471,7099.498,2639.984,1447.169
Com carteira de trabalho assinada,9310.155,570.929,1880.899,4323.15,1705.646,829.531
Militares e funcionários públicos estatutários,1183.453,162.005,418.206,371.566,133.995,97.681
Outros sem carteira de trabalho assinada,7806.332,903.884,3177.366,2404.782,800.343,519.957
Empregados,14771.71,1373.698,4552.933,5540.427,2164.58,1140.072
Com carteira de trabalho assinada,8295.787,521.585,1724.151,3778.488,1558.646,712.917
Militares e funcionários públicos estatutários,1183.453,162.005,418.206,371.566,133.995,97.681
Outros sem carteira de trabalho assinada,5292.47,690.108,2410.576,1390.373,471.939,329.474
Conta própria,11223.159,1490.511,4361.965,3187.54,1479.299,703.844
Empregadores,679.302,68.709,175.363,244.353,125.109,65.768
Não remunerados,1295.603,265.901,543.973,230.803,205.18,49.746
Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,3393.571,393.37,1812.1,659.562,401.336,127.203
