"tabela 1.1.19.1 - pessoas de 10 anos ou mais de idade, por grandes regiões, segundo a utilização da internet, no período de referência dos últimos três meses, e as classes de rendimento mensal - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
"Utilização da Internet, no período de referência dos últimos três meses, e classes de rendimento mensal",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),177656.822,14536.868,48409.904,75598.609,25771.8,13339.641
Sem rendimento (2),52271.646,5042.855,15206.225,21842.837,6416.769,3762.96
Até 1/2 salário mínimo,12370.685,1429.956,6807.58,2706.521,858.519,568.109
Mais de 1/2 a 1 salário mínimo,9223.096,1200.206,3914.037,2623.869,968.454,516.53
Mais de 1 a 2 salário mínimos,57148.711,4424.633,15939.489,24185.579,8333.608,4265.402
Mais de 2 a 3 salário mínimos,21456.307,1194,3272.864,10797.579,4324.007,1867.857
Mais de 3 a 5 salários mínimos,12502.189,657.855,1631.124,6540.301,2571.965,1100.944
Mais de 5 a 10 salário mínimos,7357.68,384.595,966.905,3785.938,1462.717,757.525
Mais de10 a 20 salário mínimos,2427.754,98.358,289.529,1324.727,423.379,291.761
Mais de 20 salários mínimos,952.907,27.025,109.665,538.482,155.091,122.644
Utilizaram (1),102083.09,6715.311,21831.084,49246.983,15758.972,8530.74
Sem rendimento (2),34129.448,2606.836,8450.719,15859.046,4496.937,2715.91
Até 1/2 salário mínimo,4464.72,452.032,1903.081,1393.823,414.303,301.481
Mais de 1/2 a 1 salário mínimo,4027.274,404.869,1357.951,1444.545,524.207,295.702
Mais de 1 a 2 salário mínimos,26095.961,1720.091,5957.69,12419.63,3868.056,2130.494
Mais de 2 a 3 salário mínimos,13254.943,628.503,1700.35,7110.522,2642.86,1172.708
Mais de 3 a 5 salários mínimos,9472.494,460.595,1236.498,5061.833,1891.748,821.82
Mais de 5 a 10 salário mínimos,6282.758,303.112,800.676,3301.514,1223.523,653.933
Mais de10 a 20 salário mínimos,2218.804,83.791,256.793,1221.058,387.01,270.152
Mais de 20 salários mínimos,885.016,22.78,99.698,509.915,138.254,114.369
Não utilizaram (1),75573.732,7821.557,26578.82,26351.626,10012.828,4808.901
Sem rendimento (2),18142.198,2436.019,6755.506,5983.791,1919.832,1047.05
Até 1/2 salário mínimo,7905.965,977.924,4904.499,1312.698,444.216,266.628
Mais de 1/2 a 1 salário mínimo,5195.822,795.337,2556.086,1179.324,444.247,220.828
Mais de 1 a 2 salário mínimos,31052.75,2704.542,9981.799,11765.949,4465.552,2134.908
Mais de 2 a 3 salário mínimos,8201.364,565.497,1572.514,3687.057,1681.147,695.149
Mais de 3 a 5 salários mínimos,3029.695,197.26,394.626,1478.468,680.217,279.124
Mais de 5 a 10 salário mínimos,1074.922,81.483,166.229,484.424,239.194,103.592
Mais de10 a 20 salário mínimos,208.95,14.567,32.736,103.669,36.369,21.609
Mais de 20 salários mínimos,67.891,4.245,9.967,28.567,16.837,8.275
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
