"tabela 1.1.20.1 - pessoas de 10 anos ou mais de idade, por grandes regiões, segundo a utilização da internet, no período de referência dos últimos três meses, e as classes de rendimento mensal domiciliar per capita - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
"Utilização da Internet, no período de referência dos últimos três meses, e classes de rendimento mensal domiciliar per capita",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),177347.153,14510.605,48327.751,75477.85,25721.35,13309.597
Sem rendimento a 1/4 do salário mínimo (2),12582.424,1692.16,7310.823,2494.026,698.11,387.305
Mais de 1/4 a 1/2 salário mínimo,24916.539,3357.951,10991.709,7371.25,1883.041,1312.588
Mais de 1/2 a 1 salário mínimo,48029.576,4470.655,14790.853,19468.789,5744.543,3554.736
Mais de 1 a 2 salário mínimos,53652.515,3238.643,10200.862,25944.052,9682.71,4586.248
Mais de 2 a 3 salário mínimos,16291.537,813.302,2046.212,8334.391,3620.128,1477.504
Mais de 3 a 5 salários mínimos,9909.263,445.16,1321.867,5037.803,2144.523,959.91
Mais de 5 a 10 salários mínimos,5539.77,215.875,658.869,3031.938,1042.286,590.802
Mais de 10 salários mínimos,2015.806,52.42,218.467,1169.173,330.302,245.444
Utilizaram (1),101864.761,6696.533,21776.203,49165.59,15718.655,8507.78
Sem rendimento a 1/4 do salário mínimo (2),4109.823,410.499,1911.208,1285.427,297.346,205.343
Mais de 1/4 a 1/2 salário mínimo,11201.347,1254.693,4324.13,4024.02,901.815,696.689
Mais de 1/2 a 1 salário mínimo,26249.664,2074.7,7053.622,11849.414,3204.681,2067.247
Mais de 1 a 2 salário mínimos,31079.403,1721.66,4969.725,16078.886,5537.355,2771.777
Mais de 2 a 3 salário mínimos,11547.905,565.231,1395.639,6036.971,2461.709,1088.355
Mais de 3 a 5 salários mínimos,8111.934,347.454,1088.974,4175.949,1708.352,791.205
Mais de 5 a 10 salários mínimos,4907.562,184.31,572.5,2701.316,916.37,533.066
Mais de 10 salários mínimos,1856.184,44.471,197.349,1085.529,300.44,228.395
Não utilizaram (1),75482.392,7814.072,26551.548,26312.26,10002.695,4801.817
Sem rendimento a 1/4 do salário mínimo (2),8472.601,1281.661,5399.615,1208.599,400.764,181.962
Mais de 1/4 a 1/2 salário mínimo,13715.192,2103.258,6667.579,3347.23,981.226,615.899
Mais de 1/2 a 1 salário mínimo,21779.912,2395.955,7737.231,7619.375,2539.862,1487.489
Mais de 1 a 2 salário mínimos,22573.112,1516.983,5231.137,9865.166,4145.355,1814.471
Mais de 2 a 3 salário mínimos,4743.632,248.071,650.573,2297.42,1158.419,389.149
Mais de 3 a 5 salários mínimos,1797.329,97.706,232.893,861.854,436.171,168.705
Mais de 5 a 10 salários mínimos,632.208,31.565,86.369,330.622,125.916,57.736
Mais de 10 salários mínimos,159.622,7.949,21.118,83.644,29.862,17.049
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
"Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,
(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.,,,,,,
,,169.5,,,,
