"tabela 1.1.23.1 - pessoas de 10 anos ou mais de idade, por sexo e utilização da internet, no período de referência dos últimos três meses, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Homens,,,Mulheres,,
,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Brasil,177656.822,102083.09,75573.732,85489.399,48591.546,36897.853,92167.423,53491.544,38675.879
Norte,14536.868,6715.311,7821.557,7280.589,3199.627,4080.962,7256.279,3515.684,3740.595
Rondônia,1498.147,710.57,787.577,746.53,338.554,407.976,751.617,372.016,379.601
Acre,651.348,285.382,365.966,323.583,134.375,189.208,327.765,151.007,176.758
Amazonas,3216.277,1596.758,1619.519,1608.113,762.221,845.892,1608.164,834.537,773.627
Roraima,420.511,268.027,152.484,212.006,129.153,82.853,208.505,138.874,69.631
Pará,6837.456,2962.659,3874.797,3431.551,1420.009,2011.542,3405.905,1542.65,1863.255
Região Metropolitana de Belém,1922.792,1227.217,695.575,910.82,583.194,327.626,1011.972,644.023,367.949
Amapá,623.225,334.728,288.497,307.408,160.264,147.144,315.817,174.464,141.353
Tocantins,1289.904,557.187,732.717,651.398,255.051,396.347,638.506,302.136,336.37
Nordeste,48409.904,21831.084,26578.82,23181.632,10131.669,13049.963,25228.272,11699.415,13528.857
Maranhão,5654.411,1940.697,3713.714,2757.711,886.181,1871.53,2896.7,1054.516,1842.184
Piauí,2737.791,1061,1676.791,1335.123,492.5,842.623,1402.668,568.5,834.168
Ceará,7675.584,3331.027,4344.557,3728.384,1571.53,2156.854,3947.2,1759.497,2187.703
Região Metropolitana de Fortaleza,3344.522,1950.387,1394.135,1585.937,938.039,647.898,1758.585,1012.348,746.237
Rio Grande do Norte,2975.62,1570.481,1405.139,1405.881,712.132,693.749,1569.739,858.349,711.39
Paraíba,3411.321,1738.3,1673.021,1621.299,807.412,813.887,1790.022,930.888,859.134
Pernambuco,8100.013,3710.885,4389.128,3832.729,1746.371,2086.358,4267.284,1964.514,2302.77
Região Metropolitana de Recife,3454.326,2080,1374.326,1565.632,980.9,584.732,1888.694,1099.1,789.594
Alagoas,2849.124,1175.405,1673.719,1356.613,548.061,808.552,1492.511,627.344,865.167
Sergipe,1920.947,982.846,938.101,916.482,455.293,461.189,1004.465,527.553,476.912
Bahia,13085.093,6320.443,6764.65,6227.41,2912.189,3315.221,6857.683,3408.254,3449.429
Região Metropolitana de Salvador,3477.228,2468.34,1008.888,1586.076,1145.631,440.445,1891.152,1322.709,568.443
Sudeste,75598.609,49246.983,26351.626,36038.002,23515.068,12522.934,39560.607,25731.915,13828.692
Minas Gerais,18379.764,10332.092,8047.672,8991.159,4967.294,4023.865,9388.605,5364.798,4023.807
Região Metropolitana de Belo Horizonte,4625.536,3175.428,1450.108,2213.951,1531.814,682.137,2411.585,1643.614,767.971
Espírito Santo,3427.822,2004.128,1423.694,1627.556,927.102,700.454,1800.266,1077.026,723.24
Rio de Janeiro,14646.539,9707.466,4939.073,6836.305,4631.081,2205.224,7810.234,5076.385,2733.849
Região Metropolitana do Rio de Janeiro,10770.231,7529.582,3240.649,4997.828,3612.878,1384.95,5772.403,3916.704,1855.699
São Paulo,39144.484,27203.297,11941.187,18582.982,12989.591,5593.391,20561.502,14213.706,6347.796
Região Metropolitana de São Paulo,18604.133,13592.382,5011.751,8685.921,6450.48,2235.441,9918.212,7141.902,2776.31
Sul,25771.8,15758.972,10012.828,12501.919,7661.218,4840.701,13269.881,8097.754,5172.127
Paraná,9745.617,5897.03,3848.587,4731.652,2883.407,1848.245,5013.965,3013.623,2000.342
Região Metropolitana de Curitiba,3030.41,2065.537,964.873,1469.1,1020.055,449.045,1561.31,1045.482,515.828
Santa Catarina,6048.506,3767.691,2280.815,2985.178,1863.753,1121.425,3063.328,1903.938,1159.39
Rio Grande do Sul,9977.677,6094.251,3883.426,4785.089,2914.058,1871.031,5192.588,3180.193,2012.395
Região Metropolitana de Porto Alegre,3722.776,2610.59,1112.186,1740.905,1233.115,507.79,1981.871,1377.475,604.396
Centro-Oeste,13339.641,8530.74,4808.901,6487.257,4083.964,2403.293,6852.384,4446.776,2405.608
Mato Grosso do Sul,2283.967,1455.931,828.036,1124.084,714.934,409.15,1159.883,740.997,418.886
Mato Grosso,2766.131,1526.026,1240.105,1388.108,735.211,652.897,1378.023,790.815,587.208
Goiás,5730.676,3541.957,2188.719,2776.925,1682.341,1094.584,2953.751,1859.616,1094.135
Distrito Federal,2558.867,2006.826,552.041,1198.14,951.478,246.662,1360.727,1055.348,305.379
