"tabela 1.1.26.1 - pessoas de 10 anos ou mais de idade, total e que utilizaram a internet, no período de referência dos últimos três meses, por situação do domicílio, segundo as grandes regiões e as unidades da federação - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Grandes Regiões e Unidades da Federação,Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,
,Total,Situação do domicílio,,"Utilizaram a  Internet, no período de referência dos últimos três meses",,
,,,,Total,Situação do domicílio,
,,Urbana,Rural,,Urbana,Rural
Brasil,177656.822,150985.43,26671.392,102083.09,95539.941,6543.149
Norte,14536.868,10984.571,3552.297,6715.311,6089.982,625.329
Rondônia,1498.147,1139.346,358.801,710.57,618.163,92.407
Acre,651.348,472.313,179.035,285.382,256.828,28.554
Amazonas,3216.277,2727.425,488.852,1596.758,1554.442,42.316
Roraima,420.511,356.051,64.46,268.027,251.707,16.32
Pará,6837.456,4734.417,2103.039,2962.659,2572.418,390.241
Amapá,623.225,546.758,76.467,334.728,327.106,7.622
Tocantins,1289.904,1008.261,281.643,557.187,509.318,47.869
Nordeste,48409.904,35540.011,12869.893,21831.084,19283.95,2547.134
Maranhão,5654.411,3383.818,2270.593,1940.697,1560.38,380.317
Piauí,2737.791,1821.437,916.354,1061,893.824,167.176
Ceará,7675.584,5593.097,2082.487,3331.027,2891.992,439.035
Rio Grande do Norte,2975.62,2312.269,663.351,1570.481,1381.864,188.617
Paraíba,3411.321,2741.566,669.755,1738.3,1561.796,176.504
Pernambuco,8100.013,6494.223,1605.79,3710.885,3415.844,295.041
Alagoas,2849.124,2102.881,746.243,1175.405,1050.19,125.215
Sergipe,1920.947,1373.251,547.696,982.846,827.77,155.076
Bahia,13085.093,9717.469,3367.624,6320.443,5700.29,620.153
Sudeste,75598.609,70444.333,5154.276,49246.983,47554.524,1692.459
Minas Gerais,18379.764,15450.814,2928.95,10332.092,9565.367,766.725
Espírito Santo,3427.822,2915.076,512.746,2004.128,1876.99,127.138
Rio de Janeiro,14646.539,14260.455,386.084,9707.466,9552.522,154.944
São Paulo,39144.484,37817.988,1326.496,27203.297,26559.645,643.652
Sul,25771.8,22018.341,3753.459,15758.972,14487.229,1271.743
Paraná,9745.617,8510.383,1235.234,5897.03,5468.21,428.82
Santa Catarina,6048.506,5056.787,991.719,3767.691,3407.974,359.717
Rio Grande do Sul,9977.677,8451.171,1526.506,6094.251,5611.045,483.206
Centro-Oeste,13339.641,11998.174,1341.467,8530.74,8124.256,406.484
Mato Grosso do Sul,2283.967,2038.294,245.673,1455.931,1367.998,87.933
Mato Grosso,2766.131,2264.76,501.371,1526.026,1418.743,107.283
Goiás,5730.676,5251.433,479.243,3541.957,3385.519,156.438
Distrito Federal,2558.867,2443.687,115.18,2006.826,1951.996,54.83
