"tabela 1.1.28.1 - pessoas de 10 anos ou mais de idade que utilizaram a internet, no período de referência dos últimos três meses, por grupos de anos de estudo, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,,
,Total,Grupos de anos de estudo,,,,,
,,Sem instrução a menos de 4 anos,4 a 7 anos,8 a 10 anos,11 a 14 anos,15 anos ou mais,Não deter-minados
Brasil,102083.09,5068.075,18654.083,19955.815,41957.832,16328.442,118.843
Norte,6715.311,348.574,1307.027,1462.421,2736.153,847.863,13.273
Rondônia,710.57,42.42,158.873,148.588,257.749,101.86,1.08
Acre,285.382,18.042,40.826,63.25,116.675,44.838,1.751
Amazonas,1596.758,73.231,292.305,299.736,719.923,209.286,2.277
Roraima,268.027,13.017,50.207,50.632,111.816,42.149,0.206
Pará,2962.659,162.343,603.315,719.44,1174.131,296.785,6.645
Região Metropolitana de Belém,1227.217,54.131,195.749,271.652,540.871,160.745,4.069
Amapá,334.728,14.188,60.958,68.846,140.562,48.86,1.314
Tocantins,557.187,25.333,100.543,111.929,215.297,104.085,-
Nordeste,21831.084,1252.956,4599.841,4319.37,8985.811,2638.089,35.017
Maranhão,1940.697,84.939,388.593,429.164,822.294,212.703,3.004
Piauí,1061,48.403,224.581,254.984,383.311,149.159,0.562
Ceará,3331.027,147.345,627.795,724.672,1464.546,362.069,4.6
Região Metropolitana de Fortaleza,1950.387,82.087,361.643,399.123,875.777,227.157,4.6
Rio Grande do Norte,1570.481,93.965,353.246,270.558,641.475,206.293,4.944
Paraíba,1738.3,122.826,374.304,317.397,668.421,252.767,2.585
Pernambuco,3710.885,232.723,717.855,702.322,1527.798,522.543,7.644
Região Metropolitana de Recife,2080,110.408,363.974,358.449,934.677,309.463,3.029
Alagoas,1175.405,74.885,292.587,225.262,426.619,154.164,1.888
Sergipe,982.846,67.826,254.057,184.396,372.097,101.174,3.296
Bahia,6320.443,380.044,1366.823,1210.615,2679.25,677.217,6.494
Região Metropolitana de Salvador,2468.34,130.022,438.099,408.864,1156.397,333.952,1.006
Sudeste,49246.983,2263.195,8244.357,9406.068,20787.217,8515.873,30.273
Minas Gerais,10332.092,453.104,2125.063,2060.703,4162.299,1519.514,11.409
Região Metropolitana de Belo Horizonte,3175.428,152.687,564.108,588.039,1316.811,550.893,2.89
Espírito Santo,2004.128,101.957,378.4,373.594,812.554,335.223,2.4
Rio de Janeiro,9707.466,518.363,1585.841,1877.326,3933.415,1784.805,7.716
Região Metropolitana do Rio de Janeiro,7529.582,389.434,1154.357,1430.692,3069.753,1480.262,5.084
São Paulo,27203.297,1189.771,4155.053,5094.445,11878.949,4876.331,8.748
Região Metropolitana de São Paulo,13592.382,604.276,1894.605,2483.85,5881.705,2721.494,6.452
Sul,15758.972,754.019,2883.925,3163.897,6162.815,2762.385,31.931
Paraná,5897.03,260.881,1033.225,1126.227,2373.151,1085.12,18.426
Região Metropolitana de Curitiba,2065.537,86.922,313.137,354.414,847.654,459.087,4.323
Santa Catarina,3767.691,196.341,611.956,758.829,1520.535,669.282,10.748
Rio Grande do Sul,6094.251,296.797,1238.744,1278.841,2269.129,1007.983,2.757
Região Metropolitana de Porto Alegre,2610.59,130.244,475.679,519.438,1004.235,478.97,2.024
Centro-Oeste,8530.74,449.331,1618.933,1604.059,3285.836,1564.232,8.349
Mato Grosso do Sul,1455.931,92.787,334.047,263.34,519.189,243.033,3.535
Mato Grosso,1526.026,89.333,271.044,327.096,603.411,233.828,1.314
Goiás,3541.957,171.804,717.536,720.237,1390.266,541.21,0.904
Distrito Federal,2006.826,95.407,296.306,293.386,772.97,546.161,2.596
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,
,,,,,,,
