"tabela 1.1.30.1 - pessoas de 10 anos ou mais de idade que utilizaram a internet, no período de referência dos últimos três meses, por nível de instrução, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,,,
,Total,Nível de instrução,,,,,,
,,Sem instrução e funda-mental incompleto,Funda-mental completo,Médio incompleto,Médio completo,Superior incompleto,Superior completo,Não deter-minado
Brasil,102083.09,23731.555,10111.967,9650.797,33631.347,7746.769,16908.158,302.497
Norte,6715.311,1656.583,657.403,786.453,2187.786,557.257,838.973,30.856
Rondônia,710.57,201.293,74.291,71.055,191.829,69.702,98.078,4.322
Acre,285.382,58.868,26.46,35.388,90.922,28.38,42.211,3.153
Amazonas,1596.758,365.536,118.783,176.073,567.27,149.397,212.542,7.157
Roraima,268.027,63.224,23.141,26.871,83.704,28.936,41.325,0.826
Pará,2962.659,766.378,334.835,377.74,990.654,183.487,296.775,12.79
Região Metropolitana de Belém,1227.217,250.084,126.153,142.241,448.086,91.764,161.766,7.123
Amapá,334.728,75.408,31.269,36.528,105.352,37.836,46.234,2.101
Tocantins,557.187,125.876,48.624,62.798,158.055,59.519,101.808,0.507
Nordeste,21831.084,5853.409,1967.037,2309.745,7372.022,1636.589,2615.289,76.993
Maranhão,1940.697,473.532,180.379,247.282,683.998,136.046,214.953,4.507
Piauí,1061,272.984,105.256,149.728,309.01,75.99,147.47,0.562
Ceará,3331.027,775.14,354.823,362.696,1169.419,300.476,356.72,11.753
Região Metropolitana de Fortaleza,1950.387,443.73,204.509,189.66,703.091,176.569,223.274,9.554
Rio Grande do Norte,1570.481,447.211,121.505,145.522,534.091,110.914,202.763,8.475
Paraíba,1738.3,497.13,153.207,162.25,519.097,154.496,247.595,4.525
Pernambuco,3710.885,950.854,330.27,362.923,1261.915,262.411,526.015,16.497
Região Metropolitana de Recife,2080,474.658,175.636,180.609,781.884,147.016,315.24,4.957
Alagoas,1175.405,367.472,102.563,120.183,333.488,88.093,159.202,4.404
Sergipe,982.846,321.883,85.042,96.423,305.378,67.077,100.816,6.227
Bahia,6320.443,1747.203,533.992,662.738,2255.626,441.086,659.755,20.043
Região Metropolitana de Salvador,2468.34,568.457,179.743,227.777,958.505,198.901,332.943,2.014
Sudeste,49246.983,10513.16,4980.461,4368.745,16812.757,3479.595,9010.738,81.527
Minas Gerais,10332.092,2578.167,1074.737,966.715,3328.059,755.794,1597.96,30.66
Região Metropolitana de Belo Horizonte,3175.428,716.795,301.243,282.255,1030.005,257.919,579.78,7.431
Espírito Santo,2004.128,480.957,191.298,176.898,652.428,156.526,338.823,7.198
Rio de Janeiro,9707.466,2104.839,1012.776,856.156,3314.366,673.798,1730.056,15.475
Região Metropolitana do Rio de Janeiro,7529.582,1544.426,768.084,658.162,2588.834,532.381,1428.8,8.895
São Paulo,27203.297,5349.197,2701.65,2368.976,9517.904,1893.477,5343.899,28.194
Região Metropolitana de São Paulo,13592.382,2502.106,1301.064,1178.485,4653.757,961.283,2988.159,7.528
Sul,15758.972,3639.686,1730.473,1373.308,4768.842,1308.358,2848,90.305
Paraná,5897.03,1294.586,596.477,507.193,1858.424,437.446,1162.401,40.503
Região Metropolitana de Curitiba,2065.537,400.539,192.089,156.562,666.115,151.281,489.345,9.606
Santa Catarina,3767.691,808.297,428.502,306.678,1205.243,283.771,700.803,34.397
Rio Grande do Sul,6094.251,1536.803,705.494,559.437,1705.175,587.141,984.796,15.405
Região Metropolitana de Porto Alegre,2610.59,607.185,287.287,225.579,759.438,265.783,457.984,7.334
Centro-Oeste,8530.74,2068.717,776.593,812.546,2489.94,764.97,1595.158,22.816
Mato Grosso do Sul,1455.931,426.834,134.761,125.045,385.756,118.858,257.608,7.069
Mato Grosso,1526.026,360.377,156.316,168.59,474.672,133.116,229.451,3.504
Goiás,3541.957,889.793,342.72,372.543,1080.116,318.294,533.066,5.425
Distrito Federal,2006.826,391.713,142.796,146.368,549.396,194.702,575.033,6.818
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,
,,,,,,,,
