"tabela 1.1.31.1 - pessoas de 10 anos ou mais de idade, por condição de estudante e utilização da internet, no período de referência dos últimos três meses, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Estudantes,,,Não estudantes,,
,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Brasil,177656.822,102083.09,75573.732,36307.519,28963.64,7343.879,141349.303,73119.45,68229.853
Norte,14536.868,6715.311,7821.557,3757.805,2336.457,1421.348,10779.063,4378.854,6400.209
Rondônia,1498.147,710.57,787.577,330.949,239.089,91.86,1167.198,471.481,695.717
Acre,651.348,285.382,365.966,187.813,103.722,84.091,463.535,181.66,281.875
Amazonas,3216.277,1596.758,1619.519,895.041,538.344,356.697,2321.236,1058.414,1262.822
Roraima,420.511,268.027,152.484,129.345,102.702,26.643,291.166,165.325,125.841
Pará,6837.456,2962.659,3874.797,1724.109,1014.057,710.052,5113.347,1948.602,3164.745
Região Metropolitana de Belém,1922.792,1227.217,695.575,431.816,352.455,79.361,1490.976,874.762,616.214
Amapá,623.225,334.728,288.497,181.301,123.504,57.797,441.924,211.224,230.7
Tocantins,1289.904,557.187,732.717,309.247,215.039,94.208,980.657,342.148,638.509
Nordeste,48409.904,21831.084,26578.82,10811.956,7440.665,3371.291,37597.948,14390.419,23207.529
Maranhão,5654.411,1940.697,3713.714,1416.77,707.258,709.512,4237.641,1233.439,3004.202
Piauí,2737.791,1061,1676.791,655.74,407.515,248.225,2082.051,653.485,1428.566
Ceará,7675.584,3331.027,4344.557,1611.722,1152.445,459.277,6063.862,2178.582,3885.28
Região Metropolitana de Fortaleza,3344.522,1950.387,1394.135,717.948,604.01,113.938,2626.574,1346.377,1280.197
Rio Grande do Norte,2975.62,1570.481,1405.139,645.699,535.503,110.196,2329.921,1034.978,1294.943
Paraíba,3411.321,1738.3,1673.021,755.044,597.958,157.086,2656.277,1140.342,1515.935
Pernambuco,8100.013,3710.885,4389.128,1694.187,1212.121,482.066,6405.826,2498.764,3907.062
Região Metropolitana de Recife,3454.326,2080,1374.326,679.476,597.448,82.028,2774.85,1482.552,1292.298
Alagoas,2849.124,1175.405,1673.719,653.127,421.583,231.544,2195.997,753.822,1442.175
Sergipe,1920.947,982.846,938.101,431.494,318.573,112.921,1489.453,664.273,825.18
Bahia,13085.093,6320.443,6764.65,2948.173,2087.709,860.464,10136.92,4232.734,5904.186
Região Metropolitana de Salvador,3477.228,2468.34,1008.888,759.956,686.378,73.578,2717.272,1781.962,935.31
Sudeste,75598.609,49246.983,26351.626,14038.053,12418.695,1619.358,61560.556,36828.288,24732.268
Minas Gerais,18379.764,10332.092,8047.672,3567.477,3001.474,566.003,14812.287,7330.618,7481.669
Região Metropolitana de Belo Horizonte,4625.536,3175.428,1450.108,944.19,862.891,81.299,3681.346,2312.537,1368.809
Espírito Santo,3427.822,2004.128,1423.694,654.856,542.725,112.131,2772.966,1461.403,1311.563
Rio de Janeiro,14646.539,9707.466,4939.073,2726.557,2408.062,318.495,11919.982,7299.404,4620.578
Região Metropolitana do Rio de Janeiro,10770.231,7529.582,3240.649,2005.648,1823.313,182.335,8764.583,5706.269,3058.314
São Paulo,39144.484,27203.297,11941.187,7089.163,6466.434,622.729,32055.321,20736.863,11318.458
Região Metropolitana de São Paulo,18604.133,13592.382,5011.751,3560.148,3262.308,297.84,15043.985,10330.074,4713.911
Sul,25771.8,15758.972,10012.828,4781.209,4217.244,563.965,20990.591,11541.728,9448.863
Paraná,9745.617,5897.03,3848.587,1825.86,1576.505,249.355,7919.757,4320.525,3599.232
Região Metropolitana de Curitiba,3030.41,2065.537,964.873,559.01,493.701,65.309,2471.4,1571.836,899.564
Santa Catarina,6048.506,3767.691,2280.815,1122.874,996.769,126.105,4925.632,2770.922,2154.71
Rio Grande do Sul,9977.677,6094.251,3883.426,1832.475,1643.97,188.505,8145.202,4450.281,3694.921
Região Metropolitana de Porto Alegre,3722.776,2610.59,1112.186,748.052,682.807,65.245,2974.724,1927.783,1046.941
Centro-Oeste,13339.641,8530.74,4808.901,2918.496,2550.579,367.917,10421.145,5980.161,4440.984
Mato Grosso do Sul,2283.967,1455.931,828.036,472.782,425.941,46.841,1811.185,1029.99,781.195
Mato Grosso,2766.131,1526.026,1240.105,583.265,461.969,121.296,2182.866,1064.057,1118.809
Goiás,5730.676,3541.957,2188.719,1214.381,1058.406,155.975,4516.295,2483.551,2032.744
Distrito Federal,2558.867,2006.826,552.041,648.068,604.263,43.805,1910.799,1402.563,508.236
