"tabela 1.1.32.1 - pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e utilização da internet, no período de referência dos últimos três meses, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Condição de atividade na semana de referência,,,,,
,,,,Economicamente ativas,,,Não economicamente ativas,,
,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Brasil,177656.822,102083.09,75573.732,105519.431,68083.794,37435.637,72137.391,33999.296,38138.095
Norte,14536.868,6715.311,7821.557,8287.191,4211.849,4075.342,6249.677,2503.462,3746.215
Rondônia,1498.147,710.57,787.577,875.145,457.161,417.984,623.002,253.409,369.593
Acre,651.348,285.382,365.966,355.637,169.048,186.589,295.711,116.334,179.377
Amazonas,3216.277,1596.758,1619.519,1844.734,1010.577,834.157,1371.543,586.181,785.362
Roraima,420.511,268.027,152.484,250.244,172.963,77.281,170.267,95.064,75.203
Pará,6837.456,2962.659,3874.797,3892.515,1848.677,2043.838,2944.941,1113.982,1830.959
Região Metropolitana de Belém,1922.792,1227.217,695.575,1139.907,792.345,347.562,782.885,434.872,348.013
Amapá,623.225,334.728,288.497,333.15,204.92,128.23,290.075,129.808,160.267
Tocantins,1289.904,557.187,732.717,735.766,348.503,387.263,554.138,208.684,345.454
Nordeste,48409.904,21831.084,26578.82,26840.727,13594.028,13246.699,21569.177,8237.056,13332.121
Maranhão,5654.411,1940.697,3713.714,3169.587,1167.272,2002.315,2484.824,773.425,1711.399
Piauí,2737.791,1061,1676.791,1721.821,694.58,1027.241,1015.97,366.42,649.55
Ceará,7675.584,3331.027,4344.557,3987.298,2019.491,1967.807,3688.286,1311.536,2376.75
Região Metropolitana de Fortaleza,3344.522,1950.387,1394.135,1918.18,1264.283,653.897,1426.342,686.104,740.238
Rio Grande do Norte,2975.62,1570.481,1405.139,1643.944,976.333,667.611,1331.676,594.148,737.528
Paraíba,3411.321,1738.3,1673.021,1974.267,1093.148,881.119,1437.054,645.152,791.902
Pernambuco,8100.013,3710.885,4389.128,4279.534,2233.803,2045.731,3820.479,1477.082,2343.397
Região Metropolitana de Recife,3454.326,2080,1374.326,1877.073,1312.976,564.097,1577.253,767.024,810.229
Alagoas,2849.124,1175.405,1673.719,1357.849,680.827,677.022,1491.275,494.578,996.697
Sergipe,1920.947,982.846,938.101,1140.842,629.084,511.758,780.105,353.762,426.343
Bahia,13085.093,6320.443,6764.65,7565.585,4099.49,3466.095,5519.508,2220.953,3298.555
Região Metropolitana de Salvador,3477.228,2468.34,1008.888,2243.244,1741.994,501.25,1233.984,726.346,507.638
Sudeste,75598.609,49246.983,26351.626,46008.415,33533.6,12474.815,29590.194,15713.383,13876.811
Minas Gerais,18379.764,10332.092,8047.672,11488.647,7136.197,4352.45,6891.117,3195.895,3695.222
Região Metropolitana de Belo Horizonte,4625.536,3175.428,1450.108,3016.55,2279.934,736.616,1608.986,895.494,713.492
Espírito Santo,3427.822,2004.128,1423.694,2062.31,1354.058,708.252,1365.512,650.07,715.442
Rio de Janeiro,14646.539,9707.466,4939.073,8407.734,6261.339,2146.395,6238.805,3446.127,2792.678
Região Metropolitana do Rio de Janeiro,10770.231,7529.582,3240.649,6245.604,4872.114,1373.49,4524.627,2657.468,1867.159
São Paulo,39144.484,27203.297,11941.187,24049.724,18782.006,5267.718,15094.76,8421.291,6673.469
Região Metropolitana de São Paulo,18604.133,13592.382,5011.751,11538.621,9393.505,2145.116,7065.512,4198.877,2866.635
Sul,25771.8,15758.972,10012.828,16100.149,10991.622,5108.527,9671.651,4767.35,4904.301
Paraná,9745.617,5897.03,3848.587,5993.314,4082.221,1911.093,3752.303,1814.809,1937.494
Região Metropolitana de Curitiba,3030.41,2065.537,964.873,1846.073,1418.155,427.918,1184.337,647.382,536.955
Santa Catarina,6048.506,3767.691,2280.815,3736.156,2625.479,1110.677,2312.35,1142.212,1170.138
Rio Grande do Sul,9977.677,6094.251,3883.426,6370.679,4283.922,2086.757,3606.998,1810.329,1796.669
Região Metropolitana de Porto Alegre,3722.776,2610.59,1112.186,2316.191,1822.321,493.87,1406.585,788.269,618.316
Centro-Oeste,13339.641,8530.74,4808.901,8282.949,5752.695,2530.254,5056.692,2778.045,2278.647
Mato Grosso do Sul,2283.967,1455.931,828.036,1441.361,992.437,448.924,842.606,463.494,379.112
Mato Grosso,2766.131,1526.026,1240.105,1705.126,1025.519,679.607,1061.005,500.507,560.498
Goiás,5730.676,3541.957,2188.719,3557.342,2407.145,1150.197,2173.334,1134.812,1038.522
Distrito Federal,2558.867,2006.826,552.041,1579.12,1327.594,251.526,979.747,679.232,300.515
