"tabela 1.1.33.1 - pessoas de 10 anos ou mais de idade, por situação de ocupação na semana de referência e utilização da internet, no período de referência dos últimos três meses, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,
,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Situação de ocupação na semana de referência,,,,,
,,,,Ocupadas,,,Não ocupadas,,
,,,,Total,"Utilização da Internet, no período de referência dos últimos três meses",,Total,"Utilização da Internet, no período de referência dos últimos três meses",
,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram,,Utilizaram,Não utilizaram
Brasil,177656.822,102083.09,75573.732,95380.483,60488.908,34891.575,82276.339,41594.182,40682.157
Norte,14536.868,6715.311,7821.557,7558.802,3703.493,3855.309,6978.066,3011.818,3966.248
Rondônia,1498.147,710.57,787.577,815.975,418.25,397.725,682.172,292.32,389.852
Acre,651.348,285.382,365.966,330.409,150.303,180.106,320.939,135.079,185.86
Amazonas,3216.277,1596.758,1619.519,1628.938,855.31,773.628,1587.339,741.448,845.891
Roraima,420.511,268.027,152.484,224.411,152.916,71.495,196.1,115.111,80.989
Pará,6837.456,2962.659,3874.797,3592.235,1643.747,1948.488,3245.221,1318.912,1926.309
Região Metropolitana de Belém,1922.792,1227.217,695.575,987.525,677.598,309.927,935.267,549.619,385.648
Amapá,623.225,334.728,288.497,297.424,175.5,121.924,325.801,159.228,166.573
Tocantins,1289.904,557.187,732.717,669.41,307.467,361.943,620.494,249.72,370.774
Nordeste,48409.904,21831.084,26578.82,24128.791,11758.919,12369.872,24281.113,10072.165,14208.948
Maranhão,5654.411,1940.697,3713.714,2956.12,1029.721,1926.399,2698.291,910.976,1787.315
Piauí,2737.791,1061,1676.791,1595.742,603.962,991.78,1142.049,457.038,685.011
Ceará,7675.584,3331.027,4344.557,3653.41,1794.267,1859.143,4022.174,1536.76,2485.414
Região Metropolitana de Fortaleza,3344.522,1950.387,1394.135,1722.858,1115.31,607.548,1621.664,835.077,786.587
Rio Grande do Norte,2975.62,1570.481,1405.139,1436.248,830.097,606.151,1539.372,740.384,798.988
Paraíba,3411.321,1738.3,1673.021,1789.385,974.844,814.541,1621.936,763.456,858.48
Pernambuco,8100.013,3710.885,4389.128,3781.354,1901.057,1880.297,4318.659,1809.828,2508.831
Região Metropolitana de Recife,3454.326,2080,1374.326,1590.456,1090.24,500.216,1863.87,989.76,874.11
Alagoas,2849.124,1175.405,1673.719,1148.312,556.872,591.44,1700.812,618.533,1082.279
Sergipe,1920.947,982.846,938.101,1026.1,546.97,479.13,894.847,435.876,458.971
Bahia,13085.093,6320.443,6764.65,6742.12,3521.129,3220.991,6342.973,2799.314,3543.659
Região Metropolitana de Salvador,3477.228,2468.34,1008.888,1888.464,1452.054,436.41,1588.764,1016.286,572.478
Sudeste,75598.609,49246.983,26351.626,41055.581,29633.825,11421.756,34543.028,19613.158,14929.87
Minas Gerais,18379.764,10332.092,8047.672,10438.522,6373.746,4064.776,7941.242,3958.346,3982.896
Região Metropolitana de Belo Horizonte,4625.536,3175.428,1450.108,2637.726,1976.63,661.096,1987.81,1198.798,789.012
Espírito Santo,3427.822,2004.128,1423.694,1841.031,1185.55,655.481,1586.791,818.578,768.213
Rio de Janeiro,14646.539,9707.466,4939.073,7413.88,5505.38,1908.5,7232.659,4202.086,3030.573
Região Metropolitana do Rio de Janeiro,10770.231,7529.582,3240.649,5518.812,4300.335,1218.477,5251.419,3229.247,2022.172
São Paulo,39144.484,27203.297,11941.187,21362.148,16569.149,4792.999,17782.336,10634.148,7148.188
Região Metropolitana de São Paulo,18604.133,13592.382,5011.751,10198.814,8265.524,1933.29,8405.319,5326.858,3078.461
Sul,25771.8,15758.972,10012.828,14995.082,10144.174,4850.908,10776.718,5614.798,5161.92
Paraná,9745.617,5897.03,3848.587,5571.245,3769.762,1801.483,4174.372,2127.268,2047.104
Região Metropolitana de Curitiba,3030.41,2065.537,964.873,1706.793,1303.848,402.945,1323.617,761.689,561.928
Santa Catarina,6048.506,3767.691,2280.815,3527.636,2468.556,1059.08,2520.87,1299.135,1221.735
Rio Grande do Sul,9977.677,6094.251,3883.426,5896.201,3905.856,1990.345,4081.476,2188.395,1893.081
Região Metropolitana de Porto Alegre,3722.776,2610.59,1112.186,2115.388,1652.626,462.762,1607.388,957.964,649.424
Centro-Oeste,13339.641,8530.74,4808.901,7642.227,5248.497,2393.73,5697.414,3282.243,2415.171
Mato Grosso do Sul,2283.967,1455.931,828.036,1352.112,920.863,431.249,931.855,535.068,396.787
Mato Grosso,2766.131,1526.026,1240.105,1599.154,955.019,644.135,1166.977,571.007,595.97
Goiás,5730.676,3541.957,2188.719,3277.026,2184.245,1092.781,2453.65,1357.712,1095.938
Distrito Federal,2558.867,2006.826,552.041,1413.935,1188.37,225.565,1144.932,818.456,326.476
