"tabela 1.1.34.1 - pessoas de 10 anos ou mais de idade, por classes de rendimento mensal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,,
,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,
,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10
Brasil,177656.822,52271.646,12370.685,9223.096,57148.711,21456.307,12502.189,7357.68,3380.661
Norte,14536.868,5042.855,1429.956,1200.206,4424.633,1194,657.855,384.595,125.383
Rondônia,1498.147,476.85,96.995,79.158,489.824,175.633,106.194,49.441,17.568
Acre,651.348,235.454,71.131,49.213,190.612,47.477,28.73,20.143,5.433
Amazonas,3216.277,1234.201,295.527,251.9,898.586,259.732,149.081,85.271,30.912
Roraima,420.511,131.419,38.648,27.907,129.352,38.641,24.38,20.663,7.229
Pará,6837.456,2346.704,760.016,664.943,2090.822,510.589,241.774,145,40.478
Região Metropolitana de Belém,1922.792,620.036,145.298,147.108,664.011,148.34,86.685,71.836,26.051
Amapá,623.225,225.685,48.087,47.558,178.407,51.496,43.618,21.018,5.78
Tocantins,1289.904,392.542,119.552,79.527,447.03,110.432,64.078,43.059,17.983
Nordeste,48409.904,15206.225,6807.58,3914.037,15939.489,3272.864,1631.124,966.905,399.194
Maranhão,5654.411,1914.379,998.879,477.284,1603.18,343.486,134.548,87.939,45.106
Piauí,2737.791,824.594,455.352,248.797,856.691,184.064,86.677,59.665,16.884
Ceará,7675.584,2438.733,1026.955,606.252,2639.349,497.488,229.997,121.29,47.117
Região Metropolitana de Fortaleza,3344.522,1034.629,271.758,216.19,1245.517,274.581,148.618,83.163,35.388
Rio Grande do Norte,2975.62,928.998,366.664,200.623,986.195,228.208,141.29,81.959,31.083
Paraíba,3411.321,998.12,508.738,276.677,1106.749,235.961,146.096,82.741,41.369
Pernambuco,8100.013,2659,985.78,602.535,2737.632,550.957,268.597,167.355,87.269
Região Metropolitana de Recife,3454.326,1126.56,300.355,197.134,1200.638,300.922,162.439,99.659,61.114
Alagoas,2849.124,976.563,387.584,182.47,974.048,162.974,83.682,53.491,11.326
Sergipe,1920.947,574.45,287.413,161.66,634.206,126.481,70.388,42.151,13.565
Bahia,13085.093,3891.388,1790.215,1157.739,4401.439,943.245,469.849,270.314,105.475
Região Metropolitana de Salvador,3477.228,971.94,262.724,236.859,1253.153,331.924,204.938,139.426,60.808
Sudeste,75598.609,21842.837,2706.521,2623.869,24185.579,10797.579,6540.301,3785.938,1863.209
Minas Gerais,18379.764,5223.318,1003.924,828.818,6744.326,2255.946,1196.342,704.695,349.995
Região Metropolitana de Belo Horizonte,4625.536,1289.19,145.261,162.176,1571.38,627.667,390.345,257.934,150.219
Espírito Santo,3427.822,1020.083,172.717,164.31,1144.203,429.377,254.868,134.921,65.969
Rio de Janeiro,14646.539,4269.766,493.731,552.568,4791.162,2005.677,1178.252,747.026,411.612
Região Metropolitana do Rio de Janeiro,10770.231,3102.225,341.78,390.085,3384.827,1539.3,906.58,601.007,357.673
São Paulo,39144.484,11329.67,1036.149,1078.173,11505.888,6106.579,3910.839,2199.296,1035.633
Região Metropolitana de São Paulo,18604.133,5549.39,482.804,489.239,5134.381,2778.486,1838.669,1175.258,643.009
Sul,25771.8,6416.769,858.519,968.454,8333.608,4324.007,2571.965,1462.717,578.47
Paraná,9745.617,2626.236,353.767,386.53,3141.655,1507.311,890.232,533.549,226.763
Região Metropolitana de Curitiba,3030.41,839.49,62.909,80.213,835.645,525.89,341.442,211.79,111.896
Santa Catarina,6048.506,1434.544,115.372,169.813,1817.245,1200.231,730.908,371.163,129.696
Rio Grande do Sul,9977.677,2355.989,389.38,412.111,3374.708,1616.465,950.825,558.005,222.011
Região Metropolitana de Porto Alegre,3722.776,907.644,98.111,119.366,1209.533,589.241,377.051,227.101,124.43
Centro-Oeste,13339.641,3762.96,568.109,516.53,4265.402,1867.857,1100.944,757.525,414.405
Mato Grosso do Sul,2283.967,597.37,118.416,96.339,764.412,319.468,197.514,132.569,55.23
Mato Grosso,2766.131,781.186,133.991,103.342,900.309,409.411,236.902,123.921,49.043
Goiás,5730.676,1614.961,252.744,241.881,1982.121,830.992,449.44,241.436,77.763
Distrito Federal,2558.867,769.443,62.958,74.968,618.56,307.986,217.088,259.599,232.369
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
