"tabela 1.1.35.1 - pessoas de 10 anos ou mais de idade que utilizaram a internet, no período de referência dos últimos três meses, por classes de rendimento mensal, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8,unnamed: 9
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,,,,
,Total (1),Classes de rendimento mensal (salário mínimo),,,,,,,
,,Sem rendi-mento (2),Até 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5 a 10,Mais de 10
Brasil,102083.09,34129.448,4464.72,4027.274,26095.961,13254.943,9472.494,6282.758,3103.82
Norte,6715.311,2606.836,452.032,404.869,1720.091,628.503,460.595,303.112,106.571
Rondônia,710.57,261.525,29.447,30.529,179.922,84.584,69.712,36.202,14.866
Acre,285.382,110.547,21.549,14.716,71.484,25.576,20.842,15.412,4.73
Amazonas,1596.758,644.145,94.378,79.403,410.4,156.879,109.686,71.603,26.683
Roraima,268.027,91.551,18.186,12.819,70.878,29.135,19.837,18.389,6.198
Pará,2962.659,1153.842,229.209,232.121,769.791,248.377,164.624,112.567,34.431
Região Metropolitana de Belém,1227.217,435.046,87.505,90.945,347.768,103.569,67.761,61.044,23.61
Amapá,334.728,134.265,20.761,16.286,79.086,31.525,32.577,15.762,4.466
Tocantins,557.187,210.961,38.502,18.995,138.53,52.427,43.317,33.177,15.197
Nordeste,21831.084,8450.719,1903.081,1357.951,5957.69,1700.35,1236.498,800.676,356.491
Maranhão,1940.697,768.168,211.953,129.276,474.268,152.574,87.196,72.908,39.092
Piauí,1061,413.698,101.88,68.676,278.618,75.426,58.536,45.03,16.321
Ceará,3331.027,1323.341,253.542,204.142,955.657,246.784,182.269,102.709,39.887
Região Metropolitana de Fortaleza,1950.387,694.244,106.163,102.965,632.305,171.26,119.95,69.714,32.556
Rio Grande do Norte,1570.481,612.513,124.333,81.935,421.759,122.942,110.909,65.71,28.259
Paraíba,1738.3,650.331,180.986,117.651,439.605,122.827,120.241,68.52,36.198
Pernambuco,3710.885,1521.487,279.149,203.326,983.507,303.952,197.739,136.164,78.906
Região Metropolitana de Recife,2080,786.038,144.53,107.932,585.033,191.623,120.043,86.163,55.059
Alagoas,1175.405,493.322,104.44,62.922,319.02,72.998,62.921,47.828,9.438
Sergipe,982.846,370.994,102.285,60.488,272.378,77.357,52.428,32.252,12.097
Bahia,6320.443,2296.865,544.513,429.535,1812.878,525.49,364.259,229.555,96.293
Região Metropolitana de Salvador,2468.34,769.358,151.857,145.813,795.571,244.916,168.317,125.316,57.112
Sudeste,49246.983,15859.046,1393.823,1444.545,12419.63,7110.522,5061.833,3301.514,1730.973
Minas Gerais,10332.092,3428.698,401.888,372.354,2995.719,1311.9,867.807,602.04,309.168
Região Metropolitana de Belo Horizonte,3175.428,985.054,82.115,99.034,877.298,429.997,304.924,231.93,141.139
Espírito Santo,2004.128,670.458,76.164,84.549,529.502,256.668,186.501,118.73,57.573
Rio de Janeiro,9707.466,3188.323,282.058,288.293,2545.08,1307.739,916.328,648.198,378.441
Região Metropolitana do Rio de Janeiro,7529.582,2433.862,207.728,217.91,1910.34,1057.116,724.254,531.121,328.449
São Paulo,27203.297,8571.567,633.713,699.349,6349.329,4234.215,3091.197,1932.546,985.791
Região Metropolitana de São Paulo,13592.382,4336.524,305.382,319.354,3008.583,2031.179,1498.899,1079.562,616.127
Sul,15758.972,4496.937,414.303,524.207,3868.056,2642.86,1891.748,1223.523,525.264
Paraná,5897.03,1774.36,155.776,196.584,1416.213,931.725,688.648,471.352,211.115
Região Metropolitana de Curitiba,2065.537,605.6,32.175,46.112,434.146,352.02,277.557,195.945,105.652
Santa Catarina,3767.691,1002.475,63.781,97.443,852.014,735.194,538.139,313.841,112.5
Rio Grande do Sul,6094.251,1720.102,194.746,230.18,1599.829,975.941,664.961,438.33,201.649
Região Metropolitana de Porto Alegre,2610.59,706.841,61.948,82.702,680.511,419.044,296.633,194.734,115.074
Centro-Oeste,8530.74,2715.91,301.481,295.702,2130.494,1172.708,821.82,653.933,384.521
Mato Grosso do Sul,1455.931,439.63,59.647,57.891,383.533,196.634,149.8,115.777,50.37
Mato Grosso,1526.026,489.558,61.739,45.54,387.965,225.066,162.898,96.334,42.476
Goiás,3541.957,1146.116,137.902,139.699,968.908,519.948,330.978,205.265,68.72
Distrito Federal,2006.826,640.606,42.193,52.572,390.088,231.06,178.144,236.557,222.955
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
