"tabela 1.1.36.1 - pessoas de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas",Pessoas de 10 anos ou mais de idade (1000 pessoas),,,,,,,
,Total (1),Classes de rendimento mensal domiciliar per capita (salário mínimo),,,,,,
,,Sem rendimento a 1/4 (2),Mais de 1/4 a 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5
Brasil,177656.822,12582.424,24916.539,48029.576,53652.515,16291.537,9909.263,7555.576
Norte,14536.868,1692.16,3357.951,4470.655,3238.643,813.302,445.16,268.295
Rondônia,1498.147,98.612,252.352,422.027,472.535,138.876,65.378,34.588
Acre,651.348,100.906,155.218,183.253,130.511,34.511,23.473,13.311
Amazonas,3216.277,478.742,761.622,932.792,648.971,186.492,91.472,67.37
Roraima,420.511,33.478,84.51,131.228,90.302,35.336,22.519,16.734
Pará,6837.456,816.783,1712.855,2236.462,1404.397,293.551,163.293,84.083
Região Metropolitana de Belém,1922.792,98.477,400.462,668.489,457.854,115.782,84.452,56.773
Amapá,623.225,63.855,143.449,185.76,135.583,46.767,28.11,14.973
Tocantins,1289.904,99.784,247.945,379.133,356.344,77.769,50.915,37.236
Nordeste,48409.904,7310.823,10991.709,14790.853,10200.862,2046.212,1321.867,877.336
Maranhão,5654.411,1212.353,1380.721,1610.705,925.986,148.071,111.989,90.955
Piauí,2737.791,445.232,642.8,824.592,594.956,103.006,60.79,43.899
Ceará,7675.584,1215.258,1681.649,2346.183,1665.035,293.873,171.994,102.777
Região Metropolitana de Fortaleza,3344.522,234.229,670.551,1110.003,835.772,197.088,110.403,77.85
Rio Grande do Norte,2975.62,355.35,623.109,924.033,685.26,159.668,121.519,72.064
Paraíba,3411.321,444.111,737.591,1060.199,746.013,170.014,113.755,93.735
Pernambuco,8100.013,1074.947,1879.368,2576.663,1677.194,346.627,243.567,176.801
Região Metropolitana de Recife,3454.326,284.123,683.864,1160.44,832.545,185.841,152.801,129.1
Alagoas,2849.124,486.382,705.989,843.151,537.371,125.845,59.774,27.059
Sergipe,1920.947,271.655,416.451,611.465,408.752,97.146,57.187,28.963
Bahia,13085.093,1805.535,2924.031,3993.862,2960.295,601.962,381.292,241.083
Região Metropolitana de Salvador,3477.228,203.597,532.832,1147.316,957.834,242.23,200.24,143.117
Sudeste,75598.609,2494.026,7371.25,19468.789,25944.052,8334.391,5037.803,4201.111
Minas Gerais,18379.764,868.497,2403.323,5322.393,6253.056,1610.413,974.611,753.294
Região Metropolitana de Belo Horizonte,4625.536,139.902,406.458,1214.855,1621.345,493.145,321.893,336.737
Espírito Santo,3427.822,170.316,451.565,948.096,1098.006,322.053,197.308,151.123
Rio de Janeiro,14646.539,402.1,1611.395,4038.433,4870.558,1431.817,933.973,976.642
Região Metropolitana do Rio de Janeiro,10770.231,272.519,1083.193,2889.291,3579.323,1082.543,764.923,822.722
São Paulo,39144.484,1053.113,2904.967,9159.867,13722.432,4970.108,2931.911,2320.052
Região Metropolitana de São Paulo,18604.133,588.169,1316.113,4362.285,6054.818,2336.549,1409.64,1409.674
Sul,25771.8,698.11,1883.041,5744.543,9682.71,3620.128,2144.523,1372.588
Paraná,9745.617,305.603,767.423,2433.335,3544.276,1244.765,743.763,512.366
Região Metropolitana de Curitiba,3030.41,59.072,177.691,654.608,1107.937,451.453,260.779,266.52
Santa Catarina,6048.506,74.523,331.05,1150.072,2388.283,964.51,636.328,305.256
Rio Grande do Sul,9977.677,317.984,784.568,2161.136,3750.151,1410.853,764.432,554.966
Região Metropolitana de Porto Alegre,3722.776,97.86,245.311,821.361,1320.071,495.936,309.532,283.499
Centro-Oeste,13339.641,387.305,1312.588,3554.736,4586.248,1477.504,959.91,836.246
Mato Grosso do Sul,2283.967,53.47,203.694,631.416,843.047,246.565,177.646,113.55
Mato Grosso,2766.131,79.263,321.843,743.092,992.267,306.51,161.137,98.965
Goiás,5730.676,192.596,606.298,1665.178,2030.478,623.936,317.402,190.8
Distrito Federal,2558.867,61.976,180.753,515.05,720.456,300.493,303.725,432.931
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,
"Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,,,
