"tabela 1.1.37.1 - pessoas de 10 anos ou mais de idade que utilizaram a internet, no período de referência dos últimos três meses, por classes de rendimento mensal domiciliar per capita, segundo as grandes regiões, as unidades da federação e as regiões metropolitanas - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6,unnamed: 7,unnamed: 8
"Grandes Regiões, Unidades da Federação e Regiões Metropolitanas","Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,,,
,Total (1),Classes de rendimento mensal domiciliar per capita (salário mínimo),,,,,,
,,Sem rendimento a 1/4 (2),Mais de 1/4 a 1/2,Mais de 1/2 a 1,Mais de 1 a 2,Mais de 2 a 3,Mais de 3 a 5,Mais de 5
Brasil,102083.09,4109.823,11201.347,26249.664,31079.403,11547.905,8111.934,6763.746
Norte,6715.311,410.499,1254.693,2074.7,1721.66,565.231,347.454,228.781
Rondônia,710.57,22.162,89.971,190.737,226.142,94.016,50.252,28.375
Acre,285.382,16.115,52.387,86.374,74.279,23.648,18.566,11.208
Amazonas,1596.758,118.792,312.457,476.159,401.958,135.066,73.565,58.909
Roraima,268.027,13.641,45.46,76.677,64.06,30.791,18.387,14.464
Pará,2962.659,181.656,621.323,1002.329,701.287,197.145,129.456,72.839
Região Metropolitana de Belém,1227.217,50.26,230.75,407.181,295.244,94.615,71.23,49.65
Amapá,334.728,24.443,59.905,93.269,88.55,34.414,20.75,12.084
Tocantins,557.187,33.69,73.19,149.155,165.384,50.151,36.478,30.902
Nordeste,21831.084,1911.208,4324.13,7053.622,4969.725,1395.639,1088.974,769.849
Maranhão,1940.697,202.95,399.114,647.135,401.362,93.2,88.687,76.675
Piauí,1061,102.446,198.133,340.525,261.174,60.226,48.968,37.708
Ceará,3331.027,319.086,635.729,1080.927,782.357,197.692,142.593,88.368
Região Metropolitana de Fortaleza,1950.387,97.656,345.377,625.594,506.679,150.033,92,70.772
Rio Grande do Norte,1570.481,116.561,279.064,505.821,371.598,118.689,101.737,65
Paraíba,1738.3,146.736,345.202,526.862,405.982,121.534,96.304,84.039
Pernambuco,3710.885,304.451,794.087,1200.401,776.367,239.163,195.261,156.603
Região Metropolitana de Recife,2080,142.896,394.818,670.371,477.129,136.841,125.263,115.057
Alagoas,1175.405,122.7,270.567,370.602,227.166,89.355,50.336,23.283
Sergipe,982.846,80.669,187.693,335.806,228.379,69.65,43.254,26.763
Bahia,6320.443,515.609,1214.541,2045.543,1515.34,406.13,321.834,211.41
Região Metropolitana de Salvador,2468.34,118.265,343.013,803.295,664.203,196.875,173.699,133.039
Sudeste,49246.983,1285.427,4024.02,11849.414,16078.886,6036.971,4175.949,3786.845
Minas Gerais,10332.092,325.407,1086.179,2796.942,3430.282,1127.357,781.491,657.865
Região Metropolitana de Belo Horizonte,3175.428,78.409,248.408,761.354,1061.766,375.535,272.785,308.669
Espírito Santo,2004.128,68.367,212.884,534.903,602.654,227.293,166.727,130.13
Rio de Janeiro,9707.466,235.842,935.158,2607.556,2972.172,996.017,782.085,881.334
Região Metropolitana do Rio de Janeiro,7529.582,175.325,693.101,1965.572,2296.641,776.977,651.849,746.488
São Paulo,27203.297,655.811,1789.799,5910.013,9073.778,3686.304,2445.646,2117.516
Região Metropolitana de São Paulo,13592.382,386.028,864.5,2951.552,4193.551,1832.257,1198.898,1315.051
Sul,15758.972,297.346,901.815,3204.681,5537.355,2461.709,1708.352,1216.81
Paraná,5897.03,121.998,347.734,1254.474,2062.355,888.14,612.734,474.255
Região Metropolitana de Curitiba,2065.537,25.934,93.162,383.259,702.108,343.38,227.157,249.234
Santa Catarina,3767.691,37.26,140.444,632.019,1396.555,657.1,513.073,259.398
Rio Grande do Sul,6094.251,138.088,413.637,1318.188,2078.445,916.469,582.545,483.157
Região Metropolitana de Porto Alegre,2610.59,56.643,150.979,563.184,849.448,359.615,259.716,256.445
Centro-Oeste,8530.74,205.343,696.689,2067.247,2771.777,1088.355,791.205,761.461
Mato Grosso do Sul,1455.931,30.05,110.9,367.622,495.76,184.707,152.019,103.387
Mato Grosso,1526.026,31.094,146.252,370.009,520.656,216.302,122.606,85.83
Goiás,3541.957,108.503,320.113,964.837,1218.914,446.25,248.229,165.93
Distrito Federal,2006.826,35.696,119.424,364.779,536.447,241.096,268.351,406.314
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,
"Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,,,
