"tabela 1.2.1.2 - distribuição das pessoas de 10 anos ou mais de idade, por grandes regiões, segundo o equipamento utilizado para acessar a internet - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
Equipamento utilizado para acessar a Internet,"Distribuição das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Microcomputador,,,,,,
Utilizaram,71.1,52.4,62.2,75.7,77.8,69.9
Somente microcomputador,10.9,7.7,10.3,10.9,14.5,7.7
Não utilizaram,28.9,47.6,37.8,24.3,22.2,30.1
Telefone móvel celular ou tablet,,,,,,
Utilizaram,88.6,91.7,89.3,88.6,84.9,91.8
Somente telefone móvel celular ou tablet,28.2,46.8,37.2,23.6,21.5,29.4
Não utilizaram,11.4,8.3,10.7,11.4,15.1,8.2
Telefone móvel celular,,,,,,
Utilizaram,87.8,91.2,88.5,87.7,83.9,91.3
Somente telefone móvel celular,26.5,45.5,35,21.9,19.9,28.2
Não utilizaram,12.2,8.8,11.5,12.3,16.1,8.7
Tablet,,,,,,
Utilizaram,15.7,8,12.8,18,16.3,14.4
Somente tablet,0.4,0.2,0.5,0.3,0.4,0.2
Não utilizaram,84.3,92,87.2,82,83.7,85.6
Televisão,,,,,,
Utilizaram,5.2,1.5,3.2,6.1,6.5,5.5
Não utilizaram,94.8,98.5,96.8,93.9,93.5,94.5
Outro equipamento,,,,,,
Utilizaram,0.5,0.3,0.2,0.8,0.5,0.4
Não utilizaram,99.5,99.7,99.8,99.2,99.5,99.6
