"tabela 1.2.2.2 - rendimento mediano mensal domiciliar per capita das pessoas de 10 anos ou mais de idade que utilizaram a internet, no período de referência dos últimos três meses, por grandes regiões, segundo o equipamento utilizado para acessar a internet - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
Equipamento utilizado para acessar a Internet," Rendimento mediano mensal domiciliar per capita das pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (R$)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,843,601,560,945,1095,960
Microcomputador,,,,,,
Utilizaram,1000,800,699,1065,1224,1134
Somente microcomputador,765,496,450,833,962,788
Não utilizaram,571,482,412,662,756,698
Telefone móvel celular ou tablet,,,,,,
Utilizaram,857,625,574,955,1119,980
Somente telefone móvel celular ou tablet,566,482,411,661,751,697
Não utilizaram,765,482,453,834,965,788
Telefone móvel celular,,,,,,
Utilizaram,857,625,574,956,1120,982
Somente telefone móvel celular,560,477,406,650,747,694
Não utilizaram,766,499,459,844,971,791
Tablet,,,,,,
Utilizaram,1416,1299,942,1476,1635,1913
Somente tablet,624,600,406,730,896,681
Não utilizaram,788,578,525,871,1000,893
Televisão,,,,,,
Utilizaram,1996,2042,1549,1984,2085,2623
Não utilizaram,809,599,547,900,1048,924
Outro equipamento,,,,,,
Utilizaram,1670,1637,1400,1683,1556,2112
Não utilizaram,839,600,559,940,1090,959
