"tabela 1.2.1.1 - pessoas de 10 anos ou mais de idade que utilizaram a internet, no período de referência dos últimos três meses, por grandes regiões, segundo o equipamento utilizado para acessar a internet - 2015",unnamed: 1,unnamed: 2,unnamed: 3,unnamed: 4,unnamed: 5,unnamed: 6
Equipamento utilizado para acessar a Internet,"Pessoas de 10 anos ou mais de idade que utilizaram a Internet, no período de referência dos últimos três meses (1000 pessoas)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,102083.09,6715.311,21831.084,49246.983,15758.972,8530.74
Microcomputador,,,,,,
Utilizaram,72607.984,3521.63,13576.777,37287.623,12259.275,5962.679
Somente microcomputador,11079.97,517.152,2240.19,5381.824,2286.373,654.431
Não utilizaram,29475.106,3193.681,8254.307,11959.36,3499.697,2568.061
Telefone móvel celular ou tablet,,,,,,
Utilizaram,90484.87,6157.441,19498.521,43615.666,13379.47,7833.772
Somente telefone móvel celular ou tablet,28765.132,3143.926,8118.023,11609.297,3389.642,2504.244
Não utilizaram,11598.22,557.87,2332.563,5631.317,2379.502,696.968
Telefone móvel celular,,,,,,
Utilizaram,89634.42,6122.785,19314.841,43185.283,13221.681,7789.83
Somente telefone móvel celular,27003.38,3056.665,7639.732,10765.672,3136.474,2404.837
Não utilizaram,12448.67,592.526,2516.243,6061.7,2537.291,740.91
Tablet,,,,,,
Utilizaram,15976.562,535.921,2786.728,8851.286,2574.578,1228.049
Somente tablet,368.096,16.666,105.581,166.366,61.811,17.672
Não utilizaram,86106.528,6179.39,19044.356,40395.697,13184.394,7302.691
Televisão,,,,,,
Utilizaram,5305.012,102.753,703.922,2999.377,1031.798,467.162
Não utilizaram,96778.078,6612.558,21127.162,46247.606,14727.174,8063.578
Outro equipamento,,,,,,
Utilizaram,555.981,21.24,46.21,374.824,79.715,33.992
Não utilizaram,101527.109,6694.071,21784.874,48872.159,15679.257,8496.748
