"tabela 1.3.1.2 - distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grandes regiões, segundo o sexo e os grupos de idade - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13,"tabela 1.3.1.3 - percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por grandes regiões, segundo o sexo e os grupos de idade - 2015",unnamed: 15,unnamed: 16,unnamed: 17,unnamed: 18,unnamed: 19,unnamed: 20
Sexo e grupos de idade,Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%),,,,,,Sexo e grupos de idade,"Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)",,,,,
,Brasil,Grandes Regiões,,,,,,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste,,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100,Total,78.3,68.6,69.6,82.6,82.8,86.9
10 a 14 anos,6.2,6.2,6.5,6,5.7,6.7,10 a 14 anos,54.1,36.5,43.6,63.6,61.5,63.8
15 a 17 anos,6.2,7.1,7,5.8,5.9,6,15 a 17 anos,81,65,72.4,87.5,89.2,89.8
18 ou 19 anos,4.3,4.9,4.9,4.1,3.8,4.1,18 ou 19 anos,87,75.2,80.5,91.6,92.6,93.7
20 a 24 anos,10,11.7,10.9,9.5,9.5,10,20 a 24 anos,89.6,79,83.3,94,93.9,94.5
25 a 29 anos,9.9,11.3,10.6,9.4,9.2,9.9,25 a 29 anos,89.8,80.6,82.8,93.9,94.7,95.2
30 a 34 anos,10.5,11.3,10.9,10.3,9.9,10.5,30 a 34 anos,89.4,80,82.2,93.6,93.6,94.3
35 a 39 anos,10,10.6,10.1,10,9.2,10.4,35 a 39 anos,87.9,78.3,79.4,92.7,92.2,94
40 a 44 anos,9,8.9,8.6,9.3,8.9,9.3,40 a 44 anos,86.4,77.2,77.2,91.1,90.4,93
45 a 49 anos,8.2,7.5,7.9,8.4,8.6,8.6,45 a 49 anos,84.2,76,75.4,88.2,87.8,91.8
50 a 54 anos,7.7,6.6,6.8,8.1,8.5,7.3,50 a 54 anos,82.2,74.2,72.6,86.1,85,91.2
55 a 59 anos,6.1,4.8,5.3,6.5,7.1,5.8,55 a 59 anos,78,69.1,68.7,81.2,82.2,86.6
60 anos ou mais,12,9.2,10.6,12.7,13.6,11.4,60 anos ou mais,56.6,51.7,46.9,59,61.9,69.9
Homens,100,100,100,100,100,100,Homens,77.6,66.5,67.3,82.9,83.5,86.7
10 a 14 anos,6.2,6,6.8,6,5.5,6.9,10 a 14 anos,50.4,33.2,40.3,59.6,57.1,61.5
15 a 17 anos,6.4,7.3,7.3,5.8,6.2,6.4,15 a 17 anos,78.1,62.7,67.9,85,87.2,89.3
18 ou 19 anos,4.5,4.9,5.1,4.3,3.9,4.5,18 ou 19 anos,85.2,72.3,77.6,89.9,92.6,93.2
20 a 24 anos,10.5,12.1,11.5,10,9.9,10.5,20 a 24 anos,88,76.4,81.3,92.4,92.8,94.1
25 a 29 anos,10.1,11.1,11,9.7,9.4,9.7,25 a 29 anos,88.7,79.6,81,93.1,93.9,94.6
30 a 34 anos,10.5,11.3,11,10.2,10.2,10.4,30 a 34 anos,88,78.3,79.5,92.8,93.2,93.5
35 a 39 anos,9.9,10.3,9.9,9.9,9.3,10.3,35 a 39 anos,86.9,76.7,76.7,92.2,93,93.6
40 a 44 anos,9,8.8,8.5,9.3,8.9,9.1,40 a 44 anos,85.6,75.3,75.3,90.5,90.6,93
45 a 49 anos,8.2,7.6,7.7,8.3,8.4,8.4,45 a 49 anos,83.4,74,72.4,88.4,88.4,90.9
50 a 54 anos,7.4,6.2,6.6,7.9,8.3,7,50 a 54 anos,81.3,70.4,70.4,85.4,86,90.8
55 a 59 anos,5.9,4.9,5.1,6.3,6.9,5.6,55 a 59 anos,78.1,67.7,66.2,82.7,82.6,87.7
60 anos ou mais,11.5,9.3,9.7,12.3,13.1,11.3,60 anos ou mais,59,51.4,45.5,63.2,65.9,72.6
Mulheres,100,100,100,100,100,100,Mulheres,78.9,70.7,71.7,82.3,82.3,87
10 a 14 anos,6.2,6.4,6.3,6.1,6,6.5,10 a 14 anos,58,40,47.1,67.7,66,66.4
15 a 17 anos,6,6.9,6.8,5.7,5.5,5.7,15 a 17 anos,84,67.5,77,89.9,91.5,90.3
18 ou 19 anos,4.1,4.8,4.7,3.9,3.7,3.7,18 ou 19 anos,88.9,78.3,83.4,93.3,92.7,94.2
20 a 24 anos,9.6,11.3,10.4,9,9.2,9.6,20 a 24 anos,91.3,81.9,85.4,95.7,95.1,94.9
25 a 29 anos,9.7,11.5,10.3,9.2,9,10.1,25 a 29 anos,90.8,81.6,84.4,94.8,95.5,95.7
30 a 34 anos,10.5,11.3,10.7,10.4,9.7,10.6,30 a 34 anos,90.6,81.6,84.7,94.4,94,95.1
35 a 39 anos,10,10.8,10.2,10,9.1,10.5,35 a 39 anos,88.8,79.8,81.9,93.1,91.5,94.4
40 a 44 anos,9.1,8.9,8.7,9.2,8.9,9.5,40 a 44 anos,87.2,79.1,78.9,91.6,90.1,93
45 a 49 anos,8.3,7.5,8,8.4,8.8,8.8,45 a 49 anos,85,78,78.2,87.9,87.3,92.7
50 a 54 anos,7.9,6.9,7.1,8.3,8.7,7.7,50 a 54 anos,82.9,77.8,74.4,86.6,84.2,91.6
55 a 59 anos,6.3,4.7,5.5,6.7,7.3,5.9,55 a 59 anos,77.9,70.5,70.8,79.9,81.8,85.6
60 anos ou mais,12.4,9,11.3,13.1,14,11.4,60 anos ou mais,54.8,52,48,55.8,58.8,67.5
