"tabela 1.3.10.2 - distribuição das pessoas de 10 anos ou mais de idade, por grandes regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
"Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal",Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Possuíam,78.3,68.6,69.6,82.6,82.8,86.9
Não possuíam,21.7,31.4,30.4,17.4,17.2,13.1
Ocupadas,100,100,100,100,100,100
Possuíam,87.2,76.5,78.5,91.7,91.1,93.9
Não possuíam,12.8,23.5,21.5,8.3,8.9,6.1
Não ocupadas,100,100,100,100,100,100
Possuíam,67.9,60.1,60.7,71.8,71.4,77.5
Não possuíam,32.1,39.9,39.3,28.2,28.6,22.5
Homens,100,100,100,100,100,100
Possuíam,77.6,66.5,67.3,82.9,83.5,86.7
Não possuíam,22.4,33.5,32.7,17.1,16.5,13.3
Ocupados,100,100,100,100,100,100
Possuíam,85.3,73.3,74.9,90.7,90.5,93.1
Não possuíam,14.7,26.7,25.1,9.3,9.5,6.9
Não ocupados,100,100,100,100,100,100
Possuíam,64.1,54.1,55.4,69.2,68.9,73.3
Não possuíam,35.9,45.9,44.6,30.8,31.1,26.7
Mulheres,100,100,100,100,100,100
Possuíam,78.9,70.7,71.7,82.3,82.3,87
Não possuíam,21.1,29.3,28.3,17.7,17.7,13
Ocupadas,100,100,100,100,100,100
Possuíam,89.9,81.7,83.6,93,91.8,95
Não possuíam,10.1,18.3,16.4,7,8.2,5
Não ocupadas,100,100,100,100,100,100
Possuíam,70.2,63.5,63.9,73.4,73,79.9
Não possuíam,29.8,36.5,36.1,26.6,27,20.1
