"tabela 1.3.13.2 - distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grandes regiões, segundo a posse de telefone móvel celular para uso pessoal e os grupamentos ocupacionais no trabalho principal - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
Posse de telefone móvel celular para uso pessoal e grupamentos ocupacionais no trabalho principal,"Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Dirigentes em geral,5,3.4,3.4,5.7,6.1,5.2
Profissionais das ciências e das artes,9.8,7.5,7.2,11.4,10.4,10.7
Técnicos de nível médio,7.2,5.6,5.7,8.2,7.5,7.1
Trabalhadores de serviços administrativos,9.4,7.5,7.2,10.9,9.7,9.9
Trabalhadores dos serviços,20.2,18.2,19.1,22,17.4,21.5
Vendedores e prestadores de serviço do comércio,9.8,11.5,11.3,9.2,8,9.7
Trabalhadores agrícolas,14,22.4,23.9,7.4,13.2,11.1
Trabalhadores da produção de bens e serviços e de reparação e manutenção,23.8,22.8,21.4,24.3,26.9,23.3
Membros das forças armadas e auxiliares,0.9,1,0.7,0.9,0.7,1.4
Ocupações maldefinidas,0,0,0,0,0,-
Possuíam,100,100,100,100,100,100
Dirigentes em geral,5.5,4.2,4.1,6.1,6.5,5.5
Profissionais das ciências e das artes,11,9.2,8.8,12.2,11.2,11.3
Técnicos de nível médio,8,6.8,6.9,8.7,8.1,7.5
Trabalhadores de serviços administrativos,10.5,9.4,8.9,11.6,10.4,10.4
Trabalhadores dos serviços,20.7,19.9,21,21.6,17.5,21.5
Vendedores e prestadores de serviço do comércio,10.3,12.7,12.7,9.4,8.4,9.9
Trabalhadores agrícolas,8.9,12.6,13.9,5.3,10.1,9.2
Trabalhadores da produção de bens e serviços e de reparação e manutenção,24.2,23.8,22.8,24.1,27,23.3
Membros das forças armadas e auxiliares,1,1.3,0.9,1,0.8,1.5
Ocupações maldefinidas,0,0,0,0,0,-
Não possuíam,100,100,100,100,100,100
Dirigentes em geral,1.1,0.7,0.7,1.7,1.5,1.4
Profissionais das ciências e das artes,1.9,2,1.4,2.6,2.2,1.9
Técnicos de nível médio,1.8,1.8,1.4,2.2,2.2,1.5
Trabalhadores de serviços administrativos,2,1.1,0.9,3.8,2.8,2.6
Trabalhadores dos serviços,16.9,12.6,12.2,25.8,16.6,22.1
Vendedores e prestadores de serviço do comércio,6.3,7.7,6.2,6.6,4,6.5
Trabalhadores agrícolas,48.6,54.3,60.6,30.1,44.8,40
Trabalhadores da produção de bens e serviços e de reparação e manutenção,21.3,19.8,16.7,27,25.8,23.9
Membros das forças armadas e auxiliares,0.1,0.1,0,0.1,0.1,0.1
Ocupações maldefinidas,0,-,0,0,-,-
