"tabela 1.3.14.2 - distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grandes regiões, segundo a posse de telefone móvel celular para uso pessoal e os grupamentos de atividade do trabalho principal - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
Posse de telefone móvel celular para uso pessoal e grupamentos de atividade do trabalho principal,"Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Agrícola,14.1,22.4,23.9,7.5,13.3,11.9
Indústria,12.5,9.4,8.6,14,17.8,10
Indústria de transformação,11.8,8.3,8,13.1,17.2,9.3
Construção,9,9.3,9.1,9,8.4,9.2
Comércio e reparação,18.2,18.5,18.1,18,18.3,18.7
Alojamento e alimentação,4.9,4.9,4.9,5.3,3.8,5.2
"Transporte, armazenagem e comunicação",5.6,5,4.5,6.4,5.6,5.5
Administração pública,5.3,6.6,5.1,4.9,4.6,7.8
"Educação, saúde e serviços sociais",10.8,10.3,10.1,11.5,10.2,11.1
Serviços domésticos,6.6,5.8,6.3,7.2,5.7,7.4
"Outros serviços coletivos, sociais e pessoais",4.3,3.3,3.6,5,3.9,4.4
Outras atividades,8.7,4.5,5.7,11.2,8.4,9
Atividades maldefinidas,0.1,0.1,0.1,0.1,0,0
Possuíam,100,100,100,100,100,100
Agrícola,9.1,12.6,13.9,5.5,10.2,10
Indústria,13.1,9.5,9.5,14.3,18.2,10.1
Indústria de transformação,12.3,8.4,8.8,13.4,17.5,9.3
Construção,8.7,9.7,9.1,8.5,8.2,9
Comércio e reparação,19.3,21,20.6,18.5,19.1,19.2
Alojamento e alimentação,5.1,5.4,5.5,5.4,3.8,5.3
"Transporte, armazenagem e comunicação",6,5.8,5.2,6.6,5.9,5.7
Administração pública,5.7,8,6.1,5.1,4.9,8.1
"Educação, saúde e serviços sociais",11.9,12.3,12.1,12.2,10.9,11.6
Serviços domésticos,6.5,6,6.7,6.8,5.7,7.1
"Outros serviços coletivos, sociais e pessoais",4.7,3.9,4.3,5.2,4.1,4.5
Outras atividades,9.7,5.7,7.1,11.8,9,9.5
Atividades maldefinidas,0.1,0.1,0.1,0.1,0,0
Não possuíam,100,100,100,100,100,100
Agrícola,48.6,54.4,60.4,30.2,44.8,40.3
Indústria,8.5,8.9,5.4,10.4,14.6,8.5
Indústria de transformação,8.2,8.1,5.3,10.2,14.3,8.1
Construção,10.4,7.9,9.2,13.8,9.8,11.9
Comércio e reparação,10.4,10.6,9,12.5,9.9,11.6
Alojamento e alimentação,3.5,3.3,2.8,4.8,3.1,4.6
"Transporte, armazenagem e comunicação",2.4,2.4,1.8,3.4,2.2,1.9
Administração pública,1.9,1.8,1.7,2.3,2,2.5
"Educação, saúde e serviços sociais",3.5,3.8,3.1,4.1,3.2,3.4
Serviços domésticos,7.1,5,4.8,11.3,6.4,11.3
"Outros serviços coletivos, sociais e pessoais",1.7,1.1,1.1,2.8,1.7,1.6
Outras atividades,1.9,0.7,0.7,4.3,2.3,2.1
Atividades maldefinidas,0.1,0.2,0.1,0.2,-,0.3
