"tabela 1.3.15.2 - distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por grandes regiões, segundo a posse de telefone móvel celular para uso pessoal, a posição na ocupação e a categoria do emprego no trabalho principal - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
"Posse de telefone móvel celular para uso pessoal, posição na ocupação e categoria do emprego no trabalho principal","Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)",,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total,100,100,100,100,100,100
Empregado e trabalhador doméstico,67,57.5,58.3,72.8,67.9,70.5
Com carteira de trabalho assinada,40.7,24.8,26.7,49.4,46.8,42.1
Militar e funcionário público estatutário,7.7,9.3,7.3,7.3,7.4,10.1
Outro sem carteira de trabalho assinada,18.6,23.4,24.3,16.1,13.6,18.4
Empregado,60.4,51.7,52,65.7,62.1,63.1
Com carteira de trabalho assinada,38.6,23.7,25.3,46.8,44.8,39.2
Militar e funcionário público estatutário,7.7,9.3,7.3,7.3,7.4,10.1
Outro sem carteira de trabalho assinada,14.1,18.7,19.4,11.6,9.9,13.9
Conta própria,22.9,29.2,27.3,20,21.2,21.6
Empregador,3.7,2.6,2.7,4,5,4.3
Não remunerado,2.4,4.9,3.6,1.3,2.6,1.6
Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,4,5.8,8.2,1.9,3.3,2
Possuíam,100,100,100,100,100,100
Empregado e trabalhador doméstico,70.4,64.6,64.3,74.2,70,71.4
Com carteira de trabalho assinada,44.2,30.1,31.7,51.1,48.7,43.1
Militar e funcionário público estatutário,8.4,11.4,8.7,7.6,7.8,10.5
Outro sem carteira de trabalho assinada,17.8,23,23.8,15.4,13.5,17.8
Empregado,63.8,58.5,57.7,67.4,64.3,64.4
Com carteira de trabalho assinada,42,28.8,30.2,48.5,46.7,40.2
Militar e funcionário público estatutário,8.4,11.4,8.7,7.6,7.8,10.5
Outro sem carteira de trabalho assinada,13.4,18.4,18.8,11.3,9.8,13.6
Conta própria,21.5,26.3,25.2,19.4,20.4,21.2
Empregador,4.1,3.1,3.2,4.2,5.3,4.4
Não remunerado,1.8,2.9,2.7,1.1,2,1.4
Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,2.3,3.1,4.6,1.1,2.2,1.5
Não possuíam,100,100,100,100,100,100
Empregado e trabalhador doméstico,43.8,34.6,36.3,57.5,46,55.9
Com carteira de trabalho assinada,17.2,7.6,8.1,30.5,27.7,26.5
Militar e funcionário público estatutário,2.6,2.6,2.2,3,3.1,2.6
Outro sem carteira de trabalho assinada,24,24.4,26,24,15.2,26.8
Empregado,36.7,29.6,31.5,46.2,39.6,44.5
Com carteira de trabalho assinada,15.7,7,7.7,27.3,25.8,23.9
Militar e funcionário público estatutário,2.6,2.6,2.2,3,3.1,2.6
Outro sem carteira de trabalho assinada,18.4,20,21.6,16,10.7,18.1
Conta própria,32.3,38.7,34.9,26.8,29.6,28
Empregador,1.1,1,0.8,1.4,1.6,1.6
Não remunerado,6.8,11.2,6.8,3.8,8.8,5.3
Trabalhador na produção para o próprio consumo ou na construção para o próprio uso,16,14.6,21.2,10.5,14,9.3
