"tabela 1.3.16.2 - distribuição das pessoas de 10 anos ou mais de idade, por grandes regiões, segundo a posse de telefone móvel celular para uso pessoal e as classes de rendimento mensal - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
Posse de telefone móvel celular para uso pessoal e classes de rendimento mensal,Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),100,100,100,100,100,100
Sem rendimento (2),7,9.8,14.1,3.6,3.3,4.3
Até 1/2 salário mínimo,5.2,8.3,8.1,3.5,3.8,3.9
Mais de 1/2 a 1 salário mínimos,32.2,30.4,32.9,32,32.3,32
Mais de 1 a 2 salário mínimos,12.1,8.2,6.8,14.3,16.8,14
Mais de 2 a 3 salário mínimos,7,4.5,3.4,8.7,10,8.3
Mais de 3 a 5 salários mínimos,4.1,2.6,2,5,5.7,5.7
Mais de 5 a 10 salário mínimos,1.4,0.7,0.6,1.8,1.6,2.2
Mais de10 a 20 salário mínimos,0.5,0.2,0.2,0.7,0.6,0.9
Mais de 20 salários mínimos,29.4,34.7,31.4,28.9,24.9,28.2
Possuíam (1),100,100,100,100,100,100
Sem rendimento (2),27.2,30.3,29,27.4,23.1,26.3
Até 1/2 salário mínimo,6,8.6,12.9,3.3,3,4
Mais de 1/2 a 1 salário mínimos,5.1,7.9,8.5,3.5,3.8,3.9
Mais de 1 a 2 salário mínimos,31.2,31.7,32.9,30.4,30.8,31.2
Mais de 2 a 3 salário mínimos,13.4,10,7.8,15.3,17.8,14.9
Mais de 3 a 5 salários mínimos,8.4,6.1,4.6,9.7,11.2,9.1
Mais de 5 a 10 salário mínimos,5.1,3.6,2.7,5.8,6.5,6.4
Mais de10 a 20 salário mínimos,1.7,0.9,0.8,2.1,1.9,2.5
Mais de 20 salários mínimos,0.7,0.3,0.3,0.8,0.7,1
Não possuíam (1),100,100,100,100,100,100
Sem rendimento (2),37.4,44.2,37,36.1,33.8,40.9
Até 1/2 salário mínimo,10.3,12.5,16.7,4.8,4.7,6.1
Mais de 1/2 a 1 salário mínimos,5.6,9.1,7.2,3.5,3.4,3.4
Mais de 1 a 2 salário mínimos,35.6,27.6,33,39.7,39.6,37
Mais de 2 a 3 salário mínimos,7.2,4.4,4.4,9.7,11.9,8.2
Mais de 3 a 5 salários mínimos,2.2,1.1,0.6,3.7,4,2.6
Mais de 5 a 10 salário mínimos,0.8,0.5,0.3,1.2,1.5,0.9
Mais de10 a 20 salário mínimos,0.2,0.1,0.1,0.3,0.2,0.2
Mais de 20 salários mínimos,0.1,0,0,0.1,0.2,0.1
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
