"tabela 1.3.17.2 - distribuição das pessoas de 10 anos ou mais de idade, por grandes regiões, segundo a segundo a posse de telefone móvel celular para uso pessoal e as classes de rendimento mensal domiciliar per capita - 2015",unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,unnamed: 13
Posse de telefone móvel celular para uso pessoal e classes de rendimento mensal domiciliar per capita,Distribuição das pessoas de 10 anos ou mais de idade (%),,,,,
,Brasil,Grandes Regiões,,,,
,,Norte,Nordeste,Sudeste,Sul,Centro-Oeste
Total (1),100,100,100,100,100,100
Sem rendimento a 1/4 do salário mínimo (2),7.1,11.7,15.1,3.3,2.7,2.9
Mais de 1/4 a 1/2 salário mínimo,14,23.1,22.7,9.8,7.3,9.9
Mais de 1/2 a 1 salário mínimo,27.1,30.8,30.6,25.8,22.3,26.7
Mais de 1 a 2 salário mínimos,30.3,22.3,21.1,34.4,37.6,34.5
Mais de 2 a 3 salário mínimos,9.2,5.6,4.2,11,14.1,11.1
Mais de 3 a 5 salários mínimos,5.6,3.1,2.7,6.7,8.3,7.2
Mais de 5 a 10 salários mínimos,3.1,1.5,1.4,4,4.1,4.4
Mais de 10 salários mínimos,1.1,0.4,0.5,1.5,1.3,1.8
Possuíam (1),100,100,100,100,100,100
Sem rendimento a 1/4 do salário mínimo (2),4.9,7.1,10.8,2.8,2.1,2.4
Mais de 1/4 a 1/2 salário mínimo,12.2,20.2,21.3,8.6,6.2,8.7
Mais de 1/2 a 1 salário mínimo,26.7,31.9,32.1,24.9,21.6,25.9
Mais de 1 a 2 salário mínimos,31.4,25.4,22.8,34.4,37.3,34.7
Mais de 2 a 3 salário mínimos,10.4,7.2,5.3,11.8,15,11.8
Mais de 3 a 5 salários mínimos,6.6,4.1,3.7,7.5,9.4,7.9
Mais de 5 a 10 salários mínimos,3.8,2.1,1.9,4.6,4.6,5
Mais de 10 salários mínimos,1.4,0.5,0.6,1.8,1.5,2.1
Não possuíam (1),100,100,100,100,100,100
Sem rendimento a 1/4 do salário mínimo (2),15,21.5,25,5.9,5.7,6.4
Mais de 1/4 a 1/2 salário mínimo,20.8,29.6,25.9,15.1,12.8,17.8
Mais de 1/2 a 1 salário mínimo,28.4,28.4,27.1,30.1,26.1,31.8
Mais de 1 a 2 salário mínimos,26.1,15.6,17.3,34.4,39.3,32.7
Mais de 2 a 3 salário mínimos,4.8,2.1,1.8,7.3,9.4,6.2
Mais de 3 a 5 salários mínimos,1.8,0.8,0.5,2.9,3.4,2.6
Mais de 5 a 10 salários mínimos,0.7,0.2,0.2,1.1,1.2,0.9
Mais de 10 salários mínimos,0.2,0,0.1,0.3,0.3,0.4
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
"Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,
